"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"382","Connor McDavid","EDM","C","35","151.08333333333","13","21","12","9","34","85.00","48","27.08","7.31","73","61","54","18","1","6","2","1","1","0","0","1","16","3","3","9","1","5","5","50.00"
"327","Leon Draisaitl","EDM","C","35","152","13","13","10","3","26","63.41","48","27.08","6.83","79","65","49","15","0","7","4","2","2","0","0","1","7","2","0","9","0","88","73","54.66"
"186","Ryan Nugent-Hopkins","EDM","C","35","149.8","6","16","7","9","22","55.00","27","22.22","4.35","43","36","33","13","0","3","2","1","1","0","0","1","1","0","2","1","2","2","6","25.00"
"343","David Pastrnak","BOS","R","33","138.66666666667","10","12","8","4","22","78.57","59","16.95","5.42","101","77","35","9","0","7","2","1","1","0","0","1","11","1","1","6","1","1","0","100.00"
"497","Tage Thompson","BUF","C, R","32","118.76666666667","12","10","5","5","22","75.86","50","24.00","4.48","72","60","38","7","2","3","0","0","0","0","0","1","4","1","1","6","0","9","12","42.86"
"185","Nikita Kucherov","T.B","R","32","142.88333333333","5","15","9","6","20","86.96","34","14.71","3.62","65","49","31","5","4","3","2","1","1","0","0","1","15","2","3","6","1","0","0","-"
"620","Rasmus Dahlin","BUF","D","31","135.55","4","16","9","7","20","66.67","24","16.67","2.12","42","30","12","1","0","2","2","1","1","0","0","0","4","0","2","3","1","0","0","-"
"106","Tyson Barrie","EDM","D","35","114.63333333333","2","17","6","11","19","65.52","15","13.33","1.52","33","22","9","1","0","3","4","2","2","0","0","1","2","5","1","1","2","0","0","-"
"463","Alex DeBrincat","OTT","R","33","148.98333333333","5","14","9","5","19","65.52","36","13.89","4.91","72","48","50","7","1","8","0","0","0","0","0","1","1","3","0","2","1","0","0","-"
"548","Jason Robertson","DAL","L","35","104.28333333333","6","13","7","6","19","79.17","46","13.04","5.17","78","58","36","11","1","6","4","2","2","0","0","0","2","0","0","3","0","0","0","-"
"190","Mika Zibanejad","NYR","C","35","138.58333333333","10","8","5","3","18","75.00","53","18.87","6.67","86","71","35","10","0","5","2","1","1","0","0","1","6","0","0","2","0","7","8","46.67"
"438","Kirill Kaprizov","MIN","L","33","133.36666666667","9","9","8","1","18","72.00","47","19.15","7.55","80","62","55","24","1","9","0","0","0","0","0","4","3","0","1","5","1","0","0","-"
"27","Brad Marchand","BOS","L","25","96.683333333333","5","12","7","5","17","70.83","20","25.00","2.5","36","27","22","4","0","2","4","2","2","0","0","1","9","1","2","3","0","5","1","83.33"
"390","Mikko Rantanen","COL","R","32","141.03333333333","4","13","11","2","17","65.38","25","16.00","3.75","48","40","23","5","2","5","2","1","1","0","0","1","3","1","1","9","0","13","29","30.95"
"428","Artemi Panarin","NYR","L","35","138.8","2","15","10","5","17","73.91","28","7.14","3.23","66","46","29","3","0","8","4","2","2","0","0","1","5","0","2","1","0","0","0","-"
"561","Cale Makar","COL","D","32","136.21666666667","4","13","8","5","17","68.00","27","14.81","2.48","58","39","21","0","0","4","4","2","2","0","0","0","4","1","2","3","2","0","0","-"
"579","Drake Batherson","OTT","R","33","129.41666666667","9","8","5","3","17","62.96","29","31.03","6.9","55","45","48","27","0","6","2","1","1","0","0","0","5","2","1","10","0","0","1","0.00"
"11","Evgeni Malkin","PIT","C","33","126.28333333333","4","12","6","6","16","84.21","26","15.38","3.63","55","38","34","7","2","2","0","0","0","0","0","0","10","3","1","7","0","23","15","60.53"
"91","John Tavares","TOR","C","34","124.36666666667","7","9","5","4","16","69.57","47","14.89","8.99","65","60","58","42","0","12","0","0","0","0","0","0","4","0","1","5","0","79","52","60.31"
"124","Mats Zuccarello","MIN","R","33","132.45","6","10","5","5","16","64.00","33","18.18","2.52","56","44","18","3","0","7","0","0","0","0","0","1","4","1","2","2","1","0","0","-"
"605","Brady Tkachuk","OTT","L","33","144.83333333333","5","11","7","4","16","55.17","43","11.63","9.96","65","61","58","46","0","10","11","4","3","1","0","4","6","0","3","2","2","63","71","47.01"
"10","Alex Ovechkin","WSH","L","36","197.36666666667","7","8","4","4","15","62.50","54","12.96","5.81","125","80","41","6","0","7","2","1","1","0","0","0","3","7","3","5","0","0","0","-"
"41","Jamie Benn","DAL","L","35","92.016666666667","7","8","5","3","15","65.22","29","24.14","5.41","38","34","33","20","0","2","2","1","1","0","0","0","5","1","2","4","0","46","38","54.76"
"64","Steven Stamkos","T.B","C","32","141.26666666667","7","8","7","1","15","62.50","47","14.89","5.89","84","65","51","11","9","7","4","2","2","0","0","0","6","1","2","5","0","37","36","50.68"
"195","J.T. Miller","VAN","C","33","130.2","7","8","7","1","15","60.00","32","21.88","3.32","65","47","33","8","1","5","4","2","2","0","0","0","7","0","2","3","0","1","3","25.00"
"417","Mitchell Marner","TOR","R","34","128.38333333333","3","12","2","10","15","62.50","23","13.04","2.71","45","31","22","4","0","5","0","0","0","0","0","0","10","2","0","9","1","0","0","-"
"604","Quinn Hughes","VAN","D","29","116.01666666667","0","15","7","8","15","75.00","17","0.00","1","38","22","7","1","0","2","2","1","1","0","0","0","3","2","0","2","2","0","0","-"
