"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"370","Mikko Rantanen","COL","R","5","104.81666666667","7","7","5","2","14","93.33","20","35.00","2.91","24","22","11","7","2","2","6","3","3","0","0","1","3","5","8","2","3","15","17","46.88"
"283","Nathan MacKinnon","COL","C","5","105.26666666667","1","11","7","4","12","80.00","26","3.85","1.77","41","35","15","4","2","1","4","2","2","0","0","3","1","3","2","6","3","41","47","46.59"
"523","Jason Robertson","DAL","L","6","103.35","6","6","5","1","12","75.00","31","19.35","2.98","42","35","27","14","1","6","0","0","0","0","0","1","3","3","8","8","0","0","0","-"
"664","Tim Stützle","OTT","L","7","156.96666666667","5","6","3","3","11","84.62","22","22.73","3.78","42","31","26","5","1","1","4","2","2","0","0","3","5","8","15","11","6","19","22","46.34"
"8","Joe Pavelski","DAL","C","6","93.3","4","6","4","2","10","66.67","13","30.77","2.57","23","19","18","13","1","2","0","0","0","0","0","2","5","0","8","6","1","34","27","55.74"
"35","Claude Giroux","OTT","R","7","136.93333333333","5","5","2","3","10","71.43","20","25.00","1.65","38","30","15","6","0","2","4","2","2","0","0","3","2","3","7","6","2","51","27","65.38"
"41","Jamie Benn","DAL","L","6","87.85","6","4","2","2","10","83.33","13","46.15","1.88","22","16","14","7","2","1","5","1","0","1","0","2","1","3","6","5","2","32","25","56.14"
"290","Bo Horvat","VAN","C","7","154.45","6","4","3","1","10","71.43","32","18.75","3.66","45","39","35","16","0","0","4","2","2","0","0","1","1","3","4","7","3","104","73","58.76"
"363","Connor McDavid","EDM","C","7","157.46666666667","4","6","3","3","10","83.33","27","14.81","2.83","43","34","31","13","1","1","6","3","3","0","0","5","7","4","11","8","4","50","43","53.76"
"377","Travis Konecny","PHI","R","7","137.25","3","7","6","1","10","100.00","25","12.00","2.03","43","31","22","9","3","2","25","7","5","1","1","6","2","5","9","16","3","5","2","71.43"
"396","Mitchell Marner","TOR","R","7","144.15","2","8","4","4","10","90.91","16","12.50","0.91","23","19","8","3","0","1","2","1","1","0","0","0","9","5","6","8","6","0","0","-"
"435","Adam Fox","NYR","D","6","154.73333333333","3","7","2","5","10","76.92","10","30.00","0.67","25","13","14","3","1","0","4","2","2","0","0","0","6","7","3","6","14","0","0","-"
"473","Tage Thompson","BUF","R","8","152.23333333333","6","4","2","2","10","100.00","36","16.67","4.13","63","51","36","16","2","5","2","1","1","0","0","0","4","4","1","9","3","40","62","39.22"
"516","Elias Pettersson","VAN","C","7","141.1","3","7","3","4","10","58.82","26","11.54","2.76","42","33","22","10","0","5","0","0","0","0","0","2","5","7","6","8","9","27","39","40.91"
"536","Cale Makar","COL","D","5","132","3","7","3","4","10","62.50","18","16.67","1.15","39","25","16","3","0","3","2","1","1","0","0","2","1","4","6","0","10","0","0","-"
"67","Erik Karlsson","S.J","D","6","170.76666666667","1","8","5","3","9","60.00","23","4.35","0.89","49","30","20","4","8","4","0","0","0","0","0","2","9","7","3","10","6","0","0","-"
"263","Carter Verhaeghe","FLA","C","6","116.96666666667","6","3","2","1","9","81.82","28","21.43","3.1","43","35","26","14","0","6","8","4","4","0","0","2","5","5","2","10","3","0","2","0.00"
"431","Auston Matthews","TOR","C","7","136.93333333333","4","5","4","1","9","75.00","29","13.79","4.25","58","47","40","23","3","6","2","1","1","0","0","3","12","9","11","16","6","56","54","50.91"
"570","Brady Tkachuk","OTT","L","7","140.55","1","8","5","3","9","69.23","34","2.94","5.18","51","49","38","25","3","4","8","4","4","0","0","5","5","2","15","15","1","32","38","45.71"
"87","John Tavares","TOR","C","7","113.23333333333","5","3","1","2","8","72.73","20","25.00","3.5","40","35","27","17","2","3","8","4","4","0","0","0","8","6","12","10","3","56","39","58.95"
"180","Nikita Kucherov","T.B","R","6","124.66666666667","3","5","3","2","8","88.89","30","10.00","3.7","52","41","28","7","4","3","8","4","4","0","0","5","17","5","11","16","1","0","0","-"
"225","Chandler Stephenson","VGK","C","6","119.13333333333","2","6","2","4","8","61.54","10","20.00","1.65","13","12","12","7","2","1","2","1","1","0","0","0","1","4","7","8","2","44","24","64.71"
"286","Elias Lindholm","CGY","C","7","136.61666666667","4","4","3","1","8","88.89","19","21.05","2.46","29","24","21","12","0","3","2","1","1","0","0","2","3","3","12","3","5","80","70","53.33"
"329","Brandon Montour","FLA","D","6","150.83333333333","1","7","2","5","8","53.33","19","5.26","1.25","37","30","16","2","1","4","6","3","3","0","0","1","6","6","12","6","10","0","0","-"
"359","Kyle Connor","WPG","L","5","105.13333333333","1","7","4","3","8","80.00","15","6.67","2.15","36","23","27","9","2","4","2","1","1","0","0","1","2","4","0","6","1","0","0","-"
"364","Jack Eichel","VGK","C","6","114.56666666667","5","3","2","1","8","72.73","25","20.00","2.35","36","28","18","6","1","0","0","0","0","0","0","0","5","7","9","9","5","21","32","39.62"
"367","Timo Meier","S.J","R","6","122.2","5","3","3","0","8","66.67","27","18.52","2.78","46","37","31","12","4","2","2","1","1","0","0","3","6","9","16","8","1","2","7","22.22"
"381","Mathew Barzal","NYI","C","7","128.88333333333","0","8","4","4","8","80.00","17","0.00","2.17","39","31","27","6","1","3","2","1","1","0","0","0","13","7","5","5","2","19","28","40.43"
"383","Roope Hintz","DAL","C","6","100.53333333333","1","7","2","5","8","53.33","12","8.33","1.09","17","15","13","4","0","0","4","2","2","0","0","0","2","4","6","5","2","17","19","47.22"
"519","Nick Suzuki","MTL","C","6","128.85","5","3","1","2","8","72.73","13","38.46","1.47","19","16","13","7","1","2","0","0","0","0","0","1","4","2","1","7","4","39","51","43.33"
