"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"592","Timothy Liljegren","TOR","D","18","341.31666666667","2","3","3","0","5","26.32","15","13.33","0.67","31","23","10","1","0","0","6","3","3","0","0","2","12","6","35","46","27","0","0","-"
"620","Sebastian Aho","NYI","D","25","360.1","2","3","1","2","5","33.33","30","6.67","1.32","52","40","15","6","1","4","2","1","1","0","0","5","9","4","12","36","16","0","0","-"
"663","Rasmus Kupari","L.A","C","16","177.65","2","3","2","1","5","62.50","12","16.67","1.93","21","19","12","8","1","4","6","3","3","0","0","1","2","1","18","21","10","70","72","49.30"
"705","Peyton Krebs","BUF","C","22","262.41666666667","2","3","2","1","5","50.00","16","12.50","1.75","36","24","19","8","1","0","14","6","6","0","0","3","5","5","18","23","4","35","55","38.89"
"707","Bowen Byram","COL","D","10","207.9","2","3","1","2","5","55.56","11","18.18","1.07","27","15","9","3","2","1","4","2","2","0","0","2","4","4","15","27","11","0","0","-"
"723","Nicholas Robertson","TOR","L","15","163.26666666667","2","3","0","3","5","71.43","27","7.41","2.74","48","36","26","11","5","1","0","0","0","0","0","3","5","7","18","13","7","2","1","66.67"
"734","Juuso Parssinen","NSH","C","11","177.95","3","2","0","2","5","100.00","17","17.65","2.17","25","22","19","12","1","1","0","0","0","0","0","1","7","7","22","16","3","46","59","43.81"
"767","Nils Aman","VAN","C","28","343.68333333333","1","4","2","2","5","62.50","20","5.00","2.26","32","26","23","11","0","4","2","1","1","0","0","2","2","3","21","32","18","71","115","38.17"
"776","Cole Sillinger","CBJ","C","27","346.31666666667","2","3","1","2","5","35.71","37","5.41","3.94","65","51","42","14","1","5","12","6","6","0","0","2","6","7","38","29","10","125","157","44.33"
"2","Ryan Suter","DAL","D","28","611.73333333333","0","4","1","3","4","17.39","33","0.00","1.12","97","56","27","3","2","5","16","8","8","0","0","2","21","12","37","15","45","0","0","-"
"18","Jack Johnson","CHI","D","26","529","0","4","1","3","4","44.44","32","0.00","1.65","60","42","22","6","1","4","10","5","5","0","0","5","16","3","34","21","47","0","0","-"
"20","Marc Staal","FLA","D","29","521.55","0","4","1","3","4","20.00","22","0.00","2.13","70","44","23","8","1","9","8","4","4","0","0","3","11","6","57","39","36","0","0","-"
"61","Alec Martinez","VGK","D","30","597.8","0","4","2","2","4","13.79","23","0.00","1.09","66","37","14","2","1","5","12","6","6","0","0","2","11","10","17","71","117","0","0","-"
"64","Nick Holden","OTT","D","22","358.2","1","3","1","2","4","36.36","25","4.00","0.66","51","31","9","0","0","2","2","1","1","0","0","1","14","5","34","33","27","0","0","-"
"117","Chris Wideman","MTL","D","15","222.63333333333","0","4","2","2","4","36.36","18","0.00","0.54","33","24","8","1","1","1","25","7","5","1","1","3","16","1","5","26","15","0","0","-"
"201","Jonas Brodin","MIN","D","21","464.33333333333","0","4","0","4","4","25.00","30","0.00","0.95","58","35","11","1","0","3","12","6","6","0","0","3","12","8","19","42","40","0","0","-"
"216","Luke Glendening","DAL","C","28","347.75","2","2","0","2","4","44.44","20","10.00","3.63","48","37","31","20","4","8","37","9","6","1","2","8","3","3","36","38","24","143","90","61.37"
"283","Josh Brown","ARI","D","22","403.33333333333","3","1","0","1","4","25.00","25","12.00","1.26","43","37","13","4","2","1","21","6","3","3","0","5","9","5","48","30","49","0","0","-"
"307","Tyler Bertuzzi","DET","L","9","139.73333333333","1","3","1","2","4","44.44","22","4.55","2.49","33","29","24","14","0","2","4","2","2","0","0","1","5","1","9","6","4","0","1","0.00"
"312","Jonathan Drouin","MTL","L","12","161.35","0","4","4","0","4","66.67","11","0.00","1.31","24","15","14","4","0","5","0","0","0","0","0","1","5","3","6","5","3","3","4","42.86"
"335","Garnet Hathaway","WSH","R","30","365.33333333333","2","2","0","2","4","36.36","32","6.25","3.34","60","44","34","21","5","1","35","12","10","1","1","13","4","9","106","61","36","3","3","50.00"
"388","Jake Evans","MTL","C","27","377.05","0","4","2","2","4","66.67","24","0.00","2.19","49","31","29","12","6","3","9","3","2","1","0","9","16","8","5","32","22","167","153","52.19"
"408","Erik Cernak","T.B","D","23","461.73333333333","0","4","1","3","4","25.00","19","0.00","0.92","50","31","21","0","4","1","14","7","7","0","0","4","10","6","78","50","49","0","0","-"
"411","Jansen Harkins","WPG","C","12","128.1","2","2","1","1","4","57.14","13","15.38","1.35","27","17","16","7","0","4","8","4","4","0","0","2","4","5","3","5","7","2","6","25.00"
"415","Keegan Kolesar","VGK","R","28","321.05","3","1","1","0","4","28.57","20","15.00","3.13","42","31","31","18","5","1","27","9","6","3","0","9","6","7","91","52","19","6","13","31.58"
"418","Brandon Carlo","BOS","D","23","428.41666666667","0","4","1","3","4","21.05","34","0.00","2.32","57","45","18","7","4","2","14","7","7","0","0","1","4","12","50","49","35","0","0","-"
"447","Anthony Cirelli","T.B","C","4","60.15","0","4","4","0","4","66.67","15","0.00","2.44","23","21","20","16","0","5","0","0","0","0","0","0","1","2","2","9","4","22","24","47.83"
"454","Denis Malgin","TOR","C","20","227.95","2","2","2","0","4","57.14","44","4.55","3.67","75","59","49","16","1","5","4","2","2","0","0","3","10","7","27","30","4","1","1","50.00"
"478","Wade Allison","PHI","R","14","175.2","3","1","0","1","4","66.67","24","12.50","3.25","40","32","24","16","2","3","6","3","3","0","0","1","2","2","42","25","14","1","1","50.00"
"503","Andrew Peeke","CBJ","D","27","552.85","2","2","0","2","4","18.18","25","8.00","0.78","64","31","15","1","1","4","12","6","6","0","0","4","12","8","52","40","54","0","0","-"
"505","Dante Fabbro","NSH","D","24","388.1","0","4","2","2","4","28.57","31","0.00","0.85","71","44","13","0","2","6","16","8","8","0","0","3","13","6","29","61","30","0","0","-"
"531","Brandon Duhaime","MIN","R","14","132.68333333333","3","1","1","0","4","57.14","21","14.29","2.11","37","28","18","8","0","4","20","7","5","2","0","8","2","2","40","14","5","0","1","0.00"
"538","Tanner Laczynski","PHI","C","19","194.08333333333","2","2","2","0","4","66.67","14","14.29","1.1","23","18","11","4","0","1","2","1","1","0","0","1","3","4","12","17","5","18","19","48.65"
"552","Zach Aston-Reese","TOR","C","27","313.65","3","1","0","1","4","80.00","24","12.50","2.84","40","33","27","16","3","4","15","6","5","1","0","4","7","6","56","55","22","2","3","40.00"
"566","Jaret Anderson-Dolan","L.A","C","16","164.38333333333","2","2","1","1","4","50.00","23","8.70","2.06","33","30","19","12","3","3","0","0","0","0","0","0","1","2","26","21","11","14","13","51.85"
"572","Jesper Boqvist","N.J","C","21","225.25","3","1","1","0","4","50.00","21","14.29","2.94","35","30","24","14","7","5","0","0","0","0","0","4","7","3","11","34","6","33","47","41.25"
"575","Eeli Tolvanen","NSH","R","13","166.61666666667","2","2","2","0","4","66.67","19","10.53","1.26","34","26","12","3","0","1","4","2","2","0","0","2","2","0","22","11","16","1","2","33.33"
