"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"60","Daniil Tarasov","CBJ","1","20","6","6","0","1.000","0.00","0.57","0.43","1","1","0","1.000","0.00","0.18","1","1","0","1.000","0.00","0.11","4","4","0","1.000","0.00","0.14","0","0","37.67","-"
"66","Akira Schmid","N.J","1","13.833333333333","7","7","0","1.000","0.00","0.66","0.96","1","1","0","1.000","0.00","0.18","5","5","0","1.000","0.00","0.56","1","1","0","1.000","0.00","0.04","0","0","25.14","-"
"61","Jeremy Swayman","BOS","2","73.85","33","32","1","0.970","0.81","2.11","4.03","11","11","0","1.000","0.00","1.95","9","8","1","0.889","0.81","0.00","11","11","0","1.000","0.00","0.39","2","8","33.76","38.00"
"64","Pavel Francouz","COL","1","58.45","23","22","1","0.957","1.03","1.17","2.02","7","6","1","0.857","1.03","0.24","4","4","0","1.000","0.00","0.45","11","11","0","1.000","0.00","0.39","4","1","34.00","17.00"
"56","Filip Gustavsson","MIN","2","117.9","57","54","3","0.947","1.53","2.37","4.59","11","10","1","0.909","0.51","0.95","20","18","2","0.900","1.02","0.23","22","22","0","1.000","0.00","0.79","5","3","34.30","19.67"
"26","Connor Hellebuyck","WPG","5","305.33333333333","166","157","9","0.946","1.77","6.63","16.88","51","43","8","0.843","1.57","1.03","46","45","1","0.978","0.20","4.13","61","61","0","1.000","0.00","2.18","8","28","32.94","12.67"
"59","Jake Oettinger","DAL","2","86.333333333333","37","35","2","0.946","1.39","1.48","3.85","8","7","1","0.875","0.69","0.42","11","11","0","1.000","0.00","1.23","18","17","1","0.944","0.69","-0.36","1","5","33.62","21.50"
"48","Karel Vejmelka","ARI","6","349.01666666667","196","185","11","0.944","1.89","7.46","18.61","47","40","7","0.851","1.20","1.32","50","47","3","0.940","0.52","2.58","89","88","1","0.989","0.17","2.18","5","28","35.55","20.27"
"18","Petr Mrazek","CHI","1","64.966666666667","35","33","2","0.943","1.85","1.30","3.8","12","12","0","1.000","0.00","2.12","11","9","2","0.818","1.85","-0.77","12","12","0","1.000","0.00","0.43","4","6","27.40","28.00"
"12","Martin Jones","SEA","5","298.28333333333","135","127","8","0.941","1.61","4.71","13.17","38","33","5","0.868","1.01","1.73","37","35","2","0.946","0.40","2.13","50","49","1","0.980","0.20","0.79","6","19","35.74","21.88"
"38","Ilya Sorokin","NYI","6","311.13333333333","166","156","10","0.940","1.93","5.63","15.24","47","41","6","0.872","1.16","2.32","41","39","2","0.951","0.39","2.57","70","68","2","0.971","0.39","0.50","6","27","34.81","24.40"
"45","Sam Montembeault","MTL","3","181.46666666667","114","107","7","0.939","2.31","3.74","10.41","33","30","3","0.909","0.99","2.84","36","34","2","0.944","0.66","2.01","41","39","2","0.951","0.66","-0.53","5","16","32.43","24.71"
"27","Linus Ullmark","BOS","6","346.6","171","160","11","0.936","1.90","5.10","14.59","46","39","7","0.848","1.21","1.15","36","34","2","0.944","0.35","2.01","72","70","2","0.972","0.35","0.58","8","20","39.16","20.36"
"55","Carter Hart","PHI","5","306.08333333333","186","174","12","0.935","2.35","5.52","20.09","50","46","4","0.920","0.78","4.85","60","55","5","0.917","0.98","1.69","67","64","3","0.955","0.59","-0.60","10","38","34.46","21.17"
"67","Spencer Knight","FLA","4","237.23333333333","121","113","8","0.934","2.02","3.39","10.74","42","41","1","0.976","0.25","6.44","28","24","4","0.857","1.01","-0.88","44","41","3","0.932","0.76","-1.43","7","19","33.73","27.25"
"36","Vitek Vanecek","N.J","6","324.16666666667","150","140","10","0.933","1.85","4.13","14.13","34","30","4","0.882","0.74","2.02","39","35","4","0.897","0.74","0.35","61","59","2","0.967","0.37","0.18","10","24","40.51","26.10"
"13","Darcy Kuemper","WSH","6","358.4","174","162","12","0.931","2.01","4.39","18.76","53","45","8","0.849","1.34","1.38","28","26","2","0.929","0.33","1.12","85","83","2","0.976","0.33","1.04","16","18","36.82","17.08"
"63","Alexandar Georgiev","COL","4","237.58333333333","149","138","11","0.926","2.78","3.03","14.59","41","36","5","0.878","1.26","2.26","36","34","2","0.944","0.51","2.01","67","63","4","0.940","1.01","-1.60","9","33","34.01","23.45"
"69","Arvid Soderblom","CHI","4","216.61666666667","132","122","10","0.924","2.77","2.43","11.95","36","31","5","0.861","1.38","1.37","34","31","3","0.912","0.83","0.79","53","51","2","0.962","0.55","-0.10","8","27","38.01","21.00"
"2","Marc-Andre Fleury","MIN","5","302.9","143","132","11","0.923","2.18","2.47","11.79","29","23","6","0.793","1.19","-0.86","41","37","4","0.902","0.79","0.57","66","65","1","0.985","0.20","1.36","15","15","38.25","19.64"
"54","Dylan Wells","CHI","1","20","13","12","1","0.923","3.00","0.22","1.62","4","4","0","1.000","0.00","0.71","3","2","1","0.667","3.00","-0.67","5","5","0","1.000","0.00","0.18","1","0","28.00","28.00"
"65","Kevin Lankinen","NSH","3","159.45","78","72","6","0.923","2.26","1.35","7.16","22","18","4","0.818","1.51","-0.10","16","15","1","0.938","0.38","0.78","34","33","1","0.971","0.38","0.22","6","10","38.03","19.00"
