"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"21","Keith Kinkaid","BOS","1","59.9","31","30","1","0.968","1.00","1.93","2.92","9","8","1","0.889","1.00","0.58","9","9","0","1.000","0.00","0.97","11","11","0","1.000","0.00","0.43","0","5","37.65","8.00"
"31","Linus Ullmark","BOS","22","1271.0333333333","635","595","40","0.937","1.89","20.07","54.25","163","141","22","0.865","1.04","6.70","159","151","8","0.950","0.38","9.11","262","252","10","0.962","0.47","0.33","45","93","38.85","21.70"
"76","Akira Schmid","N.J","8","398.18333333333","191","178","13","0.932","1.96","5.07","18.97","42","36","6","0.857","0.90","1.39","58","53","5","0.914","0.75","1.24","80","78","2","0.975","0.30","1.15","6","30","37.40","19.31"
"52","Ilya Samsonov","TOR","12","696.36666666667","323","300","23","0.929","1.98","7.56","29.83","91","80","11","0.879","0.95","5.02","82","73","9","0.890","0.78","-0.18","128","125","3","0.977","0.26","2.05","27","51","36.82","19.61"
"30","Connor Hellebuyck","WPG","24","1443.3833333333","781","725","56","0.928","2.33","17.88","73.77","213","180","33","0.845","1.37","4.50","215","205","10","0.953","0.42","13.14","309","296","13","0.958","0.54","-0.82","43","114","35.71","21.77"
"78","Pyotr Kochetkov","CAR","15","864.55","389","361","28","0.928","1.94","8.80","37.84","134","119","15","0.888","1.04","8.59","93","83","10","0.892","0.69","0.01","138","135","3","0.978","0.21","2.44","34","54","34.13","20.36"
"44","Ilya Sorokin","NYI","23","1271.2833333333","677","627","50","0.926","2.36","14.05","70.39","211","179","32","0.848","1.51","5.15","175","164","11","0.937","0.52","7.83","266","259","7","0.974","0.33","3.49","34","142","33.54","21.00"
"27","Matt Murray","TOR","12","719.03333333333","375","347","28","0.925","2.34","7.48","35.91","105","91","14","0.867","1.17","4.49","105","96","9","0.914","0.75","2.30","150","145","5","0.967","0.42","0.91","39","68","33.74","20.54"
"75","Kevin Lankinen","NSH","8","454.91666666667","265","245","20","0.925","2.64","5.07","24.83","71","63","8","0.887","1.06","4.50","66","59","7","0.894","0.92","0.10","108","103","5","0.954","0.66","-0.74","19","45","36.75","24.05"
"71","Alexandar Georgiev","COL","22","1331.5833333333","693","640","53","0.924","2.39","12.56","59.38","185","159","26","0.859","1.17","6.57","152","138","14","0.908","0.63","2.36","312","299","13","0.958","0.59","-0.70","41","105","36.86","21.34"
"60","Dylan Wells","CHI","1","20","13","12","1","0.923","3.00","0.23","1.62","4","4","0","1.000","0.00","0.70","3","2","1","0.667","3.00","-0.68","5","5","0","1.000","0.00","0.20","1","0","28.00","28.00"
"1","Craig Anderson","BUF","13","746.33333333333","425","392","33","0.922","2.65","7.21","38.47","119","103","16","0.866","1.29","4.95","125","113","12","0.904","0.96","1.45","163","158","5","0.969","0.40","1.43","30","51","36.49","22.24"
"36","Tristan Jarry","PIT","21","1267.3","703","648","55","0.922","2.60","11.50","56.46","181","147","34","0.812","1.61","-2.13","180","168","12","0.933","0.57","7.37","298","289","9","0.970","0.43","2.75","32","77","37.28","19.91"
"62","Filip Gustavsson","MIN","12","702.7","345","318","27","0.922","2.31","5.64","31.04","88","75","13","0.852","1.11","2.49","100","90","10","0.900","0.85","0.76","136","132","4","0.971","0.34","1.36","30","51","35.71","21.89"
"9","Semyon Varlamov","NYI","12","702.38333333333","381","350","31","0.919","2.65","5.04","36.79","111","95","16","0.856","1.37","3.54","99","89","10","0.899","0.85","0.65","145","140","5","0.966","0.43","0.72","31","56","36.17","20.00"
"65","Jake Oettinger","DAL","24","1359.6","688","632","56","0.919","2.47","9.09","65.78","199","167","32","0.839","1.41","3.04","164","147","17","0.896","0.75","0.65","293","286","7","0.976","0.31","4.55","41","93","33.95","19.30"
"47","Igor Shesterkin","NYR","25","1512.6","743","682","61","0.918","2.42","9.29","70.03","211","178","33","0.844","1.31","4.15","209","190","19","0.909","0.75","3.49","282","273","9","0.968","0.36","2.12","69","89","34.46","20.97"
"26","Andrei Vasilevskiy","T.B","23","1375.2166666667","696","638","58","0.917","2.53","7.84","65.09","189","160","29","0.847","1.27","4.28","203","179","24","0.882","1.05","-2.15","274","269","5","0.982","0.22","5.80","31","98","33.94","20.66"
"70","Logan Thompson","VGK","23","1379","719","659","60","0.917","2.61","8.02","61.12","177","148","29","0.836","1.26","2.16","185","167","18","0.903","0.78","1.91","312","300","12","0.962","0.52","0.30","56","96","37.30","21.37"
"13","Darcy Kuemper","WSH","20","1126.1333333333","570","522","48","0.916","2.56","5.92","54.83","145","116","29","0.800","1.55","-3.47","137","126","11","0.920","0.59","3.74","256","248","8","0.969","0.43","2.09","52","84","37.02","20.13"
"7","Alex Stalock","CHI","7","328.2","187","171","16","0.914","2.93","1.69","17.23","45","36","9","0.800","1.65","-1.08","55","48","7","0.873","1.28","-1.08","73","73","0","1.000","0.00","2.88","17","27","36.70","18.88"
"58","Casey DeSmith","PIT","11","656.85","362","331","31","0.914","2.83","3.25","33.37","91","74","17","0.813","1.55","-0.98","107","102","5","0.953","0.46","6.52","140","131","9","0.936","0.82","-3.48","21","42","36.31","21.10"
"35","Juuse Saros","NSH","24","1410.5","759","693","66","0.913","2.81","5.80","74.85","210","179","31","0.852","1.32","5.97","251","223","28","0.888","1.19","-0.99","258","251","7","0.973","0.30","3.17","50","109","33.69","21.85"
"64","Stuart Skinner","EDM","20","1182.3833333333","647","591","56","0.913","2.84","5.21","64.76","185","158","27","0.854","1.37","5.57","193","170","23","0.881","1.17","-2.23","228","222","6","0.974","0.30","2.99","42","87","34.06","22.36"
"67","Daniil Tarasov","CBJ","11","594.43333333333","355","324","31","0.913","3.13","2.58","32.09","87","69","18","0.793","1.82","-2.68","104","96","8","0.923","0.81","3.19","151","146","5","0.967","0.50","0.95","25","69","37.06","21.13"
"74","Pavel Francouz","COL","9","535.43333333333","286","261","25","0.913","2.80","2.06","24.23","75","57","18","0.760","2.02","-4.79","75","71","4","0.947","0.45","4.07","123","120","3","0.976","0.34","1.85","16","35","35.30","18.68"
"39","Pheonix Copley","L.A","6","369.75","171","156","15","0.912","2.43","1.18","16.38","39","32","7","0.821","1.14","-0.13","51","47","4","0.922","0.65","1.49","72","68","4","0.944","0.65","-1.16","15","30","38.22","24.87"
"45","Ville Husso","DET","23","1367.6","703","641","62","0.912","2.72","4.50","67.59","180","158","22","0.878","0.97","9.69","206","178","28","0.864","1.23","-5.83","272","260","12","0.956","0.53","-1.28","42","114","35.46","23.27"
"51","Sam Montembeault","MTL","11","664.43333333333","364","332","32","0.912","2.89","2.44","36.95","114","96","18","0.842","1.63","2.07","109","100","9","0.917","0.81","2.73","133","128","5","0.962","0.45","0.24","10","61","30.60","18.91"
"61","Carter Hart","PHI","25","1487.5333333333","799","729","70","0.912","2.82","5.59","80.56","246","210","36","0.854","1.45","7.31","203","179","24","0.882","0.97","-2.15","301","292","9","0.970","0.36","2.87","71","149","35.01","20.97"
"14","Cam Talbot","OTT","18","955.08333333333","477","434","43","0.910","2.70","2.12","45.71","125","102","23","0.816","1.44","-0.99","132","117","15","0.886","0.94","-0.79","185","180","5","0.973","0.31","2.29","41","82","37.44","21.95"
"17","Scott Wedgewood","DAL","13","693.6","388","353","35","0.910","3.03","1.71","37.32","120","101","19","0.842","1.64","2.13","100","89","11","0.890","0.95","-0.24","147","142","5","0.966","0.43","0.80","26","57","35.53","18.34"
"59","Charlie Lindgren","WSH","16","908.61666666667","454","413","41","0.910","2.71","1.95","41.33","114","89","25","0.781","1.65","-4.93","134","124","10","0.925","0.66","4.42","182","176","6","0.967","0.40","1.18","38","39","35.61","19.51"
"63","David Rittich","WPG","8","471.25","219","199","20","0.909","2.55","0.72","19.28","46","39","7","0.848","0.89","1.10","57","50","7","0.877","0.89","-0.87","106","100","6","0.943","0.76","-1.82","11","28","37.68","24.05"
"77","Spencer Knight","FLA","16","901.35","483","439","44","0.909","2.93","1.69","41.94","128","111","17","0.867","1.13","5.54","129","110","19","0.853","1.26","-5.12","200","192","8","0.960","0.53","-0.11","20","58","35.80","24.07"
"42","Vitek Vanecek","N.J","21","1126.6166666667","502","456","46","0.908","2.45","1.49","46.44","125","101","24","0.808","1.28","-1.99","126","112","14","0.889","0.75","-0.44","212","204","8","0.962","0.43","0.36","26","72","37.28","20.72"
"54","Karel Vejmelka","ARI","23","1373.1","792","719","73","0.908","3.19","1.92","82.11","247","202","45","0.818","1.97","-1.51","217","200","17","0.922","0.74","6.35","298","287","11","0.963","0.48","0.75","40","128","33.24","21.37"
"22","Anton Forsberg","OTT","17","890.45","512","464","48","0.906","3.23","0.44","51.41","142","115","27","0.810","1.82","-2.00","147","137","10","0.932","0.67","5.82","189","178","11","0.942","0.74","-3.55","42","89","34.59","21.02"
"68","Eetu Makiniemi","S.J","2","84.333333333333","32","29","3","0.906","2.13","0.03","2.64","9","8","1","0.889","0.71","0.58","9","7","2","0.778","1.42","-1.03","12","12","0","1.000","0.00","0.47","4","3","32.72","26.00"
"50","Dan Vladar","CGY","11","641.5","317","287","30","0.905","2.81","-0.01","29.2","82","71","11","0.866","1.03","3.44","107","95","12","0.888","1.12","-0.48","112","105","7","0.938","0.65","-2.58","17","38","35.05","28.07"
"24","Magnus Hellberg","DET, OTT","2","117.91666666667","52","47","5","0.904","2.54","-0.08","4.79","18","15","3","0.833","1.53","0.17","13","11","2","0.846","1.02","-0.60","21","21","0","1.000","0.00","0.83","4","7","29.79","21.00"
"73","Lukas Dostal","ANA","6","328.2","209","189","20","0.904","3.66","-0.23","20.86","59","45","14","0.763","2.56","-3.61","52","52","0","1.000","0.00","5.60","91","85","6","0.934","1.10","-2.41","12","26","34.44","20.50"
"5","Thomas Greiss","STL","11","608.2","371","335","36","0.903","3.55","-0.90","33.4","105","84","21","0.800","2.07","-2.51","111","102","9","0.919","0.89","2.95","129","123","6","0.953","0.59","-0.91","24","51","36.57","18.42"
"8","James Reimer","S.J","18","1084.8","566","511","55","0.903","3.04","-1.46","53.03","149","125","24","0.839","1.33","2.23","165","144","21","0.873","1.16","-3.24","219","209","10","0.954","0.55","-1.37","40","98","34.80","21.84"
"28","Joonas Korpisalo","CBJ","12","612.66666666667","370","334","36","0.903","3.53","-1.00","34.08","98","81","17","0.827","1.66","0.25","101","89","12","0.881","1.18","-1.13","151","144","7","0.954","0.69","-1.05","19","59","34.76","19.22"
"53","Adin Hill","VGK","12","722","331","299","32","0.903","2.66","-0.69","29.44","78","62","16","0.795","1.33","-2.27","100","88","12","0.880","1.00","-1.24","132","128","4","0.970","0.33","1.20","19","41","36.90","19.38"
"2","Marc-Andre Fleury","MIN","21","1223.1","584","526","58","0.901","2.85","-2.75","52.97","163","127","36","0.779","1.77","-7.30","146","132","14","0.904","0.69","1.71","252","244","8","0.968","0.39","1.94","37","74","34.70","19.97"
"11","Jake Allen","MTL","22","1321.4666666667","717","645","72","0.900","3.27","-4.17","72.9","221","179","42","0.810","1.91","-3.09","202","179","23","0.886","1.04","-1.26","255","248","7","0.973","0.32","3.05","45","105","34.24","18.74"
"56","Joey Daccord","SEA","1","60","40","36","4","0.900","4.00","-0.22","3","11","10","1","0.909","1.00","0.94","13","11","2","0.846","2.00","-0.60","15","14","1","0.933","1.00","-0.41","1","5","35.68","22.00"
"55","Erik Kallgren","TOR","10","561.66666666667","246","221","25","0.898","2.67","-1.73","23.56","76","64","12","0.842","1.28","1.38","63","53","10","0.841","1.07","-3.22","90","87","3","0.967","0.32","0.55","18","38","35.37","17.48"
"23","Jordan Binnington","STL","24","1379.4166666667","692","621","71","0.897","3.09","-5.54","68.15","193","154","39","0.798","1.70","-5.02","207","188","19","0.908","0.83","3.28","263","250","13","0.951","0.57","-2.63","48","109","33.16","21.41"
"32","Aaron Dell","S.J","2","116.9","68","61","7","0.897","3.59","-0.57","7.36","25","23","2","0.920","1.03","2.40","19","14","5","0.737","2.57","-2.96","22","22","0","1.000","0.00","0.87","5","12","30.69","21.29"
"25","John Gibson","ANA","22","1188.3833333333","756","677","79","0.896","3.99","-7.48","73.77","266","220","46","0.827","2.32","0.83","206","182","24","0.883","1.21","-1.83","262","253","9","0.966","0.45","1.33","28","110","30.01","19.75"
"15","Sergei Bobrovsky","FLA","20","1126.3","580","519","61","0.895","3.25","-6.13","58.08","167","132","35","0.790","1.86","-5.60","150","136","14","0.907","0.75","2.14","228","216","12","0.947","0.64","-3.01","43","96","35.72","20.69"
"69","Jeremy Swayman","BOS","11","551.48333333333","237","212","25","0.895","2.72","-2.58","22.82","74","64","10","0.865","1.09","3.03","71","57","14","0.803","1.52","-6.36","76","75","1","0.987","0.11","2.00","21","35","35.53","21.92"
"4","Brian Elliott","T.B","9","543.66666666667","283","253","30","0.894","3.31","-3.23","29.05","86","71","15","0.826","1.66","0.14","70","62","8","0.886","0.88","-0.47","116","109","7","0.940","0.77","-2.43","20","54","33.35","16.97"
"79","Arvid Soderblom","CHI","15","835.23333333333","453","405","48","0.894","3.45","-5.15","42.49","133","109","24","0.820","1.72","-0.58","132","115","17","0.871","1.22","-2.79","163","156","7","0.957","0.50","-0.57","33","64","34.77","20.02"
"10","Jacob Markstrom","CGY","23","1352.2166666667","609","544","65","0.893","2.88","-7.39","63.6","174","142","32","0.816","1.42","-1.36","191","164","27","0.859","1.20","-6.44","207","201","6","0.971","0.27","2.16","62","93","34.66","21.31"
"48","Mackenzie Blackwood","N.J","9","446.1","185","165","20","0.892","2.69","-2.50","19.98","50","45","5","0.900","0.67","3.80","53","43","10","0.811","1.34","-4.30","75","70","5","0.933","0.67","-2.04","12","36","35.05","24.30"
"20","Frederik Andersen","CAR","8","485.81666666667","201","179","22","0.891","2.72","-2.99","19.12","59","47","12","0.797","1.48","-1.61","60","55","5","0.917","0.62","1.46","63","58","5","0.921","0.62","-2.52","14","32","35.37","18.00"
"33","Antti Raanta","CAR","10","588.45","248","221","27","0.891","2.75","-3.54","22.39","70","58","12","0.829","1.22","0.32","73","61","12","0.836","1.22","-4.14","87","84","3","0.966","0.31","0.43","11","25","35.75","22.63"
"3","Jaroslav Halak","NYR","9","533.38333333333","246","219","27","0.890","3.04","-3.73","23.77","77","62","15","0.805","1.69","-1.44","61","54","7","0.885","0.79","-0.44","100","95","5","0.950","0.56","-1.06","17","26","33.25","18.93"
"12","Martin Jones","SEA","22","1217.9166666667","533","474","59","0.889","2.91","-8.58","55.12","146","114","32","0.781","1.58","-6.29","160","140","20","0.875","0.99","-2.78","198","191","7","0.965","0.34","0.81","48","84","35.35","18.86"
