"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"369","Connor McDavid","EDM","C","8","179.1","9","11","3","8","20","83.33","32","28.13","3.5","50","43","32","11","2","5","4","2","2","0","0","3","9","10","4","10","3","40","54","42.55"
"315","Leon Draisaitl","EDM","C","8","172.78333333333","8","10","10","0","18","75.00","22","36.36","2.6","42","33","31","9","0","4","2","1","1","0","0","6","11","2","2","17","3","51","39","56.67"
"468","Tage Thompson","BUF","C","7","137.58333333333","9","7","4","3","16","84.21","34","26.47","3.27","59","44","30","12","1","3","4","2","2","0","0","6","3","1","7","6","3","27","49","35.53"
"618","Dylan Cozens","BUF","C","7","123.45","4","10","4","6","14","77.78","22","18.18","2.26","37","27","25","6","2","2","8","4","4","0","0","3","1","2","2","5","3","54","57","48.65"
"10","Alex Ovechkin","WSH","L","7","136.06666666667","7","4","1","3","11","68.75","36","19.44","6.21","67","49","28","11","0","7","0","0","0","0","0","2","3","1","15","1","5","0","0","-"
"141","Zach Hyman","EDM","L","7","144.11666666667","4","7","2","5","11","47.83","33","12.12","5.34","42","39","42","24","0","3","0","0","0","0","0","4","1","1","7","4","1","0","0","-"
"180","Ryan Nugent-Hopkins","EDM","C","8","153.26666666667","5","6","5","1","11","61.11","22","22.73","2.94","31","25","18","6","1","1","10","4","4","0","0","0","2","2","2","4","1","53","62","46.09"
"121","Mats Zuccarello","MIN","R","8","159.5","3","7","5","2","10","76.92","26","11.54","2.12","38","31","24","10","0","3","6","3","3","0","0","4","2","4","7","8","7","1","3","25.00"
"140","Jeff Skinner","BUF","L","5","87.65","3","7","5","2","10","66.67","18","16.67","2.43","34","25","24","13","1","4","7","2","1","1","0","1","2","2","2","8","1","10","10","50.00"
"387","Roope Hintz","DAL","C","7","127.96666666667","5","5","4","1","10","76.92","22","22.73","2.79","36","28","25","12","2","2","0","0","0","0","0","3","5","0","4","9","4","26","24","52.00"
"407","Artemi Panarin","NYR","L","7","137.15","0","10","7","3","10","90.91","16","0.00","1.82","39","27","20","5","1","5","0","0","0","0","0","0","6","1","3","3","1","0","2","0.00"
"427","Matthew Tkachuk","FLA","L","7","132.06666666667","4","6","2","4","10","76.92","15","26.67","1.58","31","24","19","10","2","2","6","3","3","0","0","3","2","2","3","7","2","1","2","33.33"
"440","Alex DeBrincat","OTT","R","8","160.75","3","7","5","2","10","62.50","27","11.11","2.92","55","42","32","10","1","8","6","3","3","0","0","4","2","0","8","4","5","3","0","100.00"
"464","Pierre-Luc Dubois","WPG","L","7","124.86666666667","4","6","4","2","10","71.43","13","30.77","1.99","26","18","20","10","1","1","4","2","2","0","0","3","4","4","2","4","4","62","48","56.36"
"544","Drake Batherson","OTT","R","8","159.58333333333","3","7","5","2","10","71.43","33","9.09","4.6","51","41","30","19","2","5","6","3","3","0","0","4","6","5","14","16","3","0","2","0.00"
"11","Evgeni Malkin","PIT","C","6","107.96666666667","1","8","5","3","9","90.00","21","4.76","2.57","36","28","21","8","1","3","2","1","1","0","0","3","9","5","0","12","1","31","21","59.62"
"162","Johnny Gaudreau","CBJ","L","7","141.86666666667","2","7","5","2","9","90.00","18","11.11","3.1","33","26","20","5","0","0","0","0","0","0","0","2","2","2","1","3","1","0","0","-"
"184","Mika Zibanejad","NYR","C","7","142.05","4","5","3","2","9","64.29","26","15.38","2.3","36","30","14","7","5","2","2","1","1","0","0","2","4","6","9","10","2","52","79","39.69"
"365","Kyle Connor","WPG","L","7","137.36666666667","3","6","4","2","9","64.29","23","13.04","1.99","42","30","27","6","1","5","0","0","0","0","0","0","0","3","3","4","4","0","0","-"
"398","Mitchell Marner","TOR","R","6","126.53333333333","5","4","2","2","9","90.00","20","25.00","3.2","41","26","26","7","1","3","4","2","2","0","0","0","5","11","5","12","3","0","2","0.00"
"417","Kirill Kaprizov","MIN","L","8","165.46666666667","4","5","4","1","9","69.23","30","13.33","3.5","63","45","42","14","0","4","2","1","1","0","0","7","2","4","5","13","5","0","0","-"
"430","Auston Matthews","TOR","C","6","119.7","4","5","3","2","9","60.00","31","12.90","3.59","46","39","38","16","0","5","0","0","0","0","0","4","3","6","4","10","7","38","39","49.35"
"441","Patrik Laine","CBJ","L","7","139.7","6","3","2","1","9","81.82","30","20.00","2.83","54","42","28","9","0","7","4","2","2","0","0","1","6","1","3","3","1","4","3","57.14"
"579","Rasmus Dahlin","BUF","D","7","176.05","1","8","5","3","9","45.00","16","6.25","1.28","29","19","12","1","0","2","6","3","3","0","0","2","6","1","6","15","5","0","0","-"
"19","Anze Kopitar","L.A","C","7","138.53333333333","5","3","0","3","8","80.00","15","33.33","1.9","29","22","19","8","0","2","2","1","1","0","0","1","7","4","9","5","9","79","51","60.77"
"56","Mikael Backlund","CGY","C","8","137.75","1","7","5","2","8","88.89","27","3.70","2.72","40","34","24","12","3","4","8","4","4","0","0","2","4","5","7","4","0","58","71","44.96"
"102","Tyson Barrie","EDM","D","8","166.81666666667","0","8","3","5","8","47.06","16","0.00","0.66","23","16","3","0","1","0","6","3","3","0","0","2","4","1","3","13","12","0","0","-"
"149","Bryan Rust","PIT","R","6","96.083333333333","2","6","3","3","8","88.89","17","11.76","2.21","26","24","17","12","1","3","0","0","0","0","0","1","5","2","2","8","7","2","0","100.00"
"185","Mark Scheifele","WPG","C","7","142.65","6","2","2","0","8","66.67","17","35.29","2.92","30","29","27","13","0","1","10","1","0","0","1","1","3","5","1","3","4","58","60","49.15"
"223","Chandler Stephenson","VGK","C","7","140.76666666667","0","8","5","3","8","72.73","12","0.00","1.28","18","16","12","7","1","4","10","1","0","0","1","2","5","7","8","15","6","70","49","58.82"
"264","Jake Guentzel","PIT","L","6","119.81666666667","2","6","6","0","8","88.89","19","10.53","2.72","39","31","32","12","0","3","6","3","3","0","0","7","7","5","2","10","2","0","0","-"
"277","J.T. Compher","COL","L","7","160.96666666667","3","5","5","0","8","72.73","16","18.75","2.32","28","22","21","9","1","3","0","0","0","0","0","2","2","2","5","10","5","96","90","51.61"
"318","William Nylander","TOR","R","6","116.96666666667","4","4","3","1","8","72.73","32","12.50","3.72","50","42","39","19","4","3","0","0","0","0","0","2","4","3","1","5","2","1","2","33.33"
