"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"97","Matthew Berlin","EDM","1","2.4333333333333","1","1","0","1.000","0.00","0.10","0.01","0","0","0","-","0.00","0.00","0","0","0","-","0.00","0.00","1","1","0","1.000","0.00","0.04","0","0","51.00","-"
"77","Dylan Ferguson","OTT","1","60","49","48","1","0.980","1.00","3.69","4.14","11","10","1","0.909","1.00","0.97","19","19","0","1.000","0.00","2.02","17","17","0","1.000","0.00","0.66","2","9","36.08","12.00"
"86","Joel Hofer","STL","3","182.16666666667","97","93","4","0.959","1.32","5.28","8.63","21","18","3","0.857","0.99","0.76","26","25","1","0.962","0.33","1.77","47","47","0","1.000","0.00","1.83","6","9","35.12","19.75"
"88","Ivan Prosvetov","ARI","3","179.5","105","100","5","0.952","1.67","5.05","11.25","26","24","2","0.923","0.67","2.65","30","27","3","0.900","1.00","0.20","47","47","0","1.000","0.00","1.83","8","22","34.99","19.40"
"23","Keith Kinkaid","BOS, COL","2","87.85","40","38","2","0.950","1.37","1.83","4.17","12","10","2","0.833","1.37","0.15","10","10","0","1.000","0.00","1.07","16","16","0","1.000","0.00","0.62","1","7","36.30","10.00"
"65","Joseph Woll","TOR","3","176.51666666667","96","90","6","0.938","2.04","3.19","8.99","26","21","5","0.808","1.70","-0.35","33","32","1","0.970","0.34","2.52","32","32","0","1.000","0.00","1.24","4","13","30.95","14.50"
"34","Linus Ullmark","BOS","43","2528.8833333333","1293","1211","82","0.937","1.95","41.76","114.41","357","308","49","0.863","1.16","14.84","345","328","17","0.951","0.40","19.76","498","482","16","0.968","0.38","3.37","117","199","36.90","19.99"
"24","Laurent Brossoit","VGK","3","190.7","110","103","7","0.936","2.20","3.53","9.39","37","32","5","0.865","1.57","1.62","40","38","2","0.950","0.63","2.26","31","31","0","1.000","0.00","1.21","8","9","30.93","14.71"
"68","Filip Gustavsson","MIN","33","1943.5333333333","967","901","66","0.932","2.04","26.56","86.53","241","206","35","0.855","1.08","8.10","279","256","23","0.918","0.71","6.73","398","390","8","0.980","0.25","7.48","84","134","35.62","19.59"
"76","Jiri Patera","VGK","2","120","70","65","5","0.929","2.50","1.70","7.87","22","18","4","0.818","2.00","-0.07","20","20","0","1.000","0.00","2.13","23","22","1","0.957","0.50","-0.11","4","13","31.69","11.20"
"48","Ilya Sorokin","NYI","53","3074","1599","1478","121","0.924","2.36","32.05","161.65","496","421","75","0.849","1.46","13.70","404","373","31","0.923","0.61","12.05","623","608","15","0.976","0.29","9.24","107","321","34.09","20.40"
"89","Akira Schmid","N.J","16","847.06666666667","381","352","29","0.924","2.05","7.47","36.63","94","79","15","0.840","1.06","1.81","109","98","11","0.899","0.78","0.62","160","157","3","0.981","0.21","3.22","19","57","36.11","18.00"
"66","Dylan Wells","CHI","1","20","13","12","1","0.923","3.00","0.24","1.62","4","4","0","1.000","0.00","0.72","3","2","1","0.667","3.00","-0.68","5","5","0","1.000","0.00","0.19","1","0","28.00","28.00"
"78","Jeremy Swayman","BOS","30","1635.9","752","692","60","0.920","2.20","11.98","71.8","211","185","26","0.877","0.95","11.73","209","184","25","0.880","0.92","-2.73","284","275","9","0.968","0.33","2.05","50","109","35.63","22.70"
"80","Alexandar Georgiev","COL","52","3093.3833333333","1625","1493","132","0.919","2.56","23.54","147.28","462","393","69","0.851","1.34","13.62","366","327","39","0.893","0.76","0.00","707","683","24","0.966","0.47","3.50","89","239","35.75","20.61"
"84","Pavel Francouz","COL","15","900.28333333333","470","432","38","0.919","2.53","6.99","40.63","125","99","26","0.792","1.73","-3.65","125","119","6","0.952","0.40","7.32","193","187","6","0.969","0.40","1.51","24","65","35.93","19.87"
"33","Connor Hellebuyck","WPG","55","3239.45","1711","1571","140","0.918","2.59","23.78","165.29","472","389","83","0.824","1.54","1.41","505","466","39","0.923","0.72","14.81","642","624","18","0.972","0.33","6.97","105","237","35.17","18.89"
"38","Juuse Saros","NSH","54","3200.2833333333","1764","1617","147","0.917","2.76","21.85","174.43","501","417","84","0.832","1.57","5.59","577","529","48","0.917","0.90","13.49","604","589","15","0.975","0.28","8.50","134","261","32.70","19.07"
"85","Kevin Lankinen","NSH","16","888.68333333333","483","443","40","0.917","2.70","6.23","46.01","133","116","17","0.872","1.15","6.78","129","113","16","0.876","1.08","-2.25","193","186","7","0.964","0.47","0.51","33","80","34.55","23.15"
"71","Jake Oettinger","DAL","54","3183.9333333333","1586","1453","133","0.916","2.51","18.81","146.86","428","355","73","0.829","1.38","3.54","423","379","44","0.896","0.83","1.08","644","628","16","0.975","0.30","9.05","92","218","35.55","19.28"
"83","Kevin Mandolese","OTT","3","182.2","119","109","10","0.916","3.29","1.39","12.28","37","32","5","0.865","1.65","1.62","43","39","4","0.907","1.32","0.58","36","35","1","0.972","0.33","0.40","9","18","32.06","21.30"
"7","Alex Stalock","CHI","21","1119.5166666667","626","573","53","0.915","2.84","6.92","55.22","157","130","27","0.828","1.45","1.08","190","176","14","0.926","0.75","6.25","250","238","12","0.952","0.64","-2.27","37","83","34.88","22.66"
"56","Ilya Samsonov","TOR","36","2125.7333333333","1008","921","87","0.914","2.46","9.48","97.61","275","241","34","0.876","0.96","15.18","277","237","40","0.856","1.13","-10.48","402","389","13","0.968","0.37","2.64","56","164","34.86","21.22"
"57","Adin Hill","VGK","27","1490.9","722","660","62","0.914","2.50","7.11","66.02","174","144","30","0.828","1.21","1.12","202","177","25","0.876","1.01","-3.47","306","299","7","0.977","0.28","4.90","49","105","35.47","18.53"
"79","Logan Thompson","VGK","36","2119.55","1093","999","94","0.914","2.66","10.62","93.24","264","223","41","0.845","1.16","6.21","297","265","32","0.892","0.91","-0.35","475","455","20","0.958","0.57","-1.52","91","149","36.22","22.45"
"19","Scott Wedgewood","DAL","18","987.8","551","503","48","0.913","2.92","4.74","50.86","155","130","25","0.839","1.52","2.72","144","131","13","0.910","0.79","2.35","223","213","10","0.955","0.61","-1.33","39","77","36.34","20.29"
