"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"21","Keith Kinkaid","BOS","1","59.9","31","30","1","0.968","1.00","1.96","2.92","9","8","1","0.889","1.00","0.62","9","9","0","1.000","0.00","0.96","11","11","0","1.000","0.00","0.44","0","5","37.65","8.00"
"73","Akira Schmid","N.J","5","253.65","118","112","6","0.949","1.42","5.28","10.23","22","18","4","0.818","0.95","-0.04","35","34","1","0.971","0.24","2.75","54","53","1","0.981","0.24","1.17","2","16","39.37","18.83"
"31","Linus Ullmark","BOS","17","962.06666666667","486","455","31","0.936","1.93","15.46","41.11","126","108","18","0.857","1.12","4.67","121","114","7","0.942","0.44","5.95","195","189","6","0.969","0.37","1.84","25","67","38.89","21.16"
"24","Magnus Hellberg","OTT","1","60","31","29","2","0.935","2.00","0.96","2.94","12","10","2","0.833","2.00","0.16","6","6","0","1.000","0.00","0.64","13","13","0","1.000","0.00","0.52","3","5","28.45","12.50"
"72","Kevin Lankinen","NSH","7","395.61666666667","229","214","15","0.934","2.27","6.89","21.76","64","58","6","0.906","0.91","5.51","54","50","4","0.926","0.61","1.78","97","92","5","0.948","0.76","-1.10","17","40","36.58","25.80"
"43","Ilya Sorokin","NYI","18","1023.2666666667","546","509","37","0.932","2.17","15.19","56.81","172","148","24","0.860","1.41","6.94","140","132","8","0.943","0.47","6.98","210","205","5","0.976","0.29","3.45","32","109","33.65","21.00"
"30","Connor Hellebuyck","WPG","18","1082.9333333333","593","552","41","0.931","2.27","15.68","57.82","169","143","26","0.846","1.44","4.40","158","152","6","0.962","0.33","10.91","232","223","9","0.961","0.50","0.33","29","94","35.72","21.56"
"51","Ilya Samsonov","TOR","9","516.4","238","220","18","0.924","2.09","4.75","23.24","72","63","9","0.875","1.05","3.95","63","55","8","0.873","0.93","-1.26","90","89","1","0.989","0.12","2.62","21","39","35.76","18.94"
"59","Dylan Wells","CHI","1","20","13","12","1","0.923","3.00","0.24","1.62","4","4","0","1.000","0.00","0.72","3","2","1","0.667","3.00","-0.68","5","5","0","1.000","0.00","0.20","1","0","28.00","28.00"
"74","Spencer Knight","FLA","14","819.63333333333","442","408","34","0.923","2.49","8.25","37.23","118","104","14","0.881","1.02","7.23","112","99","13","0.884","0.95","-1.01","187","180","7","0.963","0.51","0.52","17","52","35.89","23.65"
"9","Semyon Varlamov","NYI","9","523.75","282","260","22","0.922","2.52","4.96","28.28","90","77","13","0.856","1.49","3.19","68","63","5","0.926","0.57","2.28","103","99","4","0.961","0.46","0.14","22","43","36.14","18.00"
"27","Matt Murray","TOR","8","479.41666666667","267","246","21","0.921","2.63","4.52","24.89","72","60","12","0.833","1.50","0.95","85","78","7","0.918","0.88","2.10","100","98","2","0.980","0.25","2.02","31","51","33.23","18.76"
"68","Logan Thompson","VGK","18","1082.65","583","537","46","0.921","2.55","9.73","50.87","144","120","24","0.833","1.33","1.91","152","139","13","0.914","0.72","3.27","249","241","8","0.968","0.44","2.01","45","87","37.50","21.57"
"69","Alexandar Georgiev","COL","16","963.4","535","492","43","0.920","2.68","8.14","47.65","149","129","20","0.866","1.25","6.81","118","107","11","0.907","0.69","1.63","234","222","12","0.949","0.75","-2.59","27","86","35.81","21.77"
"14","Cam Talbot","OTT","12","623.53333333333","321","295","26","0.919","2.50","4.68","30.01","86","70","16","0.814","1.54","-0.53","87","79","8","0.908","0.77","1.31","119","117","2","0.983","0.19","2.79","29","51","38.51","20.50"
"75","Pyotr Kochetkov","CAR","9","502.63333333333","236","217","19","0.919","2.27","3.56","23.94","91","80","11","0.879","1.31","5.37","51","46","5","0.902","0.60","0.46","84","81","3","0.964","0.36","0.38","13","32","31.60","20.84"
"41","Vitek Vanecek","N.J","16","883.06666666667","401","368","33","0.918","2.24","5.33","37.49","101","82","19","0.812","1.29","-0.83","100","92","8","0.920","0.54","2.70","168","162","6","0.964","0.41","0.76","20","56","37.51","20.55"
"64","Jake Oettinger","DAL","17","932.98333333333","471","432","39","0.917","2.51","6.02","45.52","145","122","23","0.841","1.48","3.09","108","97","11","0.898","0.71","0.56","195","190","5","0.974","0.32","2.84","33","60","33.85","18.64"
"1","Craig Anderson","BUF","10","565.36666666667","321","294","27","0.916","2.87","3.68","29.51","91","78","13","0.857","1.38","3.37","92","81","11","0.880","1.17","-1.16","122","119","3","0.975","0.32","1.91","22","44","36.72","21.41"
"13","Darcy Kuemper","WSH","20","1126.1333333333","570","522","48","0.916","2.56","6.49","54.83","145","116","29","0.800","1.55","-2.91","137","126","11","0.920","0.59","3.66","256","248","8","0.969","0.43","2.30","52","84","37.02","20.13"
"63","Stuart Skinner","EDM","14","820.16666666667","479","439","40","0.916","2.93","5.79","46.9","130","111","19","0.854","1.39","4.39","145","129","16","0.890","1.17","-0.48","173","168","5","0.971","0.37","1.96","35","68","34.54","21.83"
"36","Tristan Jarry","PIT","16","966.25","544","498","46","0.915","2.86","6.00","44.29","141","111","30","0.787","1.86","-4.63","139","131","8","0.942","0.50","6.87","233","225","8","0.966","0.50","1.37","26","57","36.57","19.93"
"7","Alex Stalock","CHI","7","328.2","187","171","16","0.914","2.93","1.88","17.23","45","36","9","0.800","1.65","-0.90","55","48","7","0.873","1.28","-1.11","73","73","0","1.000","0.00","2.94","17","27","36.70","18.88"
"49","Dan Vladar","CGY","9","521.01666666667","255","233","22","0.914","2.53","2.38","23.62","66","58","8","0.879","0.92","3.87","88","79","9","0.898","1.04","0.42","91","86","5","0.945","0.58","-1.34","14","33","34.76","28.32"
"44","Ville Husso","DET","17","1001.3333333333","490","447","43","0.912","2.58","3.84","45.89","114","99","15","0.868","0.90","5.51","140","120","20","0.857","1.20","-5.02","200","192","8","0.960","0.48","0.04","25","77","36.83","24.00"
"53","Karel Vejmelka","ARI","17","1010.4166666667","578","527","51","0.912","3.03","4.25","59.73","172","140","32","0.814","1.90","-1.06","166","152","14","0.916","0.83","3.76","215","210","5","0.977","0.30","3.65","24","90","33.50","20.57"
"66","Daniil Tarasov","CBJ","7","360.11666666667","217","198","19","0.912","3.17","1.74","19.17","44","33","11","0.750","1.83","-3.08","70","66","4","0.943","0.67","3.49","93","89","4","0.957","0.67","-0.26","12","31","38.72","21.68"
"60","Carter Hart","PHI","19","1122.9666666667","596","543","53","0.911","2.83","3.97","62.71","183","158","25","0.863","1.34","7.92","156","138","18","0.885","0.96","-1.31","224","215","9","0.960","0.48","0.01","51","120","34.51","21.94"
"46","Igor Shesterkin","NYR","19","1147.9833333333","569","518","51","0.910","2.67","3.39","54.03","162","135","27","0.833","1.41","2.14","158","142","16","0.899","0.84","0.91","214","206","8","0.963","0.42","0.61","51","75","34.88","20.82"
"26","Andrei Vasilevskiy","T.B","18","1077.8833333333","548","498","50","0.909","2.78","2.38","50.3","143","117","26","0.818","1.45","-0.27","167","147","20","0.880","1.11","-2.13","213","209","4","0.981","0.22","4.57","24","75","33.76","20.36"
"35","Juuse Saros","NSH","17","986.13333333333","527","479","48","0.909","2.92","2.38","51.89","151","129","22","0.854","1.34","5.17","176","155","21","0.881","1.28","-2.17","171","166","5","0.971","0.30","1.88","30","76","33.53","21.35"
"61","Filip Gustavsson","MIN","9","523.11666666667","265","241","24","0.909","2.75","1.33","22.3","64","54","10","0.844","1.15","1.51","78","68","10","0.872","1.15","-1.65","105","101","4","0.962","0.46","0.22","26","31","36.13","23.58"
"17","Scott Wedgewood","DAL","11","571.45","314","285","29","0.908","3.04","1.01","29.85","96","81","15","0.844","1.57","2.27","87","76","11","0.874","1.15","-1.69","115","112","3","0.974","0.31","1.62","21","43","35.16","18.69"
"22","Anton Forsberg","OTT","14","742.45","444","403","41","0.908","3.31","1.44","44.12","121","97","24","0.802","1.94","-2.23","127","119","8","0.937","0.65","5.59","164","155","9","0.945","0.73","-2.40","39","79","35.37","20.49"
"50","Sam Montembeault","MTL","9","544.95","294","267","27","0.908","2.97","1.10","29.18","86","71","15","0.826","1.65","0.47","89","82","7","0.921","0.77","2.52","111","106","5","0.955","0.55","-0.54","9","50","31.44","19.44"
