"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"45","Jonas Johansson","COL","1","23.25","7","7","0","1.000","0.00","0.66","0.67","2","2","0","1.000","0.00","0.35","2","2","0","1.000","0.00","0.21","3","3","0","1.000","0.00","0.12","0","2","38.57","-"
"92","Matthew Berlin","EDM","1","2.4333333333333","1","1","0","1.000","0.00","0.09","0.01","0","0","0","-","0.00","0.00","0","0","0","-","0.00","0.00","1","1","0","1.000","0.00","0.04","0","0","51.00","-"
"22","Keith Kinkaid","BOS","1","59.9","31","30","1","0.968","1.00","1.94","2.92","9","8","1","0.889","1.00","0.59","9","9","0","1.000","0.00","0.96","11","11","0","1.000","0.00","0.43","0","5","37.65","8.00"
"33","Linus Ullmark","BOS","38","2229.6166666667","1136","1066","70","0.938","1.88","37.69","100.53","308","268","40","0.870","1.08","14.27","304","288","16","0.947","0.43","16.37","443","429","14","0.968","0.38","3.21","103","174","36.97","21.26"
"64","Joseph Woll","TOR","3","176.51666666667","96","90","6","0.938","2.04","3.10","8.99","26","21","5","0.808","1.70","-0.42","33","32","1","0.970","0.34","2.51","32","32","0","1.000","0.00","1.24","4","13","30.95","14.50"
"80","Kevin Mandolese","OTT","2","122.2","80","75","5","0.938","2.45","2.58","6.96","22","20","2","0.909","0.98","1.88","30","28","2","0.933","0.98","1.19","26","25","1","0.962","0.49","0.01","3","9","32.96","27.20"
"23","Laurent Brossoit","VGK","3","190.7","110","103","7","0.936","2.20","3.43","9.39","37","32","5","0.865","1.57","1.52","40","38","2","0.950","0.63","2.26","31","31","0","1.000","0.00","1.20","8","9","30.93","14.71"
"67","Filip Gustavsson","MIN","28","1631","802","746","56","0.930","2.06","20.03","72.74","205","173","32","0.844","1.18","4.12","226","210","16","0.929","0.59","8.06","333","325","8","0.976","0.29","4.93","69","118","35.33","19.43"
"84","Akira Schmid","N.J","12","599.53333333333","271","251","20","0.926","2.00","5.69","26.24","65","55","10","0.846","1.00","1.45","78","71","7","0.910","0.70","1.30","112","109","3","0.973","0.30","1.35","9","39","37.41","18.55"
"47","Ilya Sorokin","NYI","46","2656.4333333333","1400","1295","105","0.925","2.37","27.72","144.65","438","371","67","0.847","1.51","10.18","350","324","26","0.926","0.59","11.26","543","531","12","0.978","0.27","9.09","90","289","34.30","19.84"
"65","Dylan Wells","CHI","1","20","13","12","1","0.923","3.00","0.23","1.62","4","4","0","1.000","0.00","0.70","3","2","1","0.667","3.00","-0.68","5","5","0","1.000","0.00","0.19","1","0","28.00","28.00"
"70","Jake Oettinger","DAL","46","2699.0333333333","1331","1228","103","0.923","2.29","23.18","125.27","370","314","56","0.849","1.24","9.20","343","308","35","0.898","0.78","1.52","548","536","12","0.978","0.27","9.29","81","187","34.84","19.45"
"82","Kevin Lankinen","NSH","14","814.68333333333","451","416","35","0.922","2.58","7.76","42.96","125","110","15","0.880","1.10","7.03","119","105","14","0.882","1.03","-1.33","179","173","6","0.966","0.44","0.95","27","76","34.85","22.91"
"87","Mads Sogaard","OTT","6","309.15","153","141","12","0.922","2.33","2.50","11.69","35","28","7","0.800","1.36","-0.83","39","36","3","0.923","0.58","1.15","69","67","2","0.971","0.39","0.68","5","15","36.95","19.25"
"77","Alexandar Georgiev","COL","42","2520.15","1366","1258","108","0.921","2.57","21.50","124.73","387","329","58","0.850","1.38","10.19","307","279","28","0.909","0.67","4.69","592","570","22","0.963","0.52","1.00","74","205","35.72","20.56"
"32","Connor Hellebuyck","WPG","47","2759.3833333333","1481","1363","118","0.920","2.57","22.40","143.02","403","337","66","0.836","1.44","5.01","436","401","35","0.920","0.76","11.42","558","541","17","0.970","0.37","4.67","92","211","35.66","19.95"
"81","Pavel Francouz","COL","15","900.28333333333","470","432","38","0.919","2.53","6.56","40.63","125","99","26","0.792","1.73","-3.97","125","119","6","0.952","0.40","7.31","193","187","6","0.969","0.40","1.50","24","65","35.93","19.87"
"1","Craig Anderson","BUF","21","1214.5333333333","683","627","56","0.918","2.77","8.75","63.16","205","176","29","0.859","1.43","7.12","179","162","17","0.905","0.84","2.06","266","256","10","0.962","0.49","0.33","40","92","36.09","21.91"
"75","Jeremy Swayman","BOS","26","1400.15","643","590","53","0.918","2.27","7.96","60.74","182","161","21","0.885","0.90","11.07","181","157","24","0.867","1.03","-4.73","241","233","8","0.967","0.34","1.36","45","93","35.16","23.19"
"28","Andrei Vasilevskiy","T.B","46","2758.95","1448","1328","120","0.917","2.61","17.27","136.79","410","349","61","0.851","1.33","11.25","410","365","45","0.890","0.98","-1.35","569","555","14","0.975","0.30","8.10","81","199","33.82","20.83"
"37","Juuse Saros","NSH","45","2670.2166666667","1484","1360","124","0.916","2.79","16.68","146.65","429","360","69","0.839","1.55","6.60","486","441","45","0.907","1.01","6.74","495","485","10","0.980","0.22","9.23","115","215","32.70","19.46"
"38","Tristan Jarry","PIT","32","1865.15","1029","943","86","0.916","2.77","11.55","89.2","274","226","48","0.825","1.54","0.28","283","260","23","0.919","0.74","7.13","414","399","15","0.964","0.48","1.08","55","140","36.14","19.81"
"7","Alex Stalock","CHI","15","792.68333333333","436","399","37","0.915","2.80","4.33","38.97","106","85","21","0.802","1.59","-2.32","135","123","12","0.911","0.91","2.37","172","168","4","0.977","0.30","2.68","29","58","35.89","20.41"
"55","Ilya Samsonov","TOR","32","1882.5833333333","884","809","75","0.915","2.39","8.80","84.28","240","213","27","0.888","0.86","15.29","244","207","37","0.848","1.18","-11.02","352","341","11","0.969","0.35","2.67","46","146","35.14","21.88"
"9","Semyon Varlamov","NYI","20","1188.6166666667","617","564","53","0.914","2.68","5.49","58.96","185","158","27","0.854","1.36","5.60","165","148","17","0.897","0.86","0.57","229","220","9","0.961","0.45","-0.10","44","94","35.88","21.13"
"76","Logan Thompson","VGK","36","2119.55","1093","999","94","0.914","2.66","9.62","93.24","264","223","41","0.845","1.16","5.52","297","265","32","0.892","0.91","-0.38","475","455","20","0.958","0.57","-1.55","91","149","36.22","22.45"
"18","Scott Wedgewood","DAL","18","987.8","551","503","48","0.913","2.92","4.24","50.86","155","130","25","0.839","1.52","2.31","144","131","13","0.910","0.79","2.33","223","213","10","0.955","0.61","-1.34","39","77","36.34","20.29"
"34","Aaron Dell","S.J","4","199.28333333333","103","94","9","0.913","2.71","0.76","11.58","39","35","4","0.897","1.20","2.87","27","22","5","0.815","1.51","-2.13","34","34","0","1.000","0.00","1.32","7","20","29.11","18.89"
"56","Adin Hill","VGK","26","1432.8666666667","688","628","60","0.913","2.51","5.22","63.07","168","138","30","0.821","1.26","-0.40","189","166","23","0.878","0.96","-2.88","292","285","7","0.976","0.29","4.34","49","100","35.64","18.40"
"88","Pyotr Kochetkov","CAR","19","1106.4833333333","497","454","43","0.913","2.33","4.12","49.2","170","148","22","0.871","1.19","7.96","123","108","15","0.878","0.81","-1.90","167","161","6","0.964","0.33","0.49","43","69","34.63","20.91"
"30","Joonas Korpisalo","CBJ","28","1571.6","927","845","82","0.912","3.13","5.88","87.38","257","219","38","0.852","1.45","7.29","265","235","30","0.887","1.15","-1.79","358","344","14","0.961","0.53","-0.09","44","140","34.75","20.79"
"69","Stuart Skinner","EDM","36","2059.9833333333","1119","1020","99","0.912","2.88","7.08","107.44","302","252","50","0.834","1.46","3.22","336","298","38","0.887","1.11","-2.23","405","394","11","0.973","0.32","4.73","65","151","35.14","21.54"
"29","Matt Murray","TOR","19","1098.0166666667","561","511","50","0.911","2.73","3.18","52.84","161","138","23","0.857","1.26","5.37","149","131","18","0.879","0.98","-2.14","226","217","9","0.960","0.49","-0.22","57","90","34.49","22.40"
"93","Jaxson Stauber","CHI","6","363.5","191","174","17","0.911","2.81","1.11","18.42","60","54","6","0.900","0.99","4.57","50","41","9","0.820","1.49","-3.68","70","68","2","0.971","0.33","0.72","8","31","33.31","21.29"
"44","Vitek Vanecek","N.J","39","2167.95","987","898","89","0.910","2.46","4.57","95.98","253","205","48","0.810","1.33","-3.42","262","237","25","0.905","0.69","2.89","408","392","16","0.961","0.44","-0.15","62","148","36.18","20.19"
"50","Igor Shesterkin","NYR","44","2642.75","1292","1176","116","0.910","2.63","6.48","125.23","386","324","62","0.839","1.41","6.02","362","326","36","0.901","0.82","2.54","480","462","18","0.963","0.41","0.64","133","185","33.60","20.48"
"14","Darcy Kuemper","WSH","42","2366.3","1203","1094","109","0.909","2.76","5.05","114.78","315","254","61","0.806","1.55","-5.49","325","296","29","0.911","0.74","5.60","493","474","19","0.961","0.48","0.15","86","167","36.26","21.17"
"35","Antti Raanta","CAR","22","1299.4833333333","541","492","49","0.909","2.26","2.29","50.92","163","138","25","0.847","1.15","3.72","152","134","18","0.882","0.83","-1.82","183","177","6","0.967","0.28","1.11","42","62","35.32","21.63"
"60","Connor Ingram","ARI","22","1274.9666666667","768","697","71","0.908","3.34","1.81","73.65","210","174","36","0.829","1.69","1.00","243","221","22","0.909","1.04","3.87","279","266","13","0.953","0.61","-2.16","52","118","34.18","21.58"
"68","David Rittich","WPG","18","942.06666666667","434","394","40","0.908","2.55","1.14","39.25","108","92","16","0.852","1.02","3.03","112","102","10","0.911","0.64","1.92","194","180","14","0.928","0.89","-6.46","20","50","35.57","25.35"
"73","Daniil Tarasov","CBJ","13","676.98333333333","403","366","37","0.908","3.28","1.20","37.12","104","85","19","0.817","1.68","-0.67","116","103","13","0.888","1.15","-0.65","170","165","5","0.971","0.44","1.60","26","77","36.20","21.49"
"89","Arturs Silovs","VAN","4","241.51666666667","120","109","11","0.908","2.73","0.38","10.64","29","25","4","0.862","0.99","1.11","34","31","3","0.912","0.75","0.62","50","46","4","0.920","0.99","-2.06","7","20","38.51","25.64"
"66","Carter Hart","PHI","45","2575.55","1355","1229","126","0.907","2.94","2.46","131.12","413","346","67","0.838","1.56","5.78","343","303","40","0.883","0.93","-3.48","520","502","18","0.965","0.42","2.20","99","234","35.43","21.17"
"74","Eetu Makiniemi","S.J","2","84.333333333333","32","29","3","0.906","2.13","0.03","2.64","9","8","1","0.889","0.71","0.59","9","7","2","0.778","1.42","-1.04","12","12","0","1.000","0.00","0.47","4","3","32.72","26.00"
"2","Marc-Andre Fleury","MIN","37","2115.2666666667","1047","948","99","0.905","2.81","0.26","96.64","291","236","55","0.811","1.56","-3.72","270","242","28","0.896","0.79","0.75","441","425","16","0.964","0.45","1.13","74","160","34.57","21.96"
"15","Cam Talbot","OTT","31","1691.7333333333","853","772","81","0.905","2.87","-0.13","84.26","217","172","45","0.793","1.60","-6.76","247","220","27","0.891","0.96","-0.70","329","320","9","0.973","0.32","3.78","64","139","36.55","20.57"
"54","Sam Montembeault","MTL","27","1599.1333333333","924","836","88","0.905","3.30","-0.40","98.14","279","223","56","0.799","2.10","-6.84","265","245","20","0.925","0.75","8.21","350","338","12","0.966","0.45","1.60","44","173","31.86","18.66"
"62","Charlie Lindgren","WSH","26","1403.9","675","611","64","0.905","2.74","-0.01","64.12","181","144","37","0.796","1.58","-5.11","189","173","16","0.915","0.68","4.12","270","259","11","0.959","0.47","-0.51","56","77","34.80","21.58"
"94","Matt Murray","DAL","1","60","21","19","2","0.905","2.00","-0.01","2.39","7","6","1","0.857","1.00","0.23","8","8","0","1.000","0.00","0.85","5","4","1","0.800","1.00","-0.81","1","4","24.95","31.00"
"16","Sergei Bobrovsky","FLA","40","2231.55","1179","1066","113","0.904","3.04","-1.23","117.93","358","296","62","0.827","1.67","1.08","311","282","29","0.907","0.78","4.11","450","428","22","0.951","0.59","-4.52","82","194","34.34","20.50"
"61","Casey DeSmith","PIT","29","1598.0833333333","908","821","87","0.904","3.27","-0.92","88.13","296","245","51","0.828","1.91","1.16","229","209","20","0.913","0.75","4.38","333","317","16","0.952","0.60","-3.07","67","128","34.21","19.46"
"21","Frederik Andersen","CAR","21","1225.1666666667","524","473","51","0.903","2.50","-1.32","50.84","162","130","32","0.802","1.57","-3.45","129","118","11","0.915","0.54","2.73","187","179","8","0.957","0.39","-0.74","32","83","34.98","17.73"
"27","John Gibson","ANA","43","2423.0833333333","1613","1456","157","0.903","3.89","-4.09","158.07","531","440","91","0.829","2.25","2.57","426","379","47","0.890","1.16","-1.64","603","584","19","0.968","0.47","4.42","67","247","31.29","19.01"
"48","Ville Husso","DET","45","2624.35","1328","1199","129","0.903","2.95","-3.10","123.95","347","287","60","0.827","1.37","1.15","359","312","47","0.869","1.07","-8.78","541","519","22","0.959","0.50","-0.99","71","212","35.62","21.87"
"24","Anton Forsberg","OTT","28","1471.7166666667","817","737","80","0.902","3.26","-2.55","81.92","228","184","44","0.807","1.79","-3.82","236","213","23","0.903","0.94","2.13","303","290","13","0.957","0.53","-1.23","62","140","34.67","20.25"
"57","Karel Vejmelka","ARI","42","2461.4166666667","1423","1284","139","0.902","3.39","-4.10","142.06","428","343","85","0.801","2.07","-9.58","401","368","33","0.918","0.80","9.69","541","520","21","0.961","0.51","0.01","80","205","33.29","20.04"
"86","Spencer Knight","FLA","21","1168.75","627","565","62","0.901","3.18","-2.56","55.16","170","144","26","0.847","1.33","3.96","170","144","26","0.847","1.33","-7.90","254","244","10","0.961","0.51","-0.13","28","80","35.73","22.65"
"3","Jaroslav Halak","NYR","19","1093.0666666667","512","461","51","0.900","2.80","-2.46","51.88","154","126","28","0.818","1.54","-0.86","133","121","12","0.910","0.66","2.16","200","189","11","0.945","0.60","-3.23","35","69","33.58","18.98"
"26","Magnus Hellberg","DET, OTT","11","599.1","290","261","29","0.900","2.90","-1.51","30.01","99","83","16","0.838","1.60","1.45","80","69","11","0.863","1.10","-2.48","101","99","2","0.980","0.20","1.92","17","42","31.62","22.07"
"51","Mackenzie Blackwood","N.J","17","906.88333333333","461","415","46","0.900","3.04","-2.30","48.98","128","106","22","0.828","1.46","0.56","127","113","14","0.890","0.93","-0.48","184","174","10","0.946","0.66","-2.85","35","89","36.05","21.28"
"59","Joey Daccord","SEA","1","60","40","36","4","0.900","4.00","-0.21","3","11","10","1","0.909","1.00","0.94","13","11","2","0.846","2.00","-0.62","15","14","1","0.933","1.00","-0.42","1","5","35.68","22.00"
"41","Pheonix Copley","L.A","28","1569.6333333333","722","649","73","0.899","2.79","-4.55","75.06","198","158","40","0.798","1.53","-5.11","207","189","18","0.913","0.69","4.04","279","264","15","0.946","0.57","-4.16","54","138","34.58","21.96"
"5","Thomas Greiss","STL","17","940.26666666667","541","486","55","0.898","3.51","-3.71","48.74","155","121","34","0.781","2.17","-6.69","156","142","14","0.910","0.89","2.61","192","185","7","0.964","0.45","0.46","38","73","36.19","17.78"
"11","Jake Allen","MTL","35","2099.6166666667","1145","1028","117","0.898","3.34","-8.45","116.76","356","286","70","0.803","2.00","-7.27","326","291","35","0.893","1.00","-0.29","408","396","12","0.971","0.34","3.85","77","174","33.40","18.18"
"58","Erik Kallgren","TOR","10","561.66666666667","246","221","25","0.898","2.67","-1.68","23.56","76","64","12","0.842","1.28","1.39","63","53","10","0.841","1.07","-3.29","90","87","3","0.967","0.32","0.50","18","38","35.37","17.48"
