"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"304","Nikolaj Ehlers","WPG","L","9","144.4","4","10","6","4","14","93.33","29","13.79","2.57","56","44","28","7","1","5","2","1","1","0","0","2","5","8","10","10","2","0","1","0.00"
"271","Nathan MacKinnon","COL","C","7","160.1","3","10","7","3","13","72.22","41","7.32","2.83","61","49","32","8","1","3","0","0","0","0","0","2","4","10","3","5","1","54","67","44.63"
"138","Zach Hyman","EDM","L","7","140.81666666667","4","8","5","3","12","63.16","28","14.29","4.23","42","37","35","19","1","6","9","3","2","1","0","2","1","3","5","19","3","0","0","-"
"356","Connor McDavid","EDM","C","7","148.9","7","5","5","0","12","80.00","42","16.67","5.68","55","49","45","29","2","5","2","1","1","0","0","5","0","10","7","14","1","42","34","55.26"
"61","Steven Stamkos","T.B","C","7","136.05","6","5","2","3","11","78.57","29","20.69","3.49","50","38","29","9","2","3","4","2","2","0","0","1","4","2","8","12","5","55","31","63.95"
"172","Nikita Kucherov","T.B","R","7","126.43333333333","4","7","3","4","11","73.33","24","16.67","2.62","37","31","24","11","6","4","4","2","2","0","0","4","7","5","5","7","3","0","0","-"
"300","Leon Draisaitl","EDM","C","7","140.13333333333","6","5","5","0","11","78.57","16","37.50","2.06","25","20","16","9","0","1","0","0","0","0","0","1","5","8","11","17","0","48","53","47.52"
"316","David Pastrnak","BOS","R","7","126.11666666667","7","4","3","1","11","64.71","24","29.17","2","42","32","23","7","3","2","6","3","3","0","0","2","8","3","9","13","2","0","1","0.00"
"352","Kyle Connor","WPG","L","9","178.68333333333","7","4","4","0","11","68.75","36","19.44","3.85","60","49","47","16","1","3","0","0","0","0","0","1","7","2","4","7","1","1","4","20.00"
"413","Matthew Tkachuk","FLA","L","8","154.53333333333","4","7","4","3","11","64.71","34","11.76","4.79","54","41","39","24","0","11","11","4","3","1","0","5","7","1","6","4","6","0","1","0.00"
"543","Quinn Hughes","VAN","D","8","209.06666666667","3","8","6","2","11","64.71","12","25.00","0.63","32","18","10","1","0","3","0","0","0","0","0","3","6","6","4","13","10","0","0","-"
"11","Evgeni Malkin","PIT","C","8","160.48333333333","4","6","4","2","10","76.92","29","13.79","4.91","51","40","40","20","2","9","4","2","2","0","0","4","11","5","5","11","3","37","41","47.44"
"178","Mark Scheifele","WPG","C","9","169.48333333333","6","4","2","2","10","66.67","21","28.57","3.48","36","30","29","15","0","2","2","1","1","0","0","6","4","2","3","5","3","74","62","54.41"
"272","Aleksander Barkov","FLA","C","8","168.86666666667","3","7","4","3","10","58.82","14","21.43","1.83","27","22","16","7","1","3","0","0","0","0","0","2","3","4","7","6","6","93","94","49.73"
"299","Sam Reinhart","FLA","C","8","159.41666666667","3","7","5","2","10","71.43","14","21.43","2.81","26","21","17","9","2","2","2","1","1","0","0","1","4","5","7","16","6","3","11","21.43"
"328","Brayden Point","T.B","C","7","128.8","5","5","2","3","10","71.43","22","22.73","3.32","33","29","27","17","3","2","0","0","0","0","0","2","4","1","3","6","2","25","21","54.35"
"363","Mikko Rantanen","COL","R","7","152.53333333333","6","4","4","0","10","71.43","23","26.09","2.12","40","28","17","5","3","1","6","3","3","0","0","2","5","6","6","15","2","16","15","51.61"
"386","Mitchell Marner","TOR","R","7","148.25","2","8","3","5","10","71.43","16","12.50","0.91","29","19","9","4","3","3","4","2","2","0","0","0","6","9","5","7","3","0","1","0.00"
"602","Trevor Zegras","ANA","C","7","129.48333333333","6","4","2","2","10","90.91","16","37.50","1.59","34","21","23","7","0","1","2","1","1","0","0","2","5","2","3","9","0","28","18","60.87"
"14","David Krejci","BOS","C","7","109.83333333333","1","8","5","3","9","56.25","10","10.00","1.35","17","13","14","8","1","2","0","0","0","0","0","0","2","1","4","8","8","30","39","43.48"
"17","Sidney Crosby","PIT","C","8","159.35","2","7","4","3","9","60.00","17","11.76","2.56","32","25","17","13","4","4","4","2","2","0","0","2","8","5","2","7","6","97","84","53.59"
"173","Ryan Nugent-Hopkins","EDM","C","7","135.38333333333","3","6","1","5","9","50.00","15","20.00","2.09","18","15","11","4","0","2","0","0","0","0","0","1","3","5","7","11","3","49","61","44.55"
"182","J.T. Miller","VAN","C","8","167.88333333333","4","5","3","2","9","69.23","25","16.00","2.67","43","34","23","9","1","4","2","1","1","0","0","2","6","8","11","3","4","5","5","50.00"
"274","Seth Jones","CHI","D","7","171.66666666667","2","7","3","4","9","81.82","15","13.33","0.63","34","22","7","1","0","4","2","1","1","0","0","0","10","6","18","12","11","0","0","-"
"365","Sebastian Aho","CAR","C","6","113.3","5","4","4","0","9","90.00","21","23.81","3.24","31","25","21","11","2","0","0","0","0","0","0","3","6","9","6","9","6","46","52","46.94"
"369","Travis Konecny","PHI","R","9","171.91666666667","4","5","2","3","9","81.82","39","10.26","5.05","67","57","35","16","1","6","12","6","6","0","0","5","1","6","6","11","4","2","6","25.00"
"423","Patrik Laine","CBJ","L","8","151.33333333333","4","5","4","1","9","100.00","36","11.11","2.7","63","51","30","7","2","3","2","1","1","0","0","1","2","5","3","6","1","1","6","14.29"
"500","Jason Robertson","DAL","L","8","155.98333333333","5","4","3","1","9","75.00","32","15.63","3.1","46","40","26","10","0","6","4","2","2","0","0","0","7","7","9","8","0","0","0","-"
"504","Miro Heiskanen","DAL","D","8","193.45","1","8","4","4","9","60.00","23","4.35","2.08","49","33","21","2","0","11","2","1","1","0","0","3","5","3","5","13","11","0","0","-"
"610","Jack Hughes","N.J","C","6","122.93333333333","4","5","3","2","9","90.00","23","17.39","2.81","42","32","26","9","4","4","2","1","1","0","0","0","4","7","3","11","2","11","20","35.48"
"625","Lucas Raymond","DET","L","7","126.25","5","4","1","3","9","75.00","16","31.25","2.6","24","19","18","10","0","4","2","1","1","0","0","2","1","4","3","7","8","0","2","0.00"
"12","Blake Wheeler","WPG","R","9","146.8","3","5","2","3","8","66.67","10","30.00","1.72","23","19","15","9","0","1","4","2","2","0","0","0","3","6","6","5","2","8","6","57.14"
"26","Brad Marchand","BOS","L","7","126.01666666667","3","5","5","0","8","72.73","17","17.65","2.27","37","28","23","11","1","1","6","3","3","0","0","4","5","3","6","10","2","3","6","33.33"
"67","Erik Karlsson","S.J","D","7","184.16666666667","2","6","3","3","8","61.54","14","14.29","1.1","41","21","16","3","3","3","0","0","0","0","0","1","4","5","6","12","14","0","0","-"
"69","Roman Josi","NSH","D","8","196.25","3","5","3","2","8","80.00","37","8.11","2.69","72","49","29","3","1","10","4","2","2","0","0","4","4","2","7","13","12","0","0","-"
"83","John Tavares","TOR","C","7","127.35","2","6","3","3","8","80.00","28","7.14","3.04","42","38","34","22","0","0","2","1","1","0","0","2","2","2","6","9","4","64","53","54.70"
"122","Tyler Toffoli","CGY","R","7","119.28333333333","2","6","2","4","8","88.89","22","9.09","1.65","36","28","15","4","1","3","2","1","1","0","0","0","4","3","6","9","1","0","1","0.00"
"132","Kevin Hayes","PHI","C","9","152.36666666667","5","3","3","0","8","88.89","38","13.16","3.78","61","49","22","9","0","7","0","0","0","0","0","0","5","4","5","3","1","12","13","48.00"
