"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","San Jose Sharks","69","3342.4833","19","36","14","18","52","0.377","3155","3214","49.54","2300","2358","49.38","1627","1684","49.14","142","178","44.38","160.76","145.67","52.46","1787","1665","51.77","1010","942","51.74","120","161","42.70","11.88","82.91","803","644","55.49","529","440","54.59","78","86","47.56","14.74","80.45","984","1021","49.08","481","502","48.93","42","75","35.90","8.73","85.06","1147","1322","46.46","551","657","45.61","22","17","56.41","3.99","97.41","8.73","89.43","0.982"
"2","Nashville Predators","66","3128.15","34","25","7","30","75","0.568","3004","3148","48.83","2191","2330","48.46","1537","1657","48.12","122","118","50.83","143.04","147.74","49.19","1545","1633","48.62","844","936","47.42","100","104","49.02","11.85","88.89","638","655","49.34","430","458","48.42","70","65","51.85","16.28","85.81","907","978","48.12","414","478","46.41","30","39","43.48","7.25","91.84","1246","1282","49.29","625","632","49.72","22","14","61.11","3.52","97.78","7.94","92.88","1.008"
"3","Tampa Bay Lightning","69","3290.3833","41","22","6","38","88","0.638","3189","3004","51.49","2394","2249","51.56","1680","1653","50.41","148","131","53.05","157.8","143.19","52.43","1803","1556","53.68","1011","908","52.68","127","111","53.36","12.56","87.78","800","640","55.56","530","470","53.00","94","66","58.75","17.74","85.96","1003","916","52.27","481","438","52.34","33","45","42.31","6.86","89.73","1213","1250","49.25","609","675","47.43","20","20","50.00","3.28","97.04","8.81","92.08","1.009"
"4","New York Rangers","68","3317.1","39","19","10","35","88","0.647","3078","3012","50.54","2272","2200","50.81","1631","1582","50.76","142","131","52.01","140.07","143.21","49.45","1556","1580","49.62","841","884","48.75","117","104","52.94","13.91","88.24","639","673","48.70","428","463","48.04","77","68","53.10","17.99","85.31","917","907","50.27","413","421","49.52","40","36","52.63","9.69","91.45","1294","1182","52.26","720","619","53.77","25","27","48.08","3.47","95.64","8.71","91.72","1.004"
"5","Vegas Golden Knights","69","3463.0667","42","21","6","38","90","0.652","3253","3457","48.48","2368","2430","49.35","1726","1712","50.20","151","139","52.07","150.61","144.14","51.10","1605","1673","48.96","949","893","51.52","134","116","53.60","14.12","87.01","704","618","53.25","503","428","54.03","84","70","54.55","16.70","83.64","901","1055","46.06","446","465","48.96","50","46","52.08","11.21","90.11","1329","1509","46.83","672","734","47.80","17","22","43.59","2.53","97.00","8.75","91.88","1.006"
"6","Los Angeles Kings","69","3287.55","40","20","9","34","89","0.645","3240","2978","52.11","2426","2100","53.60","1747","1455","54.56","146","140","51.05","150.17","133.14","53.01","1701","1526","52.71","989","809","55.01","129","116","52.65","13.04","85.66","720","613","54.01","507","404","55.65","78","76","50.65","15.38","81.19","981","913","51.80","482","405","54.34","51","40","56.04","10.58","90.12","1321","1196","52.48","697","561","55.41","17","24","41.46","2.44","95.72","8.36","90.38","0.987"
"7","Boston Bruins","67","3167.0333","51","11","5","49","107","0.799","3001","2883","51.00","2263","2103","51.83","1672","1523","52.33","164","94","63.57","145.66","126.27","53.57","1647","1457","53.06","977","796","55.10","138","79","63.59","14.12","90.08","680","582","53.88","497","412","54.68","88","48","64.71","17.71","88.35","967","875","52.50","480","384","55.56","50","31","61.73","10.42","91.93","1199","1208","49.81","626","624","50.08","26","15","63.41","4.15","97.60","9.81","93.83","1.036"
"8","Washington Capitals","70","3390.25","33","30","7","31","73","0.521","3318","3219","50.76","2413","2377","50.38","1731","1668","50.93","147","150","49.49","152.6","149.35","50.54","1634","1618","50.25","938","920","50.48","133","124","51.75","14.18","86.52","685","667","50.67","481","451","51.61","84","80","51.22","17.46","82.26","949","951","49.95","457","469","49.35","49","44","52.69","10.72","90.62","1377","1338","50.72","677","662","50.56","14","26","35.00","2.07","96.07","8.49","91.01","0.995"
"9","Columbus Blue Jackets","68","3332.9833","21","40","7","20","49","0.360","3008","3599","45.53","2201","2645","45.42","1561","1902","45.08","120","178","40.27","132.35","161.11","45.10","1440","1762","44.97","837","993","45.74","98","147","40.00","11.71","85.20","556","720","43.57","383","492","43.77","54","92","36.99","14.10","81.30","884","1042","45.90","454","501","47.54","44","55","44.44","9.69","89.02","1293","1564","45.26","643","827","43.74","22","31","41.51","3.42","96.25","7.69","90.64","0.983"
"10","Carolina Hurricanes","67","3206.7","44","15","8","40","96","0.716","3610","2367","60.40","2702","1809","59.90","1820","1305","58.24","144","110","56.69","170.59","112.48","60.26","1770","1159","60.43","980","703","58.23","125","95","56.82","12.76","86.49","795","550","59.11","542","382","58.66","86","60","58.90","15.87","84.29","975","609","61.55","438","321","57.71","39","35","52.70","8.90","89.10","1548","950","61.97","780","494","61.22","19","15","55.88","2.44","96.96","7.91","91.57","0.995"
