"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","San Jose Sharks","69","3342.4833","19","36","14","18","52","0.377","3155","3214","49.54","2300","2358","49.38","1627","1684","49.14","142","178","44.38","160.76","145.67","52.46","1787","1665","51.77","1010","942","51.74","120","161","42.70","11.88","82.91","803","644","55.49","529","440","54.59","78","86","47.56","14.74","80.45","984","1021","49.08","481","502","48.93","42","75","35.90","8.73","85.06","1147","1322","46.46","551","657","45.61","22","17","56.41","3.99","97.41","8.73","89.43","0.982"
"2","Nashville Predators","66","3128.15","34","25","7","30","75","0.568","3004","3148","48.83","2191","2330","48.46","1537","1657","48.12","122","118","50.83","143.04","147.74","49.19","1545","1633","48.62","844","936","47.42","100","104","49.02","11.85","88.89","638","655","49.34","430","458","48.42","70","65","51.85","16.28","85.81","907","978","48.12","414","478","46.41","30","39","43.48","7.25","91.84","1246","1282","49.29","625","632","49.72","22","14","61.11","3.52","97.78","7.94","92.88","1.008"
"3","Tampa Bay Lightning","69","3290.3833","41","22","6","38","88","0.638","3189","3004","51.49","2394","2249","51.56","1680","1653","50.41","148","131","53.05","157.8","143.19","52.43","1803","1556","53.68","1011","908","52.68","127","111","53.36","12.56","87.78","800","640","55.56","530","470","53.00","94","66","58.75","17.74","85.96","1003","916","52.27","481","438","52.34","33","45","42.31","6.86","89.73","1213","1250","49.25","609","675","47.43","20","20","50.00","3.28","97.04","8.81","92.08","1.009"
"4","New York Rangers","68","3317.1","39","19","10","35","88","0.647","3078","3012","50.54","2272","2200","50.81","1631","1582","50.76","142","131","52.01","140.07","143.21","49.45","1556","1580","49.62","841","884","48.75","117","104","52.94","13.91","88.24","639","673","48.70","428","463","48.04","77","68","53.10","17.99","85.31","917","907","50.27","413","421","49.52","40","36","52.63","9.69","91.45","1294","1182","52.26","720","619","53.77","25","27","48.08","3.47","95.64","8.71","91.72","1.004"
"5","Vegas Golden Knights","69","3463.0667","42","21","6","38","90","0.652","3253","3457","48.48","2368","2430","49.35","1726","1712","50.20","151","139","52.07","150.61","144.14","51.10","1605","1673","48.96","949","893","51.52","134","116","53.60","14.12","87.01","704","618","53.25","503","428","54.03","84","70","54.55","16.70","83.64","901","1055","46.06","446","465","48.96","50","46","52.08","11.21","90.11","1329","1509","46.83","672","734","47.80","17","22","43.59","2.53","97.00","8.75","91.88","1.006"
"6","Los Angeles Kings","69","3287.55","40","20","9","34","89","0.645","3240","2978","52.11","2426","2100","53.60","1747","1455","54.56","146","140","51.05","150.17","133.14","53.01","1701","1526","52.71","989","809","55.01","129","116","52.65","13.04","85.66","720","613","54.01","507","404","55.65","78","76","50.65","15.38","81.19","981","913","51.80","482","405","54.34","51","40","56.04","10.58","90.12","1321","1196","52.48","697","561","55.41","17","24","41.46","2.44","95.72","8.36","90.38","0.987"
"7","Boston Bruins","67","3167.0333","51","11","5","49","107","0.799","3001","2883","51.00","2263","2103","51.83","1672","1523","52.33","164","94","63.57","145.66","126.27","53.57","1647","1457","53.06","977","796","55.10","138","79","63.59","14.12","90.08","680","582","53.88","497","412","54.68","88","48","64.71","17.71","88.35","967","875","52.50","480","384","55.56","50","31","61.73","10.42","91.93","1199","1208","49.81","626","624","50.08","26","15","63.41","4.15","97.60","9.81","93.83","1.036"
"8","Washington Capitals","69","3340.15","33","29","7","31","73","0.529","3266","3187","50.61","2379","2351","50.30","1706","1647","50.88","146","146","50.00","150.14","147.63","50.42","1610","1603","50.11","924","909","50.41","132","121","52.17","14.29","86.69","675","659","50.60","474","444","51.63","83","78","51.55","17.51","82.43","935","944","49.76","450","465","49.18","49","43","53.26","10.89","90.75","1356","1322","50.63","666","653","50.49","14","25","35.90","2.10","96.17","8.56","91.14","0.997"
"9","Columbus Blue Jackets","67","3285.4833","21","39","7","20","49","0.366","2948","3553","45.35","2160","2609","45.29","1531","1874","44.96","118","173","40.55","130.04","159.16","44.97","1409","1733","44.84","821","976","45.69","96","143","40.17","11.69","85.35","544","707","43.49","377","484","43.79","53","89","37.32","14.06","81.61","865","1026","45.74","444","492","47.44","43","54","44.33","9.68","89.02","1270","1550","45.04","631","819","43.52","22","30","42.31","3.49","96.34","7.71","90.77","0.985"
"10","Carolina Hurricanes","66","3155.9833","44","14","8","40","96","0.727","3538","2331","60.28","2648","1781","59.79","1788","1283","58.22","142","106","57.26","166.91","110.97","60.06","1738","1138","60.43","962","690","58.23","125","92","57.60","12.99","86.67","781","540","59.12","533","374","58.77","86","58","59.72","16.14","84.49","957","598","61.54","429","316","57.58","39","34","53.42","9.09","89.24","1514","937","61.77","766","486","61.18","17","14","54.84","2.22","97.12","7.94","91.74","0.997"
