"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"383","Artemi Panarin","NYR","L","4","71.633333333333","4","5","2","3","9","81.82","9","44.44","0.94","16","12","9","4","1","2","4","2","2","0","0","1","5","1","1","1","1","0","1","0.00"
"65","Erik Karlsson","S.J","D","3","73.866666666667","2","5","2","3","7","77.78","9","22.22","0.48","17","11","5","0","3","3","0","0","0","0","0","0","2","4","1","2","3","0","1","0.00"
"402","Matthew Tkachuk","FLA","L","3","59.316666666667","2","5","3","2","7","87.50","17","11.76","2.47","23","18","15","9","0","5","0","0","0","0","0","2","2","3","1","0","2","0","0","-"
"411","Clayton Keller","ARI","R","3","60.25","3","4","3","1","7","77.78","7","42.86","0.63","13","11","7","2","0","1","2","1","1","0","0","0","1","0","0","3","0","0","0","-"
"19","Anze Kopitar","L.A","C","2","36.916666666667","1","5","4","1","6","85.71","2","50.00","0.21","4","3","2","1","1","0","0","0","0","0","0","0","0","1","3","0","3","10","23","30.30"
"175","Mika Zibanejad","NYR","C","4","73.766666666667","5","1","1","0","6","85.71","13","38.46","2.68","23","23","18","10","0","3","2","1","1","0","0","0","5","1","4","4","6","33","39","45.83"
"177","Dougie Hamilton","N.J","D","3","68.05","2","4","1","3","6","100.00","10","20.00","0.67","22","16","8","0","1","1","6","3","3","0","0","1","0","0","3","6","9","0","0","-"
"305","Nick Schmaltz","ARI","C","3","57.933333333333","2","4","3","1","6","75.00","7","28.57","0.59","8","7","3","2","0","0","0","0","0","0","0","2","1","6","1","5","2","0","0","-"
"310","Adrian Kempe","L.A","R","2","36.483333333333","6","0","0","0","6","85.71","10","60.00","1.19","15","14","11","8","1","0","2","1","1","0","0","0","0","1","1","0","1","0","0","-"
"374","Mitchell Marner","TOR","R","4","86.85","1","5","4","1","6","75.00","8","12.50","0.44","20","8","11","4","0","2","0","0","0","0","0","0","6","9","1","1","0","0","1","0.00"
"458","Juuso Valimaki","ARI","D","3","65.6","0","6","0","6","6","75.00","9","0.00","0.36","12","10","6","1","1","1","2","1","1","0","0","1","1","0","1","8","3","0","0","-"
"475","Elias Pettersson","VAN","C","4","84.333333333333","4","2","1","1","6","75.00","12","33.33","1.52","20","17","13","10","0","3","0","0","0","0","0","3","6","1","5","5","6","31","31","50.00"
"38","Alex Killorn","T.B","L","4","68.183333333333","0","5","1","4","5","100.00","3","0.00","0.36","9","6","7","2","0","0","0","0","0","0","0","1","2","1","5","1","0","0","0","-"
"78","Mike Hoffman","MTL","L","3","53.416666666667","1","4","1","3","5","71.43","14","7.14","0.91","17","16","7","1","0","1","2","1","1","0","0","0","3","0","0","1","1","0","0","-"
"86","Evander Kane","EDM","L","4","76.15","3","2","0","2","5","100.00","13","23.08","0.94","22","15","17","5","3","2","13","5","4","1","0","5","2","0","4","5","1","1","0","100.00"
"94","Chris Kreider","NYR","L","4","72.316666666667","1","4","4","0","5","100.00","12","8.33","1.5","20","18","14","10","1","2","0","0","0","0","0","0","4","1","4","6","2","1","3","25.00"
"127","Brock Nelson","NYI","C","4","75.483333333333","2","3","0","3","5","62.50","13","15.38","1.52","25","19","16","7","1","5","0","0","0","0","0","1","3","1","0","8","2","24","21","53.33"
"151","Ondrej Palat","N.J","L","3","55.583333333333","2","3","3","0","5","83.33","4","50.00","0.55","5","4","3","3","0","2","0","0","0","0","0","1","3","3","7","3","6","0","2","0.00"
"157","Vincent Trocheck","NYR","C","4","69.166666666667","1","4","3","1","5","55.56","8","12.50","1.46","17","14","13","8","1","3","4","2","2","0","0","0","2","5","12","7","3","43","25","63.24"
"170","Nikita Kucherov","T.B","R","4","83.45","1","4","3","1","5","100.00","9","11.11","0.89","21","13","13","6","3","2","0","0","0","0","0","0","4","3","3","7","3","0","0","-"
"300","Dylan Larkin","DET","C","3","63.933333333333","3","2","0","2","5","100.00","11","27.27","0.92","18","14","10","2","0","1","0","0","0","0","0","1","0","0","0","2","1","32","25","56.14"
