"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"36","Elvis Merzlikins","CBJ","1","20","7","7","0","1.000","0.00","0.71","1.04","2","2","0","1.000","0.00","0.39","1","1","0","1.000","0.00","0.11","2","2","0","1.000","0.00","0.08","3","3","67.29","-"
"58","Dylan Ferguson","OTT","1","60","49","48","1","0.980","1.00","3.99","4.14","11","10","1","0.909","1.00","1.14","19","19","0","1.000","0.00","2.04","17","17","0","1.000","0.00","0.69","2","9","36.08","12.00"
"65","Joel Hofer","STL","2","117.16666666667","67","65","2","0.970","1.02","4.83","6.07","14","13","1","0.929","0.51","1.73","19","18","1","0.947","0.51","1.04","34","34","0","1.000","0.00","1.38","6","7","33.07","19.50"
"66","Ivan Prosvetov","ARI","3","179.5","105","100","5","0.952","1.67","5.70","11.25","26","24","2","0.923","0.67","3.07","30","27","3","0.900","1.00","0.22","47","47","0","1.000","0.00","1.90","8","22","34.99","19.40"
"3","Jaroslav Halak","NYR","2","121.63333333333","57","54","3","0.947","1.48","2.81","5.8","20","20","0","1.000","0.00","3.90","13","11","2","0.846","0.99","-0.61","22","21","1","0.955","0.49","-0.11","2","15","31.02","45.33"
"61","Collin Delia","VAN","1","59.466666666667","18","17","1","0.944","1.01","0.83","2.28","6","5","1","0.833","1.01","0.17","5","5","0","1.000","0.00","0.54","7","7","0","1.000","0.00","0.28","0","5","27.61","9.00"
"40","Igor Shesterkin","NYR","5","306.83333333333","155","146","9","0.942","1.76","6.79","14.66","49","45","4","0.918","0.78","5.55","40","36","4","0.900","0.78","0.29","54","53","1","0.981","0.20","1.19","8","28","37.17","20.22"
"45","Adin Hill","VGK","1","58.033333333333","34","32","2","0.941","2.07","1.46","2.95","6","6","0","1.000","0.00","1.17","13","11","2","0.846","2.07","-0.61","14","14","0","1.000","0.00","0.57","0","5","31.91","22.50"
"48","Casey DeSmith","PIT","4","171.93333333333","68","64","4","0.941","1.40","2.93","5.63","14","13","1","0.929","0.35","1.73","19","18","1","0.947","0.35","1.04","32","30","2","0.938","0.70","-0.70","5","10","40.53","25.00"
"32","Pheonix Copley","L.A","4","244.75","100","94","6","0.940","1.47","4.19","10.17","19","16","3","0.842","0.74","0.70","30","27","3","0.900","0.74","0.22","44","44","0","1.000","0.00","1.78","5","14","37.41","25.00"
"44","Ilya Samsonov","TOR","3","183.58333333333","96","90","6","0.938","1.96","3.78","10.69","26","23","3","0.885","0.98","2.07","27","26","1","0.963","0.33","1.90","40","38","2","0.950","0.65","-0.38","10","15","31.81","18.67"
"18","Petr Mrazek","CHI","3","148.73333333333","95","89","6","0.937","2.42","3.68","8.59","31","28","3","0.903","1.21","3.04","27","24","3","0.889","1.21","-0.10","33","33","0","1.000","0.00","1.34","9","10","31.59","18.33"
"59","Jeremy Swayman","BOS","4","235.75","109","102","7","0.936","1.78","4.11","11.06","29","24","5","0.828","1.27","0.65","28","27","1","0.964","0.25","2.00","43","42","1","0.977","0.25","0.74","5","16","38.39","19.00"
"47","Connor Ingram","ARI","2","124.8","89","83","6","0.933","2.88","3.07","6.72","8","6","2","0.750","0.96","-0.44","26","23","3","0.885","1.44","-0.21","49","48","1","0.980","0.48","0.98","4","9","40.72","23.00"
"57","Jiri Patera","VGK","2","120","70","65","5","0.929","2.50","2.13","7.87","22","18","4","0.818","2.00","0.29","20","20","0","1.000","0.00","2.15","23","22","1","0.957","0.50","-0.07","4","13","31.69","11.20"
"21","Magnus Hellberg","DET","2","72.433333333333","40","37","3","0.925","2.49","1.08","3.94","11","9","2","0.818","1.66","0.14","12","12","0","1.000","0.00","1.29","15","14","1","0.933","0.83","-0.39","1","8","34.65","24.33"
"60","Alexandar Georgiev","COL","7","424.85","161","149","12","0.925","1.69","4.41","14.43","47","41","6","0.872","0.85","3.16","39","34","5","0.872","0.71","-0.82","68","67","1","0.985","0.14","1.75","12","24","36.11","21.17"
"2","Marc-Andre Fleury","MIN","4","239.11666666667","157","145","12","0.924","3.01","4.00","13.82","51","45","6","0.882","1.51","3.94","39","36","3","0.923","0.75","1.18","58","55","3","0.948","0.75","-0.65","11","25","33.97","21.67"
"46","Karel Vejmelka","ARI","2","124.15","76","70","6","0.921","2.90","1.74","6.68","25","22","3","0.880","1.45","1.87","16","14","2","0.875","0.97","-0.28","33","32","1","0.970","0.48","0.34","5","12","33.07","18.17"
"25","Joonas Korpisalo","L.A","3","185","75","69","6","0.920","1.95","1.64","7.24","20","18","2","0.900","0.65","1.90","26","24","2","0.923","0.65","0.79","29","27","2","0.931","0.65","-0.83","4","15","29.84","29.17"
"33","Thatcher Demko","VAN","5","302.95","136","125","11","0.919","2.18","2.86","12.58","35","29","6","0.829","1.19","0.82","31","27","4","0.871","0.79","-0.67","57","56","1","0.982","0.20","1.31","13","18","38.72","20.18"
"67","Akira Schmid","N.J","4","247.53333333333","110","101","9","0.918","2.18","2.21","10.42","29","24","5","0.828","1.21","0.65","32","28","4","0.875","0.97","-0.57","47","47","0","1.000","0.00","1.90","10","18","32.64","16.78"
