"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"17","Sidney Crosby","PIT","C","6","119.38333333333","3","8","3","5","11","78.57","19","15.79","2.24","32","26","23","15","2","3","2","1","1","0","0","2","3","6","2","2","3","83","68","54.97"
"34","Claude Giroux","OTT","R","7","130.53333333333","5","5","4","1","10","90.91","18","27.78","1.92","36","27","22","9","4","2","0","0","0","0","0","2","3","8","3","9","4","68","51","57.14"
"139","Zach Hyman","EDM","L","4","80.533333333333","5","5","4","1","10","66.67","14","35.71","2.69","24","17","18","10","1","4","0","0","0","0","0","0","1","2","1","11","2","0","0","-"
"173","Nikita Kucherov","T.B","R","6","119.21666666667","2","8","4","4","10","83.33","18","11.11","1.87","33","28","20","7","6","0","6","3","3","0","0","6","7","8","2","9","3","0","0","-"
"274","Aleksander Barkov","FLA","C","6","129.2","2","8","4","4","10","71.43","21","9.52","3.04","31","29","24","13","1","5","2","1","1","0","0","1","2","0","3","6","6","70","53","56.91"
"317","David Pastrnak","BOS","R","8","156.06666666667","3","7","4","3","10","83.33","30","10.00","2.71","56","38","27","9","1","7","8","4","4","0","0","2","7","7","13","14","2","0","1","0.00"
"415","Matthew Tkachuk","FLA","L","6","131.58333333333","3","7","3","4","10","71.43","31","9.68","4.29","51","38","40","23","2","9","7","2","1","1","0","4","7","3","6","3","5","0","1","0.00"
"11","Evgeni Malkin","PIT","C","6","115.81666666667","4","5","3","2","9","81.82","15","26.67","2.14","31","18","19","8","1","5","8","4","4","0","0","2","9","3","3","5","1","32","35","47.76"
"304","William Nylander","TOR","R","7","122.56666666667","4","5","3","2","9","75.00","25","16.00","2.92","44","36","31","13","4","3","2","1","1","0","0","0","3","7","2","7","1","2","3","40.00"
"328","Brayden Point","T.B","C","6","117.16666666667","4","5","2","3","9","69.23","19","21.05","3.29","27","26","26","18","3","3","0","0","0","0","0","3","2","4","1","10","3","18","11","62.07"
"364","Sebastian Aho","CAR","C","7","130.86666666667","9","0","0","0","9","75.00","26","34.62","3.69","35","30","23","16","2","1","2","1","1","0","0","3","9","11","4","6","4","45","56","44.55"
"425","Patrik Laine","CBJ","L","7","142.5","2","7","4","3","9","81.82","20","10.00","1.69","39","32","16","5","1","2","0","0","0","0","0","1","1","5","2","8","5","4","4","50.00"
"456","Tage Thompson","BUF","C","7","123.3","2","7","2","5","9","69.23","18","11.11","1.49","38","24","14","7","3","2","6","3","3","0","0","3","3","2","2","10","6","22","30","42.31"
"548","Brady Tkachuk","OTT","L","7","128.56666666667","5","4","3","1","9","81.82","26","19.23","4.86","49","43","40","19","0","5","19","4","2","1","1","4","8","1","18","6","1","33","43","43.42"
"612","Jack Hughes","N.J","C","5","106.11666666667","4","5","4","1","9","81.82","21","19.05","1.85","37","24","22","5","3","1","0","0","0","0","0","0","2","6","2","5","4","18","25","41.86"
"640","Tim Stützle","OTT","L","7","148.83333333333","3","6","5","1","9","75.00","20","15.00","2.02","39","27","26","13","2","3","6","3","3","0","0","5","4","4","9","11","5","12","32","27.27"
"5","Brent Burns","CAR","D","7","157.53333333333","4","4","1","3","8","61.54","16","25.00","0.78","34","26","8","2","0","2","4","2","2","0","0","0","8","5","5","2","8","0","0","-"
"14","David Krejci","BOS","C","8","133.36666666667","1","7","5","2","8","66.67","8","12.50","0.78","14","11","9","5","0","0","0","0","0","0","0","0","1","0","7","9","6","40","49","44.94"
"19","Anze Kopitar","L.A","C","7","139.11666666667","4","4","3","1","8","88.89","18","22.22","2.01","26","23","17","9","3","3","0","0","0","0","0","0","1","8","8","5","8","71","73","49.31"
"63","Steven Stamkos","T.B","C","6","122.46666666667","6","2","1","1","8","66.67","22","27.27","2.58","31","25","21","10","1","0","6","3","3","0","0","2","1","2","9","10","3","50","32","60.98"
"69","Erik Karlsson","S.J","D","6","156.1","2","6","5","1","8","66.67","10","20.00","0.81","36","18","18","5","7","5","0","0","0","0","0","1","5","12","6","9","8","0","0","-"
"157","Johnny Gaudreau","CBJ","L","7","144.36666666667","2","6","3","3","8","66.67","17","11.76","1.83","40","30","27","5","4","2","2","1","1","0","0","2","7","8","0","4","3","0","0","-"
"179","Mark Scheifele","WPG","C","7","144.7","5","3","1","2","8","88.89","19","26.32","3.55","33","28","26","14","0","2","2","1","1","0","0","2","4","7","3","9","3","54","48","52.94"
"180","Dougie Hamilton","N.J","D","5","121.7","3","5","4","1","8","66.67","22","13.64","1.01","35","25","16","1","5","3","2","1","1","0","0","1","5","0","3","8","5","0","0","-"
"300","Sam Reinhart","FLA","C","6","121.43333333333","4","4","3","1","8","61.54","17","23.53","3.66","33","27","23","14","2","2","0","0","0","0","0","1","2","3","5","11","5","14","10","58.33"
"311","Alex Tuch","BUF","R","7","135.11666666667","3","5","4","1","8","72.73","24","12.50","1.93","38","31","18","7","1","2","2","1","1","0","0","2","4","6","2","6","6","6","8","42.86"
