"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"411","Connor McDavid","EDM","C","75","296.56666666667","21","46","28","18","67","81.71","96","21.88","14.21","154","121","111","37","1","8","4","2","2","0","0","4","23","5","4","20","1","18","11","62.07"
"347","Leon Draisaitl","EDM","C","73","291.1","29","28","19","9","57","69.51","95","30.53","15.19","151","130","90","35","0","14","6","3","3","0","0","1","13","5","2","14","1","190","125","60.32"
"196","Ryan Nugent-Hopkins","EDM","C","75","291.75","14","36","12","24","50","60.98","54","25.93","7.8","87","66","64","23","0","5","2","1","1","0","0","1","7","1","4","6","2","6","10","37.50"
"195","Nikita Kucherov","T.B","R","75","303.15","8","36","22","14","44","86.27","70","11.43","7.84","145","103","79","16","9","6","8","4","4","0","0","3","22","5","7","14","2","0","0","-"
"97","John Tavares","TOR","C","73","253.76666666667","15","20","14","6","35","72.92","93","16.13","19.12","136","124","121","90","1","25","4","2","2","0","0","0","10","0","4","12","0","163","104","61.05"
"11","Evgeni Malkin","PIT","C","74","296.65","10","24","14","10","34","79.07","61","16.39","8.68","126","88","79","19","2","11","4","2","2","0","0","3","27","4","3","9","3","24","18","57.14"
"448","Mitchell Marner","TOR","R","74","268.55","8","26","7","19","34","68.00","42","19.05","4.38","91","53","40","6","0","8","2","1","1","0","0","1","19","4","2","11","1","0","0","-"
"364","David Pastrnak","BOS","R","74","286.81666666667","17","16","10","6","33","73.33","114","14.91","12.32","216","156","95","24","0","15","8","4","4","0","0","3","22","4","2","18","3","1","0","100.00"
"200","Mika Zibanejad","NYR","C","74","264.2","19","13","6","7","32","82.05","92","20.65","12.5","166","137","72","21","1","10","2","1","1","0","0","1","10","1","2","2","0","51","35","59.30"
"420","Mikko Rantanen","COL","R","74","305.36666666667","11","21","17","4","32","62.75","67","16.42","9.25","122","97","68","19","2","5","2","1","1","0","0","1","7","3","3","16","0","41","59","41.00"
