"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"1","Craig Anderson","BUF","2","119.48333333333","71","69","2","0.972","1.00","4.55","5.56","17","16","1","0.941","0.50","1.94","24","24","0","1.000","0.00","2.52","30","29","1","0.967","0.50","0.11","6","4","35.39","35.50"
"2","Marc-Andre Fleury","MIN","3","179.71666666667","73","70","3","0.959","1.00","3.73","5.85","18","15","3","0.833","1.00","0.11","18","18","0","1.000","0.00","1.89","34","34","0","1.000","0.00","1.26","3","8","37.26","13.00"
"67","Pyotr Kochetkov","CAR","4","239.98333333333","107","102","5","0.953","1.25","4.87","10.2","32","30","2","0.938","0.50","3.53","29","26","3","0.897","0.75","0.04","39","39","0","1.000","0.00","1.44","14","11","37.34","21.60"
"55","Ukko-Pekka Luukkonen","BUF","2","120","84","80","4","0.952","2.00","3.75","8.59","25","23","2","0.920","1.00","2.32","33","32","1","0.970","0.50","2.46","25","24","1","0.960","0.50","-0.08","3","16","31.87","20.25"
"24","Andrei Vasilevskiy","T.B","3","179.16666666667","99","94","5","0.949","1.67","4.13","8.45","25","24","1","0.960","0.33","3.32","27","23","4","0.852","1.34","-1.17","44","44","0","1.000","0.00","1.63","0","10","35.87","23.20"
"59","Alexandar Georgiev","COL","5","307.33333333333","131","124","7","0.947","1.37","5.08","11.87","38","32","6","0.842","1.17","0.56","28","27","1","0.964","0.20","1.94","56","56","0","1.000","0.00","2.07","10","21","36.17","11.86"
"26","Joonas Korpisalo","CBJ","1","36.366666666667","18","17","1","0.944","1.65","0.66","1.97","5","4","1","0.800","1.65","-0.14","5","5","0","1.000","0.00","0.52","6","6","0","1.000","0.00","0.22","2","5","34.67","15.00"
"30","Juuse Saros","NSH","6","371.25","212","199","13","0.939","2.10","6.55","20.58","47","43","4","0.915","0.65","4.12","72","65","7","0.903","1.13","0.56","87","85","2","0.977","0.32","1.22","11","27","32.72","26.23"
"60","Collin Delia","VAN","1","59.85","33","31","2","0.939","2.01","1.04","3.89","12","10","2","0.833","2.01","0.07","7","7","0","1.000","0.00","0.73","12","12","0","1.000","0.00","0.44","1","4","33.70","8.50"
"57","Jeremy Swayman","BOS","2","118.83333333333","60","56","4","0.933","2.02","1.53","6.54","23","20","3","0.870","1.51","0.97","15","15","0","1.000","0.00","1.57","21","20","1","0.952","0.50","-0.22","1","8","31.40","20.75"
"62","Pavel Francouz","COL","2","119.31666666667","60","56","4","0.933","2.01","1.53","3.54","9","6","3","0.667","1.51","-1.45","16","16","0","1.000","0.00","1.68","31","30","1","0.968","0.50","0.15","5","4","40.05","14.25"
