"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"6","Alex Stalock","CHI","1","58.233333333333","37","36","1","0.973","1.03","2.66","3.73","9","9","0","1.000","0.00","1.67","10","9","1","0.900","1.03","0.10","15","15","0","1.000","0.00","0.57","3","7","33.22","31.00"
"1","Craig Anderson","BUF","1","60","36","35","1","0.972","1.00","2.56","2.43","10","10","0","1.000","0.00","1.85","6","5","1","0.833","1.00","-0.34","19","19","0","1.000","0.00","0.72","2","1","35.64","29.00"
"53","Jake Oettinger","DAL","3","180","87","84","3","0.966","1.00","5.60","8","18","17","1","0.944","0.33","2.34","18","16","2","0.889","0.67","-0.02","47","47","0","1.000","0.00","1.79","2","7","36.25","23.67"
"17","Frederik Andersen","CAR","2","120","55","53","2","0.964","1.00","3.43","4.85","12","12","0","1.000","0.00","2.23","21","21","0","1.000","0.00","2.31","14","12","2","0.857","1.00","-1.47","5","9","41.76","29.50"
"33","Alex Nedeljkovic","DET","1","59.516666666667","39","37","2","0.949","2.02","1.85","4.36","11","10","1","0.909","1.01","1.04","11","11","0","1.000","0.00","1.21","13","12","1","0.923","1.01","-0.51","10","9","39.18","32.00"
"26","Antti Raanta","CAR","1","60","19","18","1","0.947","1.00","0.88","1.7","7","7","0","1.000","0.00","1.30","4","3","1","0.750","1.00","-0.56","6","6","0","1.000","0.00","0.23","3","4","36.16","30.00"
"52","Stuart Skinner","EDM","2","106.8","54","51","3","0.944","1.69","2.34","6.08","14","12","2","0.857","1.12","0.60","20","19","1","0.950","0.56","1.20","17","17","0","1.000","0.00","0.65","5","6","35.11","25.67"
"10","Jake Allen","MTL","2","118.31666666667","70","66","4","0.943","2.03","2.92","6.98","26","22","4","0.846","2.03","0.82","15","15","0","1.000","0.00","1.65","26","26","0","1.000","0.00","0.99","4","10","34.21","13.00"
"50","Carter Hart","PHI","3","180","105","99","6","0.943","2.00","4.37","10.83","34","34","0","1.000","0.00","6.31","29","25","4","0.862","1.33","-0.82","37","35","2","0.946","0.67","-0.59","15","24","33.91","32.67"
"36","Ilya Sorokin","NYI","2","118.28333333333","51","48","3","0.941","1.52","2.04","7.25","19","18","1","0.947","0.51","2.52","18","16","2","0.889","1.01","-0.02","14","14","0","1.000","0.00","0.53","5","17","28.57","19.67"
"45","Adin Hill","VGK","1","60","33","31","2","0.939","2.00","1.26","2.37","7","5","2","0.714","2.00","-0.70","12","12","0","1.000","0.00","1.32","11","11","0","1.000","0.00","0.42","1","3","36.15","13.50"
"59","Kevin Lankinen","NSH","1","60","33","31","2","0.939","2.00","1.26","3.48","10","9","1","0.900","1.00","0.85","11","10","1","0.909","1.00","0.21","11","11","0","1.000","0.00","0.42","3","8","30.42","18.50"
"29","Tristan Jarry","PIT","2","119.18333333333","64","60","4","0.938","2.01","2.32","4.8","16","13","3","0.813","1.51","-0.03","20","20","0","1.000","0.00","2.20","26","25","1","0.962","0.50","-0.01","6","8","34.97","20.50"
"56","Logan Thompson","VGK","3","177.66666666667","97","91","6","0.938","2.03","3.58","9.05","28","22","6","0.786","2.03","-0.81","21","21","0","1.000","0.00","2.31","42","42","0","1.000","0.00","1.60","7","18","38.62","12.00"
"8","Semyon Varlamov","NYI","1","59.883333333333","28","26","2","0.929","2.00","0.77","2.96","12","11","1","0.917","1.00","1.23","8","7","1","0.875","1.00","-0.12","7","7","0","1.000","0.00","0.27","4","3","27.75","10.50"
"30","Eric Comrie","BUF","2","119.66666666667","85","79","6","0.929","3.01","2.40","9.2","29","25","4","0.862","2.01","1.38","27","25","2","0.926","1.00","0.96","27","27","0","1.000","0.00","1.03","4","13","32.06","19.00"
"25","Linus Ullmark","BOS","3","139.48333333333","82","76","6","0.927","2.58","2.10","7.37","16","13","3","0.813","1.29","-0.03","25","23","2","0.920","0.86","0.74","34","33","1","0.971","0.43","0.29","3","15","39.38","20.00"
"44","Ilya Samsonov","TOR","2","119.98333333333","54","50","4","0.926","2.00","1.34","4.99","16","15","1","0.938","0.50","1.97","13","10","3","0.769","1.50","-1.57","22","22","0","1.000","0.00","0.84","2","7","38.87","18.25"
"37","Ville Husso","DET","2","120.13333333333","65","60","5","0.923","2.50","1.42","5.35","12","10","2","0.833","1.00","0.23","17","14","3","0.824","1.50","-1.13","29","29","0","1.000","0.00","1.10","8","5","39.23","17.60"
"48","Casey DeSmith","PIT","1","63.15","39","36","3","0.923","2.85","0.85","3.14","4","2","2","0.500","1.90","-1.26","19","19","0","1.000","0.00","2.09","14","13","1","0.929","0.95","-0.47","1","5","34.00","11.00"
"49","Charlie Lindgren","WSH","1","56.516666666667","39","36","3","0.923","3.18","0.85","4.24","14","11","3","0.786","3.18","-0.40","11","11","0","1.000","0.00","1.21","12","12","0","1.000","0.00","0.46","5","5","31.79","10.33"
"24","Connor Hellebuyck","WPG","3","180.51666666667","103","95","8","0.922","2.66","2.18","10.38","28","25","3","0.893","1.00","2.19","32","30","2","0.938","0.66","1.51","40","37","3","0.925","1.00","-1.48","2","21","35.49","26.00"
"7","James Reimer","S.J","3","176.83333333333","111","102","9","0.919","3.05","1.97","10.73","36","31","5","0.861","1.70","1.68","32","29","3","0.906","1.02","0.51","36","35","1","0.972","0.34","0.37","8","27","36.02","18.67"
"13","Sergei Bobrovsky","FLA","3","174.81666666667","99","91","8","0.919","2.75","1.78","9.89","36","31","5","0.861","1.72","1.68","23","22","1","0.957","0.34","1.52","34","32","2","0.941","0.69","-0.71","7","17","34.93","19.63"
"19","Jordan Binnington","STL","2","122.16666666667","60","55","5","0.917","2.46","0.93","5.38","13","12","1","0.923","0.49","1.41","24","21","3","0.875","1.47","-0.37","22","21","1","0.955","0.49","-0.16","2","12","33.37","24.20"
"21","Andrei Vasilevskiy","T.B","3","176.13333333333","91","83","8","0.912","2.73","0.99","9.85","29","25","4","0.862","1.36","1.38","20","17","3","0.850","1.02","-0.80","40","39","1","0.975","0.34","0.52","2","14","31.87","21.00"
"43","Sam Montembeault","MTL","2","121.1","57","52","5","0.912","2.48","0.63","6.48","16","12","4","0.750","1.98","-1.03","16","16","0","1.000","0.00","1.76","23","22","1","0.957","0.50","-0.13","2","13","31.60","17.60"
"3","Jaroslav Halak","NYR","1","58.966666666667","33","30","3","0.909","3.05","0.26","3.2","10","9","1","0.900","1.02","0.85","9","7","2","0.778","2.04","-1.01","14","14","0","1.000","0.00","0.53","1","2","30.67","16.67"
"39","Igor Shesterkin","NYR","3","179","84","76","8","0.905","2.68","0.30","8.78","29","25","4","0.862","1.34","1.38","25","22","3","0.880","1.01","-0.26","21","20","1","0.952","0.34","-0.20","9","13","37.98","21.38"
"18","Anton Forsberg","OTT","3","177.41666666667","100","90","10","0.900","3.38","-0.12","9.95","29","22","7","0.759","2.37","-1.62","25","22","3","0.880","1.01","-0.26","42","42","0","1.000","0.00","1.60","5","20","32.54","18.50"
"28","Juuse Saros","NSH","4","239.98333333333","116","104","12","0.897","3.00","-0.54","12.82","35","28","7","0.800","1.75","-0.51","43","38","5","0.884","1.25","-0.28","34","34","0","1.000","0.00","1.29","4","15","30.19","14.50"
"42","Dan Vladar","CGY","1","60","29","26","3","0.897","3.00","-0.13","2.89","10","8","2","0.800","2.00","-0.15","11","11","0","1.000","0.00","1.21","8","7","1","0.875","1.00","-0.70","1","3","26.41","22.33"
"5","Jonathan Quick","L.A","3","176.9","105","94","11","0.895","3.73","-0.63","9.58","33","28","5","0.848","1.70","1.12","31","25","6","0.806","2.04","-2.60","33","33","0","1.000","0.00","1.25","4","15","34.31","17.36"
"46","Karel Vejmelka","ARI","3","179.13333333333","123","110","13","0.894","4.35","-0.85","12.75","47","37","10","0.787","3.35","-1.28","38","36","2","0.947","0.67","2.17","35","34","1","0.971","0.33","0.33","7","15","27.89","20.08"
"57","Alexandar Georgiev","COL","3","180","84","75","9","0.893","3.00","-0.70","7.34","22","19","3","0.864","1.00","1.08","26","23","3","0.885","1.00","-0.15","31","28","3","0.903","1.00","-1.82","7","15","36.57","23.44"
"9","Jacob Markstrom","CGY","2","120","46","41","5","0.891","2.50","-0.45","4.17","13","9","4","0.692","2.00","-1.59","13","12","1","0.923","0.50","0.43","17","17","0","1.000","0.00","0.65","3","3","36.70","13.80"
"54","Daniil Tarasov","CBJ","2","120","82","73","9","0.890","4.50","-0.90","6.87","20","15","5","0.750","2.50","-1.29","21","20","1","0.952","0.50","1.31","37","34","3","0.919","1.50","-1.59","7","17","40.09","26.00"
"12","Darcy Kuemper","WSH","3","177.56666666667","81","72","9","0.889","3.04","-1.00","7.25","16","10","6","0.625","2.03","-3.03","22","20","2","0.909","0.68","0.41","37","36","1","0.973","0.34","0.41","9","12","37.31","19.33"
