"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"47","Sam Montembeault","MTL","3","178","116","104","12","0.897","4.04","-0.53","11.87","30","24","6","0.800","2.02","-0.40","29","27","2","0.931","0.67","1.25","52","48","4","0.923","1.35","-1.95","5","22","35.34","25.58"
"59","Ukko-Pekka Luukkonen","BUF","4","249.53333333333","142","127","15","0.894","3.61","-0.96","12.37","38","30","8","0.789","1.92","-0.91","48","44","4","0.917","0.96","1.38","51","48","3","0.941","0.72","-0.99","3","12","32.45","22.60"
"61","Logan Thompson","VGK","3","163.46666666667","85","76","9","0.894","3.30","-0.60","7.23","24","21","3","0.875","1.10","1.48","20","18","2","0.900","0.73","0.24","38","34","4","0.895","1.47","-2.50","1","12","32.35","23.11"
"68","Spencer Knight","FLA","3","179.11666666667","103","92","11","0.893","3.68","-0.82","9.28","32","26","6","0.813","2.01","-0.03","24","20","4","0.833","1.34","-1.31","41","40","1","0.976","0.33","0.62","6","17","36.18","19.91"
"32","Antti Raanta","CAR","3","189.98333333333","65","58","7","0.892","2.21","-0.57","6.32","23","19","4","0.826","1.26","0.29","20","17","3","0.850","0.95","-0.76","16","16","0","1.000","0.00","0.63","12","5","35.23","15.71"
"65","Kevin Lankinen","NSH","2","120.73333333333","64","57","7","0.891","3.48","-0.67","4.92","16","14","2","0.875","0.99","0.99","14","9","5","0.643","2.48","-3.43","31","31","0","1.000","0.00","1.22","4","11","34.02","22.14"
"62","Alexandar Georgiev","COL","5","272.06666666667","162","144","18","0.889","3.97","-1.98","16.53","56","43","13","0.768","2.87","-2.55","30","26","4","0.867","0.88","-0.64","66","65","1","0.985","0.22","1.61","7","26","35.52","16.22"
"26","Andrei Vasilevskiy","T.B","4","238.33333333333","114","101","13","0.886","3.27","-1.73","12.22","37","31","6","0.838","1.51","0.90","39","33","6","0.846","1.51","-1.63","33","32","1","0.970","0.25","0.30","11","19","33.43","21.69"
"70","Yaroslav Askarov","NSH","1","57.833333333333","35","31","4","0.886","4.15","-0.54","3.36","9","8","1","0.889","1.04","0.68","7","4","3","0.571","3.11","-2.22","14","14","0","1.000","0.00","0.55","3","9","50.03","23.25"
"16","Sergei Bobrovsky","FLA","4","235.48333333333","122","108","14","0.885","3.57","-1.94","10.76","29","22","7","0.759","1.78","-1.59","37","33","4","0.892","1.02","0.15","49","46","3","0.939","0.76","-1.07","5","16","35.21","16.00"
"20","Petr Mrazek","CHI","2","119.61666666667","61","54","7","0.885","3.51","-0.97","7.64","24","19","5","0.792","2.51","-0.52","17","16","1","0.941","0.50","0.91","20","19","1","0.950","0.50","-0.21","2","14","26.25","14.71"
"10","Jacob Markstrom","CGY","5","260.35","112","99","13","0.884","3.00","-1.93","9.1","29","21","8","0.724","1.84","-2.59","33","29","4","0.879","0.92","-0.30","44","43","1","0.977","0.23","0.74","6","11","37.38","17.77"
"48","Ilya Samsonov","TOR","3","183.53333333333","77","68","9","0.883","2.94","-1.39","8.09","25","21","4","0.840","1.31","0.66","23","19","4","0.826","1.31","-1.42","25","24","1","0.960","0.33","-0.01","2","15","34.10","22.33"
"42","Ville Husso","DET","4","237.58333333333","117","103","14","0.880","3.54","-2.43","10.59","36","29","7","0.806","1.77","-0.28","28","24","4","0.857","1.01","-0.86","45","42","3","0.933","0.76","-1.22","2","17","34.80","26.07"
"8","James Reimer","S.J","3","174.96666666667","96","84","12","0.875","4.12","-2.51","8.82","30","23","7","0.767","2.40","-1.40","33","29","4","0.879","1.37","-0.30","29","28","1","0.966","0.34","0.14","5","14","33.64","20.67"
"54","Carter Hart","PHI","3","179.58333333333","87","76","11","0.874","3.68","-2.40","6.99","23","18","5","0.783","1.67","-0.71","24","20","4","0.833","1.34","-1.31","35","33","2","0.943","0.67","-0.62","3","13","39.22","24.36"
"25","John Gibson","ANA","6","340","229","200","29","0.873","5.12","-6.36","20.74","67","52","15","0.776","2.65","-2.50","64","55","9","0.859","1.59","-1.83","87","82","5","0.943","0.88","-1.57","12","30","33.10","19.41"
"40","Elvis Merzlikins","CBJ","3","178.25","102","89","13","0.873","4.38","-2.91","8.3","27","18","9","0.667","3.03","-3.96","25","23","2","0.920","0.67","0.80","44","42","2","0.955","0.67","-0.26","14","13","37.87","20.31"
"50","Karel Vejmelka","ARI","6","350.13333333333","212","185","27","0.873","4.63","-6.04","20.59","67","48","19","0.716","3.26","-6.50","53","50","3","0.943","0.51","2.94","85","80","5","0.941","0.86","-1.64","15","34","33.08","16.00"
"23","Jordan Binnington","STL","5","301.83333333333","153","133","20","0.869","3.98","-4.87","16.81","45","32","13","0.711","2.58","-4.60","44","40","4","0.909","0.80","0.93","56","53","3","0.946","0.60","-0.79","17","24","33.88","20.35"
"43","Kaapo Kahkonen","S.J","4","241","121","105","16","0.868","3.98","-4.04","12","26","18","8","0.692","1.99","-3.15","31","23","8","0.742","1.99","-4.53","56","56","0","1.000","0.00","2.21","6","21","39.00","17.94"
"6","Jonathan Quick","L.A","1","58.883333333333","22","19","3","0.864","3.06","-0.82","2.09","5","5","0","1.000","0.00","0.93","6","5","1","0.833","1.02","-0.33","10","8","2","0.800","2.04","-1.61","1","2","34.73","39.00"
"52","Casey DeSmith","PIT","4","169.21666666667","81","70","11","0.864","3.90","-2.99","7.39","33","25","8","0.758","2.84","-1.84","14","12","2","0.857","0.71","-0.43","27","26","1","0.963","0.35","0.07","5","8","35.42","20.73"
"63","Collin Delia","VAN","3","142.68333333333","80","69","11","0.863","4.63","-3.09","9.34","27","20","7","0.741","2.94","-1.96","23","22","1","0.957","0.42","1.58","28","25","3","0.893","1.26","-1.89","9","14","31.08","21.73"
"36","Spencer Martin","VAN","4","208.06666666667","108","92","16","0.852","4.61","-5.32","11.49","40","33","7","0.825","2.02","0.46","25","19","6","0.760","1.73","-3.20","35","32","3","0.914","0.87","-1.62","6","23","34.70","24.50"
"15","Cam Talbot","OTT","3","161.85","80","68","12","0.850","4.45","-4.09","8.09","19","14","5","0.737","1.85","-1.45","22","17","5","0.773","1.85","-2.53","34","32","2","0.941","0.74","-0.66","1","10","35.50","21.92"
"19","Philipp Grubauer","SEA","2","63.916666666667","40","34","6","0.850","5.63","-2.04","4.61","12","8","4","0.667","3.75","-1.76","11","10","1","0.909","0.94","0.23","17","16","1","0.941","0.94","-0.33","0","8","29.55","18.17"
"69","Pyotr Kochetkov","CAR","3","176.93333333333","76","64","12","0.842","4.07","-4.49","8.53","24","19","5","0.792","1.70","-0.52","20","16","4","0.800","1.36","-1.76","21","18","3","0.857","1.02","-2.17","8","9","38.66","23.67"
"11","Jake Allen","MTL","3","179.61666666667","92","76","16","0.826","5.34","-6.90","9.38","27","18","9","0.667","3.01","-3.96","23","20","3","0.870","1.00","-0.42","37","33","4","0.892","1.34","-2.54","5","11","33.59","17.63"
"35","Eric Comrie","BUF","1","57.75","22","18","4","0.818","4.16","-1.82","2.7","12","9","3","0.750","3.12","-0.76","6","5","1","0.833","1.04","-0.33","4","4","0","1.000","0.00","0.16","0","2","20.59","14.00"
"9","Semyon Varlamov","NYI","1","60","21","17","4","0.810","4.00","-1.92","2.3","6","6","0","1.000","0.00","1.12","7","5","2","0.714","2.00","-1.22","8","6","2","0.750","2.00","-1.68","1","6","32.19","32.75"
"66","Akira Schmid","N.J","1","57.983333333333","18","14","4","0.778","4.14","-2.22","1.82","3","2","1","0.667","1.03","-0.44","8","6","2","0.750","2.07","-1.10","4","3","1","0.750","1.03","-0.84","1","1","49.83","19.75"
