"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"14","Colorado Avalanche","71","3404.6","42","23","6","37","90","0.634","3396","3134","52.01","2439","2341","51.03","1815","1749","50.93","143","125","53.36","146.9","139.34","51.32","1639","1450","53.06","956","867","52.44","120","104","53.57","12.55","88.00","644","656","49.54","468","466","50.11","76","70","52.05","16.24","84.98","995","794","55.62","488","401","54.89","44","34","56.41","9.02","91.52","1510","1386","52.14","796","793","50.09","23","21","52.27","2.89","97.35","7.88","92.85","1.007"
"15","Seattle Kraken","71","3478.4167","39","24","8","39","86","0.606","3334","3036","52.34","2497","2220","52.94","1746","1517","53.51","179","140","56.11","148.61","144.39","50.72","1603","1565","50.60","921","825","52.75","151","129","53.93","16.40","84.36","615","663","48.12","424","430","49.65","88","86","50.57","20.75","80.00","988","902","52.28","497","395","55.72","63","43","59.43","12.68","89.11","1409","1224","53.51","731","603","54.80","27","11","71.05","3.69","98.18","10.25","90.77","1.010"
"16","Anaheim Ducks","72","3508.05","23","39","10","20","56","0.389","2920","3892","42.87","2180","3022","41.91","1588","2229","41.60","123","196","38.56","131.82","200.67","39.65","1432","2034","41.32","816","1257","39.36","103","165","38.43","12.62","86.87","600","948","38.76","425","710","37.44","63","115","35.39","14.82","83.80","832","1086","43.38","391","547","41.68","40","50","44.44","10.23","90.86","1176","1593","42.47","621","885","41.24","20","31","39.22","3.22","96.50","7.75","91.21","0.990"
"17","Vancouver Canucks","71","3454.7167","32","34","5","27","69","0.486","2967","3228","47.89","2224","2416","47.93","1643","1729","48.72","153","173","46.93","141.59","156.82","47.45","1505","1673","47.36","901","964","48.31","133","147","47.50","14.76","84.75","654","724","47.46","482","515","48.35","92","99","48.17","19.09","80.78","851","949","47.28","419","449","48.27","41","48","46.07","9.79","89.31","1243","1309","48.71","663","670","49.74","20","25","44.44","3.02","96.27","9.31","89.99","0.993"
"18","Edmonton Oilers","72","3447.05","41","23","8","41","90","0.625","3305","3062","51.91","2461","2347","51.19","1804","1725","51.12","167","155","51.86","167.83","145.89","53.50","1757","1538","53.32","1034","915","53.05","146","133","52.33","14.12","85.46","780","611","56.07","556","443","55.66","86","82","51.19","15.47","81.49","977","927","51.31","478","472","50.32","60","51","54.05","12.55","89.19","1297","1255","50.82","677","702","49.09","21","22","48.84","3.10","96.87","9.26","91.01","1.003"
"19","Arizona Coyotes","73","3458.45","27","34","12","24","66","0.452","2770","3492","44.24","2067","2641","43.90","1464","1906","43.44","133","154","46.34","126.01","164.43","43.39","1417","1827","43.68","804","1062","43.09","118","134","46.83","14.68","87.38","569","766","42.62","389","536","42.05","73","92","44.24","18.77","82.84","848","1061","44.42","415","526","44.10","45","42","51.72","10.84","92.02","1134","1404","44.68","589","756","43.79","15","20","42.86","2.55","97.35","9.08","91.92","1.010"
"20","Pittsburgh Penguins","72","3467.6667","35","27","10","34","80","0.556","3670","3334","52.40","2726","2473","52.43","1962","1836","51.66","148","155","48.84","179.17","154.34","53.72","1830","1648","52.62","1051","991","51.47","125","131","48.83","11.89","86.78","824","713","53.61","572","530","51.91","87","92","48.60","15.21","82.64","1006","935","51.83","479","461","50.96","38","39","49.35","7.93","91.54","1521","1412","51.86","782","742","51.31","23","24","48.94","2.94","96.77","7.54","91.56","0.991"
"21","New Jersey Devils","72","3533.4833","45","19","8","43","98","0.681","3745","3204","53.89","2746","2320","54.20","1994","1603","55.44","171","132","56.44","183.6","142.53","56.30","1986","1554","56.10","1153","835","58.00","146","113","56.37","12.66","86.47","843","608","58.10","599","391","60.51","99","73","57.56","16.53","81.33","1143","946","54.72","554","444","55.51","47","40","54.02","8.48","90.99","1455","1372","51.47","738","680","52.05","25","19","56.82","3.39","97.21","8.58","91.77","1.003"
"22","Philadelphia Flyers","71","3463.8667","27","32","12","25","66","0.465","3098","3466","47.20","2313","2456","48.50","1671","1730","49.13","132","145","47.65","137.75","154.29","47.17","1447","1725","45.62","843","936","47.39","113","127","47.08","13.40","86.43","633","718","46.85","425","480","46.96","75","79","48.70","17.65","83.54","814","1007","44.70","418","456","47.83","38","48","44.19","9.09","89.47","1357","1462","48.14","719","696","50.81","19","17","52.78","2.64","97.56","7.90","91.62","0.995"
"23","Ottawa Senators","72","3310.5","35","32","5","33","75","0.521","3331","3198","51.02","2463","2332","51.37","1754","1696","50.84","130","158","45.14","153.42","148.4","50.83","1672","1652","50.30","935","924","50.30","117","138","45.88","12.51","85.06","698","663","51.29","478","449","51.56","74","91","44.85","15.48","79.73","974","989","49.62","457","475","49.03","43","47","47.78","9.41","90.11","1338","1273","51.24","697","669","51.02","12","20","37.50","1.72","97.01","7.41","90.68","0.981"
"24","Buffalo Sabres","71","3445.25","34","31","6","33","74","0.521","3267","3056","51.67","2455","2411","50.45","1783","1801","49.75","168","180","48.28","154.27","159.85","49.11","1723","1689","50.50","982","1053","48.26","141","155","47.64","14.36","85.28","666","752","46.97","459","542","45.85","87","100","46.52","18.95","81.55","1057","937","53.01","523","511","50.58","54","55","49.54","10.33","89.24","1327","1151","53.55","707","668","51.42","27","25","51.92","3.82","96.26","9.42","90.01","0.994"
"25","Florida Panthers","72","3333.8167","36","29","7","34","79","0.549","3633","3028","54.54","2721","2347","53.69","1991","1689","54.10","166","143","53.72","174.5","148.77","53.98","1866","1541","54.77","1098","931","54.12","138","117","54.12","12.57","87.43","811","706","53.46","572","494","53.66","98","70","58.33","17.13","85.83","1055","835","55.82","526","437","54.62","40","47","45.98","7.60","89.24","1504","1245","54.71","798","668","54.43","28","26","51.85","3.51","96.11","8.34","91.53","0.999"
"26","New York Islanders","73","3558.1667","37","27","9","37","83","0.568","3405","3523","49.15","2479","2588","48.92","1768","1797","49.59","158","132","54.48","159.02","163.88","49.25","1757","1761","49.94","1001","988","50.33","133","118","52.99","13.29","88.06","756","765","49.70","526","525","50.05","84","78","51.85","15.97","85.14","1001","996","50.13","475","463","50.64","49","40","55.06","10.32","91.36","1372","1481","48.09","675","718","48.46","25","14","64.10","3.70","98.05","8.94","92.65","1.016"
"27","Dallas Stars","72","3467.5667","39","19","14","36","92","0.639","3435","3289","51.09","2471","2452","50.19","1758","1731","50.39","156","134","53.79","157.38","147.56","51.61","1741","1560","52.74","1006","900","52.78","133","115","53.63","13.22","87.22","735","659","52.73","507","463","52.27","90","76","54.22","17.75","83.59","1006","901","52.75","499","437","53.31","43","39","52.44","8.62","91.08","1374","1395","49.62","665","735","47.50","23","19","54.76","3.46","97.41","8.87","92.26","1.011"
"28","Minnesota Wild","72","3438.5","41","22","9","34","91","0.632","3260","3243","50.13","2425","2348","50.81","1681","1690","49.87","127","119","51.63","142.77","139.02","50.67","1528","1508","50.33","853","882","49.16","102","97","51.26","11.96","89.00","630","596","51.39","438","432","50.34","72","63","53.33","16.44","85.42","898","912","49.61","415","450","47.98","30","34","46.88","7.23","92.44","1418","1449","49.46","721","726","49.83","25","22","53.19","3.47","96.97","7.56","92.96","1.005"
"29","Calgary Flames","73","3483.0833","32","26","15","30","79","0.541","3812","2881","56.96","2814","2157","56.61","2016","1513","57.13","159","150","51.46","170.93","139.6","55.04","1810","1531","54.18","1065","911","53.90","134","136","49.63","12.58","85.07","704","633","52.66","505","440","53.44","87","81","51.79","17.23","81.59","1106","898","55.19","560","471","54.32","47","55","46.08","8.39","88.32","1651","1095","60.12","812","511","61.38","25","14","64.10","3.08","97.26","7.89","90.09","0.980"
"30","Detroit Red Wings","71","3388.65","31","31","9","28","71","0.500","2826","3290","46.21","2095","2373","46.89","1509","1669","47.48","125","152","45.13","126.09","145.24","46.47","1342","1673","44.51","759","911","45.45","106","127","45.49","13.97","86.06","547","691","44.18","396","460","46.26","61","72","45.86","15.40","84.35","795","982","44.74","363","451","44.59","45","55","45.00","12.40","87.80","1259","1349","48.27","660","656","50.15","19","25","43.18","2.88","96.19","8.28","90.89","0.992"
"31","Winnipeg Jets","73","3492.15","41","29","3","40","85","0.582","3340","3187","51.17","2485","2408","50.79","1710","1750","49.42","138","136","50.36","158.88","153.46","50.87","1686","1585","51.54","929","952","49.39","114","116","49.57","12.27","87.82","728","676","51.85","475","458","50.91","74","79","48.37","15.58","82.75","958","909","51.31","454","494","47.89","40","37","51.95","8.81","92.51","1378","1330","50.89","699","712","49.54","24","20","54.55","3.43","97.19","8.07","92.23","1.003"
"32","St Louis Blues","71","3491.8167","32","33","6","29","70","0.493","2886","3411","45.83","2195","2549","46.27","1609","1822","46.90","152","171","47.06","136.79","167.36","44.97","1531","1809","45.84","919","1058","46.48","137","147","48.24","14.91","86.11","596","746","44.41","449","523","46.19","76","102","42.70","16.93","80.50","935","1063","46.80","470","535","46.77","61","45","57.55","12.98","91.59","1158","1348","46.21","602","684","46.81","15","24","38.46","2.49","96.49","9.45","90.61","1.001"
