"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"35","Alex Nedeljkovic","DET","1","28.566666666667","12","12","0","1.000","0.00","1.15","0.7","3","3","0","1.000","0.00","0.53","5","5","0","1.000","0.00","0.56","4","4","0","1.000","0.00","0.16","1","0","29.33","-"
"63","Akira Schmid","N.J","2","119.88333333333","60","58","2","0.967","1.00","3.77","5.59","15","13","2","0.867","1.00","0.67","16","16","0","1.000","0.00","1.79","25","25","0","1.000","0.00","1.00","0","10","37.95","16.00"
"31","Tristan Jarry","PIT","5","306.28333333333","158","149","9","0.943","1.76","6.21","11.77","35","30","5","0.857","0.98","1.22","33","29","4","0.879","0.78","-0.30","76","76","0","1.000","0.00","3.05","5","15","40.84","14.67"
"43","Dan Vladar","CGY","3","184.53333333333","105","99","6","0.943","1.95","4.11","9.8","25","23","2","0.920","0.65","2.44","39","36","3","0.923","0.98","1.37","38","37","1","0.974","0.33","0.53","4","20","34.75","27.50"
"57","Daniil Tarasov","CBJ","2","125","86","81","5","0.942","2.40","3.28","7.3","14","10","4","0.714","1.92","-1.51","33","32","1","0.970","0.48","2.70","33","33","0","1.000","0.00","1.32","4","9","40.55","13.80"
"36","Vitek Vanecek","N.J","6","358.35","179","168","11","0.939","1.84","6.23","16.94","43","37","6","0.860","1.00","1.64","50","47","3","0.940","0.50","2.60","78","76","2","0.974","0.33","1.13","7","22","34.42","17.18"
"23","Matt Murray","TOR","6","359.56666666667","211","198","13","0.938","2.17","7.31","18.75","57","49","8","0.860","1.33","2.13","66","61","5","0.924","0.83","2.40","79","79","0","1.000","0.00","3.17","23","40","33.49","15.00"
"46","Karel Vejmelka","ARI","3","182.73333333333","111","104","7","0.937","2.30","3.68","12.25","32","29","3","0.906","0.99","2.69","34","31","3","0.912","0.99","0.81","37","36","1","0.973","0.33","0.49","4","13","37.50","26.86"
"38","Ilya Sorokin","NYI","5","299.66666666667","170","159","11","0.935","2.20","5.36","17.82","50","42","8","0.840","1.60","0.89","43","41","2","0.953","0.40","2.82","68","67","1","0.985","0.20","1.73","5","36","34.73","19.64"
"60","Alexandar Georgiev","COL","4","244.73333333333","121","113","8","0.934","1.96","3.65","10.19","34","30","4","0.882","0.98","2.04","25","22","3","0.880","0.74","-0.20","53","52","1","0.981","0.25","1.13","5","18","35.62","20.13"
