"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"397","Connor McDavid","EDM","C","50","204.31666666667","16","30","20","10","46","85.19","66","24.24","9.86","101","82","76","26","1","6","2","1","1","0","0","2","18","4","4","15","1","9","7","56.25"
"336","Leon Draisaitl","EDM","C","48","197.63333333333","17","19","14","5","36","66.67","64","26.56","9.59","101","85","63","26","0","11","4","2","2","0","0","1","7","4","2","13","1","117","95","55.19"
"190","Ryan Nugent-Hopkins","EDM","C","50","203.33333333333","7","25","8","17","32","59.26","35","20.00","5.24","58","46","43","16","0","5","2","1","1","0","0","1","3","0","4","5","2","6","10","37.50"
"189","Nikita Kucherov","T.B","R","48","199.5","6","23","13","10","29","85.29","47","12.77","5.28","94","70","50","9","7","3","6","3","3","0","0","2","16","4","4","8","1","0","0","-"
"353","David Pastrnak","BOS","R","49","187.83333333333","14","14","10","4","28","77.78","79","17.72","8.3","140","108","57","15","0","11","6","3","3","0","0","1","16","3","1","10","2","1","0","100.00"
"454","Kirill Kaprizov","MIN","L","48","190.15","13","14","12","2","27","77.14","66","19.70","10.47","113","90","78","31","1","12","0","0","0","0","0","4","4","0","2","5","1","0","0","-"
"516","Tage Thompson","BUF","C, R","49","174.1","14","11","5","6","25","71.43","60","23.33","5.14","92","72","43","8","2","3","0","0","0","0","0","1","5","1","1","7","0","12","13","48.00"
"11","Evgeni Malkin","PIT","C","49","197.88333333333","8","16","9","7","24","80.00","46","17.39","7.14","99","66","64","18","2","9","0","0","0","0","0","1","17","3","2","9","0","23","15","60.53"
"468","Matthew Tkachuk","FLA","L","49","207.15","9","15","6","9","24","72.73","57","15.79","11.49","93","79","74","55","3","17","0","0","0","0","0","0","10","1","0","10","0","1","7","12.50"
"572","Jason Robertson","DAL","L","51","159.48333333333","7","17","11","6","24","77.42","60","11.67","7.26","110","78","53","14","1","11","6","3","3","0","0","0","3","1","0","4","1","0","0","-"
"644","Rasmus Dahlin","BUF","D","48","188.51666666667","5","19","11","8","24","66.67","33","15.15","2.75","60","41","18","3","2","3","6","3","3","0","0","1","6","0","4","5","1","0","0","-"
"93","John Tavares","TOR","C","50","184.63333333333","9","14","9","5","23","69.70","67","13.43","13.1","96","88","84","60","1","18","4","2","2","0","0","0","7","0","3","10","0","115","81","58.67"
"433","Mitchell Marner","TOR","R","50","191.76666666667","5","18","3","15","23","67.65","31","16.13","3.37","61","39","27","4","0","7","2","1","1","0","0","0","16","4","1","9","1","0","0","-"
"27","Brad Marchand","BOS","L","41","141.56666666667","7","15","10","5","22","68.75","29","24.14","3.7","54","42","31","5","0","4","4","2","2","0","0","1","13","1","2","5","0","8","5","61.54"
"66","Steven Stamkos","T.B","C","48","198.46666666667","9","13","8","5","22","62.86","67","13.43","8.04","118","90","71","14","9","8","4","2","2","0","0","0","8","1","3","8","0","66","48","57.89"
"108","Tyson Barrie","EDM","D","50","162.21666666667","3","19","7","12","22","53.66","24","12.50","2.12","54","34","11","1","0","6","4","2","2","0","0","1","3","6","2","1","2","0","0","-"
"199","J.T. Miller","VAN","C","49","198.95","8","14","12","2","22","66.67","50","16.00","5.34","97","76","51","13","1","7","6","3","3","0","0","0","10","2","3","5","0","1","3","25.00"
"316","Josh Morrissey","WPG","D","51","174.6","1","21","12","9","22","70.97","13","7.69","1.89","49","28","13","2","1","1","2","1","1","0","0","0","5","1","1","1","5","0","0","-"
"406","Mikko Rantanen","COL","R","48","208.38333333333","7","15","13","2","22","62.86","42","16.67","6.13","74","60","38","10","2","5","2","1","1","0","0","1","5","2","2","12","0","18","39","31.58"
"628","Quinn Hughes","VAN","D","45","184.65","2","20","9","11","22","78.57","29","6.90","2","66","40","18","3","0","4","4","2","2","0","0","0","4","3","0","5","2","0","0","-"
"194","Mika Zibanejad","NYR","C","49","195.88333333333","13","8","5","3","21","75.00","67","19.40","8.23","122","96","50","11","0","6","2","1","1","0","0","1","7","1","1","2","0","8","10","44.44"
"306","Aleksander Barkov","FLA","C","42","175.03333333333","7","14","7","7","21","70.00","35","20.00","3.85","64","48","33","8","1","6","0","0","0","0","0","1","5","3","1","9","0","110","71","60.77"
"585","Cale Makar","COL","D","44","184.75","5","16","10","6","21","72.41","32","15.63","3.13","76","50","28","1","0","7","4","2","2","0","0","0","6","2","2","3","3","0","0","-"
"603","Drake Batherson","OTT","R","49","189.21666666667","11","10","6","4","21","63.64","36","30.56","8.83","72","57","61","34","0","9","4","2","2","0","0","0","7","3","3","12","1","0","1","0.00"
"127","Mats Zuccarello","MIN","R","46","179.43333333333","7","13","6","7","20","60.61","38","18.42","3.24","71","52","26","5","0","9","2","1","1","0","0","2","5","1","3","2","1","0","0","-"
"196","Dougie Hamilton","N.J","D","49","159.41666666667","5","15","9","6","20","76.92","34","14.71","2.83","76","45","31","3","4","9","2","1","1","0","0","0","4","0","1","1","3","0","0","-"
"393","Kyle Connor","WPG","L","51","174.36666666667","6","14","9","5","20","62.50","50","12.00","5.69","98","71","59","11","2","10","0","0","0","0","0","1","7","1","0","4","0","0","0","-"
"480","Alex DeBrincat","OTT","R","49","206.9","6","14","9","5","20","58.82","51","11.76","6.83","95","65","64","9","1","10","0","0","0","0","0","1","2","4","2","5","1","0","0","-"
"629","Brady Tkachuk","OTT","L","49","207.5","5","15","10","5","20","55.56","57","8.77","12.31","86","79","74","55","0","12","11","4","3","1","0","4","9","0","5","5","2","93","103","47.45"
"147","Zach Hyman","EDM","L","49","170.31666666667","13","6","1","5","19","44.19","43","30.23","9.62","61","57","61","49","1","5","4","2","2","0","0","1","4","0","0","7","0","0","0","-"
"305","Nathan MacKinnon","COL","C","37","159.5","4","15","7","8","19","61.29","61","6.56","6.48","100","82","49","9","1","6","4","2","2","0","0","1","3","1","2","4","0","28","45","38.36"
"339","William Nylander","TOR","R","50","192.01666666667","7","12","11","1","19","54.29","44","15.91","7.21","76","62","53","21","1","7","0","0","0","0","0","0","4","0","0","10","2","1","3","25.00"
"444","Artemi Panarin","NYR","L","49","196.8","2","17","12","5","19","67.86","38","5.26","4.78","94","67","48","5","0","8","6","3","3","0","0","1","7","0","2","1","0","0","0","-"
"708","Jack Hughes","N.J","C","49","158.46666666667","6","13","6","7","19","73.08","54","11.11","6.68","90","67","53","9","2","4","0","0","0","0","0","4","15","0","1","12","0","4","5","44.44"
"10","Alex Ovechkin","WSH","L","50","251.36666666667","10","8","4","4","18","58.06","70","14.29","7.45","154","104","50","7","0","8","4","2","2","0","0","1","4","7","5","5","0","0","0","-"
"35","Claude Giroux","OTT","R","49","141.18333333333","5","13","6","7","18","72.00","24","20.83","2.94","54","39","20","7","1","6","0","0","0","0","0","0","1","0","1","2","0","44","33","57.14"
"42","Jamie Benn","DAL","L","51","139.8","10","8","5","3","18","60.00","40","25.00","8.05","55","50","48","30","0","4","2","1","1","0","0","0","7","4","4","6","0","62","54","53.45"
"74","Roman Josi","NSH","D","48","168.01666666667","6","12","4","8","18","85.71","54","11.11","4.11","90","66","23","4","0","10","2","1","1","0","0","1","2","1","4","2","6","0","0","-"
"313","Bo Horvat","VAN","C","49","192.55","11","7","2","5","18","58.06","50","22.00","7.82","75","65","68","28","0","7","0","0","0","0","0","0","0","1","2","3","0","138","73","65.40"
"342","Kevin Fiala","L.A","L","52","159.36666666667","6","12","8","4","18","90.00","41","14.63","6","79","54","50","18","3","4","6","3","3","0","0","1","5","0","3","8","1","0","0","-"
"360","Brandon Montour","FLA","D","50","215.63333333333","3","15","8","7","18","50.00","34","8.82","3.27","68","51","26","5","0","3","8","4","4","0","0","1","1","0","1","1","3","0","0","-"
"471","Auston Matthews","TOR","C","47","180.83333333333","10","8","4","4","18","56.25","60","16.67","8.06","107","83","71","21","0","6","4","2","2","0","0","0","8","2","7","7","1","6","8","42.86"
"510","Pierre-Luc Dubois","WPG","L","51","173.05","8","10","5","5","18","62.07","53","15.09","10.48","76","67","59","37","0","12","8","4","4","0","0","4","3","2","0","10","1","39","37","51.32"
"576","Miro Heiskanen","DAL","D","48","144.5","1","17","10","7","18","60.00","23","4.35","1.71","62","29","24","1","0","13","0","0","0","0","0","0","3","3","0","1","2","0","0","-"
"707","Matt Boldy","MIN","L","48","186.33333333333","7","11","6","5","18","51.43","49","14.29","7.01","89","72","53","16","0","8","0","0","0","0","0","1","3","1","0","5","1","4","6","40.00"
"746","Tim Stützle","OTT","L","45","172.73333333333","7","11","3","8","18","75.00","33","21.21","4.71","68","51","37","9","0","8","0","0","0","0","0","0","9","1","3","9","1","1","2","33.33"
"17","Sidney Crosby","PIT","C","49","192.71666666667","5","12","7","5","17","60.71","38","13.16","5.7","69","46","52","23","1","9","2","1","1","0","0","2","7","4","0","4","1","100","82","54.95"
"71","Erik Karlsson","S.J","D","51","167.75","3","14","5","9","17","68.00","22","13.64","2","62","32","23","2","4","4","0","0","0","0","0","0","5","2","0","4","1","0","0","-"
"279","Pavel Buchnevich","STL","L","38","117.15","7","10","5","5","17","70.83","13","53.85","2.97","29","24","22","11","0","2","0","0","0","0","0","0","4","0","2","3","0","2","3","40.00"
"335","Sam Reinhart","FLA","C","52","212","8","9","7","2","17","50.00","44","18.18","9.28","74","63","62","40","1","8","2","1","1","0","0","0","7","0","1","13","1","12","24","33.33"
"365","Brayden Point","T.B","C","48","187.08333333333","9","8","3","5","17","54.84","38","23.68","7.39","64","54","61","37","5","6","0","0","0","0","0","1","4","5","2","8","0","38","36","51.35"
"504","Jordan Kyrou","STL","C","47","133.83333333333","9","8","4","4","17","80.95","32","28.13","3.47","57","41","44","6","0","2","0","0","0","0","0","0","3","0","0","6","0","0","0","-"
"512","Jesper Bratt","N.J","L","49","145.41666666667","6","11","5","6","17","70.83","28","21.43","3.87","49","40","32","7","2","1","2","1","1","0","0","0","5","0","0","6","1","0","0","-"
"659","Calen Addison","MIN","D","47","176.5","0","17","8","9","17","51.52","19","0.00","1.24","34","24","4","0","0","2","0","0","0","0","0","1","3","2","1","1","2","0","0","-"
"8","Joe Pavelski","DAL","C","51","148.18333333333","7","9","1","8","16","53.33","38","18.42","6.7","55","50","43","30","1","9","4","2","2","0","0","2","3","1","1","2","2","38","28","57.58"
"54","Patrick Kane","CHI","R","45","162.5","2","14","6","8","16","69.57","51","3.92","4.13","78","62","25","5","0","2","4","2","2","0","0","0","5","3","0","1","1","0","0","-"
"132","Evgeny Kuznetsov","WSH","C","50","160.53333333333","4","12","4","8","16","80.00","35","11.43","4.35","64","52","30","10","0","5","2","1","1","0","0","1","10","3","1","7","0","23","21","52.27"
"300","Artturi Lehkonen","COL","L","45","179.46666666667","7","9","0","9","16","50.00","25","28.00","4.76","48","39","37","21","0","5","2","1","1","0","0","2","1","0","7","6","0","0","0","-"
"403","Timo Meier","S.J","R","51","152.86666666667","12","4","3","1","16","69.57","56","21.43","6.38","85","72","46","17","1","11","0","0","0","0","0","0","3","2","2","5","0","1","0","100.00"
"418","Mathew Barzal","NYI","C","51","178.83333333333","3","13","5","8","16","84.21","34","8.82","3.56","56","43","36","5","0","8","4","2","2","0","0","1","20","4","1","2","0","5","4","55.56"
"420","Roope Hintz","DAL","C","43","118.45","5","11","4","7","16","53.33","21","23.81","3.4","39","28","33","16","2","3","2","1","1","0","0","1","4","0","2","1","1","9","7","56.25"
"434","Joel Eriksson Ek","MIN","C","48","175.01666666667","8","8","3","5","16","48.48","51","15.69","11.46","68","67","65","52","0","13","12","6","6","0","0","4","2","2","8","12","0","109","84","56.48"
"474","Adam Fox","NYR","D","49","192.06666666667","1","15","4","11","16","57.14","28","3.57","2.73","72","45","30","4","1","4","2","1","1","0","0","1","4","5","0","4","4","0","0","-"
"476","Charlie McAvoy","BOS","D","36","96.516666666667","1","15","4","11","16","84.21","5","20.00","0.49","13","8","3","0","0","1","2","1","1","0","0","2","4","1","1","6","1","0","0","-"
"65","Drew Doughty","L.A","D","51","163.21666666667","2","13","6","7","15","68.18","31","6.45","2.77","55","39","19","3","4","4","8","4","4","0","0","0","2","0","8","4","2","0","0","-"
"99","Nazem Kadri","CGY","C","50","157.86666666667","9","6","2","4","15","62.50","43","20.93","6.4","70","58","50","22","0","9","4","2","2","0","0","1","7","0","2","12","0","68","40","62.96"
"131","Tyler Toffoli","CGY","R","50","154.66666666667","6","9","6","3","15","60.00","37","16.22","5.53","73","53","43","17","1","4","2","1","1","0","0","1","5","0","2","7","1","0","0","-"
"141","Kevin Hayes","PHI","C","50","156.15","6","9","4","5","15","78.95","24","25.00","2.73","59","38","16","3","0","5","0","0","0","0","0","0","4","1","1","3","0","35","34","50.72"
"195","Mark Scheifele","WPG","C","51","172.1","9","6","3","3","15","48.39","38","23.68","7.14","67","59","51","27","1","7","2","1","1","0","0","1","4","2","2","5","0","52","71","42.28"
"268","Dominik Kubalik","DET","L","48","144.76666666667","7","8","6","2","15","78.95","39","17.95","4.93","75","56","32","4","0","2","4","2","2","0","0","2","2","1","1","2","1","5","6","45.45"
"348","Tony DeAngelo","PHI","D","46","157.4","3","12","5","7","15","75.00","28","10.71","1.84","49","33","13","2","0","3","0","0","0","0","0","1","5","3","2","3","0","0","0","-"
"513","Mikhail Sergachev","T.B","D","46","108.83333333333","2","13","5","8","15","88.24","10","20.00","0.7","23","14","9","1","0","3","2","1","1","0","0","0","3","5","1","1","3","0","0","-"
"5","Brent Burns","CAR","D","48","167.13333333333","2","12","5","7","14","66.67","35","5.71","2.9","78","50","18","1","1","2","4","2","2","0","0","0","4","5","0","3","5","0","0","-"
"146","Jeff Skinner","BUF","L","46","159.95","6","8","5","3","14","51.85","31","19.35","5.89","56","43","36","19","1","6","4","2","2","0","0","1","3","0","0","6","0","22","24","47.83"
"170","Johnny Gaudreau","CBJ","L","50","148.75","1","13","9","4","14","77.78","34","2.94","4.71","61","48","34","12","1","6","8","4","4","0","0","1","7","3","0","1","1","0","0","-"
"289","Andre Burakovsky","SEA","L","48","127.2","4","10","4","6","14","73.68","22","18.18","2.04","55","36","19","1","0","1","0","0","0","0","0","1","3","2","0","3","1","0","0","-"
"309","Elias Lindholm","CGY","C","49","151.06666666667","7","7","4","3","14","63.64","38","18.42","7","56","48","43","22","1","7","0","0","0","0","0","0","0","1","3","4","1","51","46","52.58"
"315","Max Domi","CHI","C","48","156.13333333333","7","7","2","5","14","60.87","40","17.50","3.37","73","48","25","7","0","3","6","3","3","0","0","1","6","4","1","1","0","20","16","55.56"
"344","Dylan Larkin","DET","C","47","169","7","7","2","5","14","58.33","43","16.28","7.36","74","58","61","28","1","8","2","1","1","0","0","3","5","3","0","4","1","89","69","56.33"
"347","Alex Tuch","BUF","R","49","171.01666666667","5","9","6","3","14","43.75","21","23.81","3.53","30","27","23","15","0","5","2","1","1","0","0","2","0","3","0","4","1","1","3","25.00"
"392","Rasmus Andersson","CGY","D","50","155.73333333333","0","14","7","7","14","58.33","24","0.00","1.69","55","33","12","0","0","8","2","1","1","0","0","1","3","2","3","3","3","0","0","-"
"415","Dylan Strome","WSH","C","50","174.73333333333","3","11","8","3","14","53.85","23","13.04","4.89","37","32","28","20","0","6","4","2","2","0","0","0","7","1","1","4","0","66","69","48.89"
"559","Nico Hischier","N.J","C","48","152.18333333333","6","8","5","3","14","53.85","34","17.65","5.98","59","48","44","26","0","8","2","1","1","0","0","1","2","0","1","4","1","113","76","59.79"
"565","Elias Pettersson","VAN","C","47","181.18333333333","1","13","7","6","14","46.67","41","2.44","4.72","103","67","51","7","0","5","2","1","1","0","0","0","5","2","2","4","1","2","1","66.67"
"570","Robert Thomas","STL","C","48","143.73333333333","3","11","6","5","14","58.33","20","15.00","2.32","34","26","20","7","0","0","2","1","1","0","0","0","10","1","1","5","0","64","48","57.14"
"578","Martin Necas","CAR","C","48","165.13333333333","6","8","6","2","14","60.87","29","20.69","3.38","59","45","25","4","1","3","2","1","1","0","0","2","9","1","1","7","0","27","24","52.94"
"695","Dylan Cozens","BUF","C","48","143.9","3","11","4","7","14","58.33","25","12.00","3.14","51","35","25","6","0","3","2","1","1","0","0","0","3","0","0","5","0","60","45","57.14"
"734","Lucas Raymond","DET","L","48","139.13333333333","5","9","2","7","14","77.78","18","27.78","2.89","31","22","18","7","0","9","2","1","1","0","0","1","2","1","2","11","0","1","2","33.33"
"7","Patrice Bergeron","BOS","C","49","168.21666666667","6","7","4","3","13","37.14","42","14.29","8.29","86","60","69","34","1","10","4","2","2","0","0","1","2","0","1","3","3","134","84","61.47"
"50","Logan Couture","S.J","C","51","150.08333333333","3","10","6","4","13","54.17","37","8.11","6.83","63","52","49","26","5","6","2","1","1","0","0","0","3","1","2","3","0","22","17","56.41"
"173","Vincent Trocheck","NYR","C","49","191","8","5","1","4","13","46.43","55","14.55","10.25","94","75","78","41","0","10","0","0","0","0","0","0","8","4","1","10","0","115","79","59.28"
"208","Jonathan Marchessault","VGK","C, R","45","114.31666666667","7","6","2","4","13","65.00","36","19.44","4.06","62","47","34","6","0","7","0","0","0","0","0","0","2","0","6","2","0","0","1","0.00"
"231","Filip Forsberg","NSH","L","48","151.81666666667","4","9","4","5","13","61.90","39","10.26","5.85","94","65","49","16","0","6","6","3","3","0","0","1","6","2","3","2","0","0","0","-"
"414","Travis Konecny","PHI","R","45","142.91666666667","5","8","6","2","13","68.42","25","20.00","4.88","56","43","27","7","0","4","2","1","1","0","0","1","2","0","1","10","1","2","3","40.00"
"429","Thomas Chabot","OTT","D","44","178.93333333333","5","8","3","5","13","41.94","26","19.23","2.31","49","37","13","0","0","5","4","2","2","0","0","0","8","3","2","3","3","0","0","-"
"517","Filip Hronek","DET","D","48","117.96666666667","3","10","6","4","13","68.42","20","15.00","1.61","41","27","9","1","0","5","0","0","0","0","0","0","1","1","3","0","3","0","0","-"
"692","Kirby Dach","MTL","C","50","166.68333333333","4","9","5","4","13","76.47","10","40.00","1.43","21","13","15","4","0","0","6","3","3","0","0","1","2","0","1","7","2","2","5","28.57"
"203","Stefan Noesen","CAR","R","45","131.45","6","6","2","4","12","60.00","30","20.00","7.27","47","41","41","33","0","7","4","2","2","0","0","1","5","0","5","2","0","12","12","50.00"
"204","Phillip Danault","L.A","C","52","113.65","3","9","3","6","12","60.00","11","27.27","1.17","21","15","11","4","0","0","10","1","0","0","1","0","4","3","1","5","0","59","35","62.77"
"206","Rickard Rakell","PIT","R","49","144.33333333333","8","4","3","1","12","52.17","35","22.86","7.38","62","51","44","30","0","6","6","3","3","0","0","0","4","0","4","11","1","3","1","75.00"
"228","Tomas Hertl","S.J","C","49","142.21666666667","4","8","2","6","12","52.17","26","15.38","5.3","45","39","35","20","0","4","2","1","1","0","0","0","1","1","1","6","0","76","60","55.88"
"237","Chandler Stephenson","VGK","C","51","131.46666666667","5","7","4","3","12","57.14","18","27.78","4","29","27","25","17","1","5","0","0","0","0","0","0","3","0","3","9","1","100","55","64.52"
"334","Aaron Ekblad","FLA","D","41","144.95","4","8","4","4","12","48.00","35","11.43","4.21","72","49","29","10","0","11","0","0","0","0","0","0","7","0","4","4","1","0","0","-"
"371","Viktor Arvidsson","L.A","L, R","47","108.5","4","8","7","1","12","60.00","28","14.29","4.16","41","34","24","15","0","3","0","0","0","0","0","0","4","0","1","9","0","4","8","33.33"
"557","Casey Mittelstadt","BUF","C","49","110.06666666667","4","8","4","4","12","66.67","15","26.67","2.22","26","19","18","7","0","1","4","2","2","0","0","0","6","0","1","6","0","50","36","58.14"
"614","Sean Durzi","L.A","D","49","113.06666666667","1","11","3","8","12","63.16","13","7.69","1.07","46","24","21","1","0","2","6","3","3","0","0","0","2","0","2","0","3","0","0","-"
"640","Andrei Svechnikov","CAR","R","48","163.03333333333","4","8","3","5","12","54.55","39","10.26","6.18","80","66","51","15","0","9","6","3","3","0","0","2","10","1","2","11","0","0","0","-"
"697","Trevor Zegras","ANA","C","50","153.33333333333","3","9","5","4","12","60.00","24","12.50","2.17","46","30","23","1","0","1","18","5","4","0","1","2","9","0","3","5","0","4","1","80.00"
"6","Corey Perry","T.B","R","48","93.216666666667","5","6","3","3","11","50.00","19","26.32","2.92","23","22","21","15","0","2","6","3","3","0","0","2","2","1","2","8","0","0","0","-"
"40","Jonathan Toews","CHI","C","46","140.48333333333","8","3","3","0","11","57.89","27","29.63","4.43","35","34","28","20","0","0","0","0","0","0","0","0","8","1","0","3","0","116","45","72.05"
"67","Alex Pietrangelo","VGK","D","42","116.7","1","10","5","5","11","64.71","13","7.69","1.2","30","22","10","0","0","1","2","1","1","0","0","0","0","2","1","4","4","0","0","-"
"89","Marcus Johansson","WSH","L","51","143.85","4","7","3","4","11","61.11","19","21.05","3.48","25","21","23","18","0","3","0","0","0","0","0","0","3","2","4","10","0","2","5","28.57"
"138","Brock Nelson","NYI","C","52","163.48333333333","3","8","6","2","11","68.75","45","6.67","4.63","84","60","47","8","1","4","2","1","1","0","0","1","4","3","3","3","1","50","37","57.47"
"142","Cam Fowler","ANA","D","50","130.16666666667","4","7","2","5","11","68.75","23","17.39","1.61","54","28","18","2","0","4","0","0","0","0","0","0","3","4","0","0","2","0","0","-"
"191","Jonathan Huberdeau","CGY","C","47","143.15","3","8","4","4","11","50.00","25","12.00","3.54","44","35","23","11","0","0","2","1","1","0","0","0","8","3","2","4","0","0","0","-"
"280","Jake Guentzel","PIT","L","45","170.25","5","6","4","2","11","42.31","42","11.90","6.55","66","53","54","29","0","10","2","1","1","0","0","2","5","3","3","8","0","2","0","100.00"
