"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","San Jose Sharks","70","3388.6333","19","37","14","18","52","0.371","3205","3260","49.57","2334","2394","49.37","1654","1707","49.21","143","180","44.27","162.47","147.86","52.35","1814","1685","51.84","1027","955","51.82","121","163","42.61","11.78","82.93","812","654","55.39","536","446","54.58","78","87","47.27","14.55","80.49","1002","1031","49.29","491","509","49.10","43","76","36.13","8.76","85.07","1165","1342","46.47","560","665","45.71","22","17","56.41","3.93","97.44","8.65","89.46","0.981"
"2","Nashville Predators","68","3228.9833","34","26","8","30","76","0.559","3078","3253","48.62","2236","2407","48.16","1570","1713","47.82","124","125","49.80","145.71","152.64","48.84","1584","1686","48.44","866","966","47.27","102","110","48.11","11.78","88.61","653","675","49.17","440","470","48.35","72","69","51.06","16.36","85.32","931","1011","47.94","426","496","46.20","30","41","42.25","7.04","91.73","1277","1328","49.02","636","656","49.23","22","15","59.46","3.46","97.71","7.90","92.70","1.006"
"3","Tampa Bay Lightning","71","3391.95","42","23","6","39","90","0.634","3305","3094","51.65","2478","2317","51.68","1735","1706","50.42","153","137","52.76","162.66","147.29","52.48","1858","1604","53.67","1044","937","52.70","132","114","53.66","12.64","87.83","816","660","55.28","538","483","52.69","95","66","59.01","17.66","86.34","1042","944","52.47","506","454","52.71","37","48","43.53","7.31","89.43","1268","1287","49.63","630","698","47.44","20","23","46.51","3.17","96.70","8.82","91.97","1.008"
"4","New York Rangers","70","3411.2667","41","19","10","37","92","0.657","3156","3104","50.42","2331","2259","50.78","1678","1627","50.77","152","131","53.71","144.46","147.26","49.52","1603","1632","49.55","870","913","48.79","125","104","54.59","14.37","88.61","660","696","48.67","442","480","47.94","83","68","54.97","18.78","85.83","943","936","50.19","428","433","49.71","42","36","53.85","9.81","91.69","1322","1217","52.07","736","634","53.72","27","27","50.00","3.67","95.74","9.06","91.95","1.010"
"5","Vegas Golden Knights","70","3516.2","43","21","6","39","92","0.657","3307","3510","48.51","2409","2467","49.41","1763","1743","50.29","156","141","52.53","153.81","147.93","50.97","1632","1706","48.89","969","914","51.46","138","118","53.91","14.24","87.09","714","634","52.97","512","441","53.73","87","72","54.72","16.99","83.67","918","1072","46.13","457","473","49.14","51","46","52.58","11.16","90.27","1350","1525","46.96","687","743","48.04","18","22","45.00","2.62","97.04","8.85","91.91","1.008"
"6","Los Angeles Kings","70","3343.4333","40","20","10","34","90","0.643","3308","3012","52.34","2477","2124","53.84","1783","1468","54.84","148","141","51.21","153.49","134.34","53.33","1732","1542","52.90","1004","816","55.16","131","116","53.04","13.05","85.78","736","622","54.20","517","407","55.95","79","76","50.97","15.28","81.33","996","920","51.98","487","409","54.35","52","40","56.52","10.68","90.22","1354","1211","52.79","716","567","55.81","17","25","40.48","2.37","95.59","8.30","90.40","0.987"
"7","Boston Bruins","69","3257.8167","53","11","5","51","111","0.804","3080","2962","50.98","2331","2166","51.83","1722","1561","52.45","173","95","64.55","149.64","130.85","53.35","1691","1502","52.96","1005","822","55.01","147","80","64.76","14.63","90.27","695","604","53.50","508","427","54.33","93","49","65.49","18.31","88.52","996","898","52.59","497","395","55.72","54","31","63.53","10.87","92.15","1228","1237","49.82","645","634","50.43","26","15","63.41","4.03","97.63","10.05","93.91","1.040"
"8","Washington Capitals","71","3434.3833","33","31","7","31","73","0.514","3350","3262","50.67","2436","2416","50.21","1750","1701","50.71","148","155","48.84","153.76","151.63","50.35","1648","1637","50.17","947","935","50.32","134","128","51.15","14.15","86.31","687","678","50.33","483","461","51.17","85","83","50.60","17.60","82.00","961","959","50.05","464","474","49.47","49","45","52.13","10.56","90.51","1395","1357","50.69","687","676","50.40","14","27","34.15","2.04","96.01","8.46","90.89","0.993"
"9","Columbus Blue Jackets","69","3386.1167","21","41","7","20","49","0.355","3061","3653","45.59","2238","2686","45.45","1592","1939","45.09","122","183","40.00","136.14","164.31","45.31","1473","1789","45.16","858","1013","45.86","100","151","39.84","11.66","85.09","572","730","43.93","396","501","44.15","56","95","37.09","14.14","81.04","901","1059","45.97","462","512","47.43","44","56","44.00","9.52","89.06","1309","1585","45.23","652","842","43.64","22","32","40.74","3.37","96.20","7.66","90.56","0.982"
"10","Carolina Hurricanes","68","3256.9333","45","15","8","41","98","0.721","3666","2403","60.41","2742","1842","59.82","1846","1330","58.12","147","113","56.54","172.89","114.77","60.10","1797","1181","60.34","997","721","58.03","127","98","56.44","12.74","86.41","804","561","58.90","547","392","58.25","87","62","58.39","15.90","84.18","993","620","61.56","450","329","57.77","40","36","52.63","8.89","89.06","1572","961","62.06","789","500","61.21","20","15","57.14","2.53","97.00","7.96","91.50","0.995"
