"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"19","Keith Kinkaid","BOS","1","59.9","31","30","1","0.968","1.00","1.91","2.92","9","8","1","0.889","1.00","0.54","9","9","0","1.000","0.00","1.00","11","11","0","1.000","0.00","0.45","0","5","37.65","8.00"
"62","Pavel Francouz","COL","2","121.83333333333","73","70","3","0.959","1.48","3.85","7.36","18","16","2","0.889","0.98","1.07","22","21","1","0.955","0.49","1.45","32","32","0","1.000","0.00","1.30","2","14","34.41","20.00"
"66","Pyotr Kochetkov","CAR","2","119.95","49","47","2","0.959","1.00","2.60","5.95","23","21","2","0.913","1.00","1.92","6","6","0","1.000","0.00","0.67","18","18","0","1.000","0.00","0.73","2","8","33.45","11.00"
"11","Martin Jones","SEA","6","362.36666666667","165","156","9","0.945","1.49","6.48","17.82","40","36","4","0.900","0.66","2.82","51","47","4","0.922","0.66","1.68","62","61","1","0.984","0.17","1.51","9","28","37.11","20.00"
"28","Linus Ullmark","BOS","6","357.78333333333","161","152","9","0.944","1.51","6.10","12.5","42","38","4","0.905","0.67","3.16","33","31","2","0.939","0.34","1.67","74","71","3","0.959","0.50","0.00","7","17","38.04","25.56"
"27","Connor Hellebuyck","WPG","5","299.96666666667","140","132","8","0.943","1.60","5.13","12.07","36","29","7","0.806","1.40","-0.86","33","33","0","1.000","0.00","3.67","57","56","1","0.982","0.20","1.31","11","16","39.53","19.00"
"65","Spencer Knight","FLA","4","216.6","123","116","7","0.943","1.94","4.54","11.21","39","37","2","0.949","0.55","4.65","30","28","2","0.933","0.55","1.34","51","48","3","0.941","0.83","-0.94","6","22","32.66","28.71"
"2","Marc-Andre Fleury","MIN","4","235.9","106","99","7","0.934","1.78","2.94","9.44","26","22","4","0.846","1.02","0.43","32","30","2","0.938","0.51","1.56","44","43","1","0.977","0.25","0.78","12","10","32.54","16.29"
"8","Semyon Varlamov","NYI","3","168.3","102","95","7","0.931","2.50","2.57","10.59","27","24","3","0.889","1.07","1.61","23","22","1","0.957","0.36","1.56","45","42","3","0.933","1.07","-1.18","7","13","35.41","17.00"
"61","Alexandar Georgiev","COL","4","238.16666666667","145","135","10","0.931","2.52","3.60","11.77","39","34","5","0.872","1.26","1.65","32","31","1","0.969","0.25","2.56","67","63","4","0.940","1.01","-1.29","9","21","34.86","21.40"
"24","Matt Murray","TOR","2","120.06666666667","70","65","5","0.929","2.50","1.57","6.76","21","18","3","0.857","1.50","0.58","26","24","2","0.923","1.00","0.89","21","21","0","1.000","0.00","0.85","10","17","31.30","16.60"
"47","Ilya Samsonov","TOR","1","40","14","13","1","0.929","1.50","0.31","0.57","3","2","1","0.667","1.50","-0.49","1","1","0","1.000","0.00","0.11","7","7","0","1.000","0.00","0.28","1","1","48.93","13.00"
