"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"397","Connor McDavid","EDM","C","54","223.2","16","32","20","12","48","84.21","72","22.22","10.49","111","88","81","28","1","6","2","1","1","0","0","3","19","4","4","16","1","11","7","61.11"
"336","Leon Draisaitl","EDM","C","52","216.65","18","20","15","5","38","66.67","70","25.71","10.69","110","93","66","28","0","11","6","3","3","0","0","1","7","4","2","13","1","127","101","55.70"
"190","Ryan Nugent-Hopkins","EDM","C","54","220.7","9","25","8","17","34","59.65","41","21.95","5.78","67","53","50","18","0","5","2","1","1","0","0","1","3","0","4","6","2","6","10","37.50"
"189","Nikita Kucherov","T.B","R","52","212.98333333333","6","25","15","10","31","86.11","50","12.00","5.71","104","75","56","11","7","5","6","3","3","0","0","2","16","4","5","8","1","0","0","-"
"454","Kirill Kaprizov","MIN","L","52","203.43333333333","14","15","13","2","29","76.32","68","20.59","10.99","118","93","81","32","1","12","0","0","0","0","0","4","4","0","2","5","1","0","0","-"
"353","David Pastrnak","BOS","R","52","200.35","14","14","10","4","28","77.78","83","16.87","8.55","146","112","60","16","0","12","6","3","3","0","0","1","17","3","1","11","2","1","0","100.00"
"433","Mitchell Marner","TOR","R","54","202.38333333333","6","21","5","16","27","71.05","33","18.18","3.53","66","41","30","4","0","7","2","1","1","0","0","0","16","4","1","9","1","0","0","-"
"516","Tage Thompson","BUF","C, R","51","178.9","15","11","5","6","26","72.22","61","24.59","5.3","97","74","45","8","2","4","0","0","0","0","0","1","5","1","1","7","0","12","13","48.00"
"93","John Tavares","TOR","C","54","194.7","10","15","10","5","25","67.57","69","14.49","13.33","99","90","86","62","1","19","4","2","2","0","0","0","8","0","3","10","0","123","86","58.85"
"468","Matthew Tkachuk","FLA","L","52","219.4","10","15","6","9","25","73.53","64","15.63","12.96","100","86","80","60","3","19","0","0","0","0","0","0","10","1","0","10","0","1","7","12.50"
"629","Quinn Hughes","VAN","D","49","195.11666666667","2","23","10","13","25","80.65","33","6.06","2.24","72","45","19","3","0","4","4","2","2","0","0","0","4","4","0","5","2","0","0","-"
"645","Rasmus Dahlin","BUF","D","50","195.81666666667","5","20","12","8","25","67.57","33","15.15","2.83","63","43","19","3","2","3","6","3","3","0","0","1","6","0","4","5","1","0","0","-"
"11","Evgeni Malkin","PIT","C","52","211.21666666667","8","16","9","7","24","80.00","47","17.02","7.34","103","69","68","18","2","9","0","0","0","0","0","1","17","3","2","9","0","24","18","57.14"
"194","Mika Zibanejad","NYR","C","53","205.25","16","8","5","3","24","77.42","73","21.92","9.76","132","106","56","14","0","8","2","1","1","0","0","1","7","1","1","2","0","11","12","47.83"
"573","Jason Robertson","DAL","L","54","170.93333333333","7","17","11","6","24","77.42","66","10.61","7.85","120","86","55","14","1","12","6","3","3","0","0","0","5","2","0","4","1","0","0","-"
"108","Tyson Barrie","EDM","D","54","176.08333333333","3","20","8","12","23","53.49","24","12.50","2.16","58","35","13","1","0","6","6","3","3","0","0","1","3","6","2","1","2","0","0","-"
"196","Dougie Hamilton","N.J","D","52","169.45","7","16","9","7","23","79.31","38","18.42","3.29","83","52","34","3","4","9","2","1","1","0","0","0","4","0","1","1","3","0","0","-"
"199","J.T. Miller","VAN","C","53","209.55","8","15","13","2","23","63.89","53","15.09","5.91","103","81","54","16","1","9","6","3","3","0","0","0","10","2","3","5","0","12","5","70.59"
"316","Josh Morrissey","WPG","D","53","185.3","1","22","12","10","23","71.88","14","7.14","1.93","53","29","13","2","1","1","2","1","1","0","0","0","5","2","2","1","5","0","0","-"
"406","Mikko Rantanen","COL","R","51","222.4","7","16","14","2","23","63.89","46","15.22","6.75","82","67","43","13","2","5","2","1","1","0","0","1","5","2","2","12","0","25","43","36.76"
"27","Brad Marchand","BOS","L","44","153.95","7","15","10","5","22","68.75","32","21.88","4.48","57","45","34","8","0","5","6","3","3","0","0","2","14","1","2","6","0","8","5","61.54"
"66","Steven Stamkos","T.B","C","52","212.46666666667","9","13","8","5","22","59.46","69","13.04","8.63","123","94","75","16","10","8","4","2","2","0","0","0","8","1","4","8","0","71","53","57.26"
