"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"64","Kevin Lankinen","NSH","2","124.85","58","56","2","0.966","0.96","3.83","6.42","21","20","1","0.952","0.48","3.04","14","13","1","0.929","0.48","0.45","23","23","0","1.000","0.00","0.91","7","11","27.71","20.50"
"51","Joseph Woll","TOR","1","60","26","25","1","0.962","1.00","1.61","3.27","11","10","1","0.909","1.00","1.12","8","8","0","1.000","0.00","0.83","7","7","0","1.000","0.00","0.28","1","5","23.73","13.00"
"65","Ivan Prosvetov","ARI","2","119.61666666667","71","68","3","0.958","1.50","4.14","8.84","21","19","2","0.905","1.00","2.04","22","21","1","0.955","0.50","1.28","28","28","0","1.000","0.00","1.11","4","17","31.66","10.33"
"7","Alex Stalock","CHI","4","208.81666666667","138","130","8","0.942","2.30","5.88","11.29","37","34","3","0.919","0.86","4.12","34","34","0","1.000","0.00","3.52","62","57","5","0.919","1.44","-2.54","7","20","33.71","32.38"
"34","Pheonix Copley","L.A","4","244.31666666667","103","97","6","0.942","1.47","4.36","9.79","19","17","2","0.895","0.49","1.66","33","30","3","0.909","0.74","0.42","44","43","1","0.977","0.25","0.74","6","12","37.51","31.17"
"49","Casey DeSmith","PIT","4","198.41666666667","103","97","6","0.942","1.81","4.36","10.05","26","24","2","0.923","0.60","3.00","29","26","3","0.897","0.91","0.00","44","43","1","0.977","0.30","0.74","5","20","37.46","25.33"
"46","Adin Hill","VGK","2","123.03333333333","84","79","5","0.940","2.44","3.45","9.38","30","29","1","0.967","0.49","4.77","24","21","3","0.875","1.46","-0.52","28","27","1","0.964","0.49","0.11","8","20","26.71","24.00"
"53","Filip Gustavsson","MIN","3","189.15","80","75","5","0.938","1.59","3.05","6.65","16","14","2","0.875","0.63","1.08","27","24","3","0.889","0.95","-0.21","31","31","0","1.000","0.00","1.23","5","8","37.18","17.80"
"45","Ilya Samsonov","TOR","2","123.58333333333","62","58","4","0.935","1.94","2.24","6.8","17","14","3","0.824","1.46","0.27","18","17","1","0.944","0.49","0.86","24","24","0","1.000","0.00","0.95","8","8","33.69","12.50"
"2","Marc-Andre Fleury","MIN","4","239.05","143","133","10","0.930","2.51","4.38","14.05","53","48","5","0.906","1.25","5.20","36","33","3","0.917","0.75","0.73","45","43","2","0.956","0.50","-0.22","10","24","32.50","18.90"
