"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"407","Connor McDavid","EDM","C","70","278.93333333333","20","41","24","17","61","82.43","89","22.47","12.95","140","111","100","33","1","8","2","1","1","0","0","4","22","5","4","20","1","15","11","57.69"
"345","Leon Draisaitl","EDM","C","68","273.36666666667","27","25","18","7","52","70.27","86","31.40","13.93","137","118","83","34","0","13","6","3","3","0","0","1","11","5","2","14","1","168","121","58.13"
"194","Ryan Nugent-Hopkins","EDM","C","70","274.21666666667","12","32","11","21","44","59.46","49","24.49","6.88","78","61","58","21","0","5","2","1","1","0","0","1","7","1","4","6","2","6","10","37.50"
"193","Nikita Kucherov","T.B","R","70","283.61666666667","8","35","22","13","43","87.76","67","11.94","7.66","139","99","77","16","9","6","8","4","4","0","0","3","22","4","6","12","2","0","0","-"
"444","Mitchell Marner","TOR","R","69","246.46666666667","8","25","6","19","33","70.21","41","19.51","4.23","85","52","38","5","0","8","2","1","1","0","0","0","17","4","2","11","1","0","0","-"
"11","Evgeni Malkin","PIT","C","69","275.75","10","22","12","10","32","80.00","58","17.24","8.24","120","82","76","19","2","11","2","1","1","0","0","2","26","4","2","9","2","24","18","57.14"
"96","John Tavares","TOR","C","68","234.03333333333","13","19","13","6","32","71.11","86","15.12","16.82","123","113","108","80","1","22","4","2","2","0","0","0","8","0","4","12","0","150","99","60.24"
"362","David Pastrnak","BOS","R","68","256.38333333333","15","16","10","6","31","75.61","103","14.56","11.11","196","141","83","21","0","15","6","3","3","0","0","2","20","4","1","15","2","1","0","100.00"
"466","Kirill Kaprizov","MIN","L","65","249.16666666667","16","15","13","2","31","73.81","82","19.51","13.13","138","109","95","40","1","13","0","0","0","0","0","4","9","1","3","7","1","0","0","-"
"528","Tage Thompson","BUF","C, R","68","226.58333333333","18","13","6","7","31","72.09","74","24.32","6.85","120","93","55","14","3","4","0","0","0","0","0","1","8","2","2","9","0","12","13","48.00"
"198","Mika Zibanejad","NYR","C","69","250.31666666667","19","11","6","5","30","81.08","88","21.59","11.95","159","130","72","21","1","9","2","1","1","0","0","1","9","1","2","2","0","44","27","61.97"
"416","Mikko Rantanen","COL","R","68","282.56666666667","10","20","16","4","30","65.22","59","16.95","8.31","105","85","56","17","2","5","2","1","1","0","0","1","7","3","3","16","0","39","55","41.49"
"480","Matthew Tkachuk","FLA","L","66","290.2","12","18","7","11","30","71.43","87","13.79","17.55","130","114","100","74","3","24","0","0","0","0","0","0","14","2","0","12","0","2","7","22.22"
"587","Jason Robertson","DAL","L","70","227.06666666667","10","20","13","7","30","73.17","87","11.49","10.34","151","112","77","20","1","16","8","4","4","0","0","1","6","2","0","6","1","0","0","-"
"66","Steven Stamkos","T.B","C","69","276.95","13","16","10","6","29","56.86","87","14.94","10.85","161","123","93","16","10","10","6","3","3","0","0","0","14","1","4","11","0","92","75","55.09"
"455","Artemi Panarin","NYR","L","69","254.51666666667","4","25","12","13","29","70.73","52","7.69","6.85","123","86","63","9","0","12","6","3","3","0","0","1","12","1","2","3","1","0","0","-"
"646","Quinn Hughes","VAN","D","64","262.63333333333","2","27","12","15","29","82.86","44","4.55","3.03","91","57","22","3","1","7","4","2","2","0","0","0","8","4","0","5","2","0","0","-"
"111","Tyson Barrie","EDM, NSH","D","70","207.18333333333","4","24","11","13","28","54.90","31","12.90","2.74","72","43","16","2","1","7","6","3","3","0","0","1","3","6","2","2","2","0","0","-"
"600","Cale Makar","COL","D","55","223.65","5","23","16","7","28","75.68","38","13.16","3.57","86","58","30","2","0","7","4","2","2","0","0","0","7","3","4","3","3","0","0","-"
"662","Rasmus Dahlin","BUF","D","64","234","5","23","14","9","28","65.12","39","12.82","3.23","73","50","23","3","2","3","8","4","4","0","0","2","8","1","6","5","1","0","0","-"
"130","Mats Zuccarello","MIN","R","67","256.08333333333","9","18","8","10","27","62.79","48","18.75","4.62","96","67","38","9","0","9","4","2","2","0","0","2","8","2","3","3","1","0","0","-"
"314","Nathan MacKinnon","COL","C","57","232.6","8","19","7","12","27","64.29","89","8.99","8.95","144","117","69","13","1","9","4","2","2","0","0","1","6","2","2","10","0","31","51","37.80"
"374","Brayden Point","T.B","C","70","267.86666666667","17","10","4","6","27","57.45","57","29.82","11.22","96","83","93","53","6","7","0","0","0","0","0","1","6","6","2","9","0","48","41","53.93"
"42","Jamie Benn","DAL","L","70","200.38333333333","12","14","7","7","26","65.00","51","23.53","10.24","74","67","61","35","0","4","4","2","2","0","0","0","10","5","5","7","0","98","79","55.37"
"200","Dougie Hamilton","N.J","D","69","214.58333333333","8","18","10","8","26","78.79","45","17.78","4.05","102","62","42","5","4","10","2","1","1","0","0","0","6","1","1","2","4","0","0","-"
"325","Josh Morrissey","WPG","D","68","252.8","2","24","14","10","26","70.27","24","8.33","3.25","75","46","22","4","1","1","2","1","1","0","0","0","5","2","3","1","6","0","0","-"
"353","Dylan Larkin","DET","C","67","238.73333333333","14","12","4","8","26","66.67","64","21.88","10.17","108","84","90","39","1","11","2","1","1","0","0","3","6","3","0","4","1","144","101","58.78"
"403","Kyle Connor","WPG","L","70","254.05","7","19","11","8","26","63.41","77","9.09","8.5","145","108","75","15","3","16","2","1","1","0","0","1","10","2","0","6","0","0","0","-"
"492","Alex DeBrincat","OTT","R","69","281.36666666667","9","17","11","6","26","57.78","71","12.68","9.22","125","89","80","11","1","15","4","2","2","0","0","2","6","6","4","10","1","0","0","-"
"203","J.T. Miller","VAN","C","67","269.51666666667","9","16","13","3","25","60.98","68","13.24","7.76","133","101","71","24","2","13","6","3","3","0","0","0","11","3","3","9","0","45","25","64.29"
"315","Aleksander Barkov","FLA","C","55","227.63333333333","7","18","11","7","25","67.57","46","15.22","4.95","81","61","43","10","1","7","2","1","1","0","0","1","7","4","1","10","1","127","78","61.95"
"348","William Nylander","TOR","R","69","246.18333333333","8","17","13","4","25","52.08","57","14.04","9.67","97","80","65","27","1","11","2","1","1","0","0","0","5","0","0","12","2","1","3","25.00"
"369","Brandon Montour","FLA","D","67","283.4","3","22","11","11","25","56.82","50","6.00","4.49","96","71","33","7","0","6","12","6","6","0","0","2","2","2","1","2","5","0","0","-"
"591","Miro Heiskanen","DAL","D","67","212.18333333333","1","24","15","9","25","62.50","35","2.86","2.59","90","46","33","3","1","14","0","0","0","0","0","0","5","8","0","1","6","0","0","-"
"618","Drake Batherson","OTT","R","69","262.51666666667","13","12","7","5","25","58.14","59","22.03","13.12","103","85","90","51","1","15","4","2","2","0","0","0","9","3","5","12","2","0","2","0.00"
"647","Brady Tkachuk","OTT","L","69","285.81666666667","9","16","10","6","25","53.19","82","10.98","18.55","123","113","109","86","0","17","18","6","4","2","0","7","9","0","7","6","2","133","135","49.63"
"771","Tim Stützle","OTT","L","65","253.2","8","17","8","9","25","71.43","48","16.67","6.19","100","71","53","9","0","11","2","1","1","0","0","1","10","2","3","16","1","1","4","20.00"
"27","Brad Marchand","BOS","L","60","203.4","7","17","11","6","24","64.86","38","18.42","5.06","70","52","44","9","0","5","8","4","4","0","0","2","16","1","2","7","0","8","5","61.54"
"75","Roman Josi","NSH","D","67","226.53333333333","8","16","5","11","24","82.76","74","10.81","5.46","127","89","37","6","0","14","2","1","1","0","0","1","3","1","4","2","6","0","0","-"
"486","Adam Fox","NYR","D","69","255.11666666667","1","23","11","12","24","60.00","38","2.63","3.36","89","57","37","4","1","6","4","2","2","0","0","1","8","7","0","6","7","0","0","-"
"593","Martin Necas","CAR","C","68","207.88333333333","9","15","10","5","24","72.73","39","23.08","4.61","84","63","34","5","1","6","4","2","2","0","0","2","13","1","1","7","0","27","24","52.94"
"727","Jack Hughes","N.J","C","65","208.63333333333","6","18","8","10","24","77.42","67","8.96","8.11","113","83","67","10","3","5","0","0","0","0","0","4","18","0","1","15","0","6","6","50.00"
"17","Sidney Crosby","PIT","C","69","262.51666666667","8","15","9","6","23","60.53","53","15.09","8.25","87","64","63","32","1","10","2","1","1","0","0","2","8","4","1","6","1","148","122","54.81"
"65","Drew Doughty","L.A","D","69","220.26666666667","3","20","6","14","23","74.19","43","6.98","4.18","79","57","29","5","7","6","8","4","4","0","0","0","3","0","9","4","2","0","0","-"
"351","Kevin Fiala","L.A","L","66","201.95","7","16","12","4","23","82.14","50","14.00","7.87","99","69","67","25","4","6","12","6","6","0","0","1","5","0","3","8","1","0","0","-"
"445","Joel Eriksson Ek","MIN","C","69","246.06666666667","12","11","5","6","23","53.49","66","18.18","14.67","90","87","85","67","0","18","14","7","7","0","0","4","3","3","10","12","0","151","123","55.11"
"483","Auston Matthews","TOR","C","62","222.9","13","10","5","5","23","54.76","68","19.12","9.82","123","97","82","28","0","8","4","2","2","0","0","0","10","4","7","7","1","8","12","40.00"
"726","Matt Boldy","MIN","L","69","265.21666666667","7","16","9","7","23","51.11","67","10.45","9.38","123","98","70","21","1","12","0","0","0","0","0","1","5","1","0","10","1","8","7","53.33"
"10","Alex Ovechkin","WSH","L","64","310.26666666667","11","11","6","5","22","55.00","90","12.22","9.12","187","129","60","7","0","11","6","3","3","0","0","1","5","7","5","5","0","0","0","-"
"35","Claude Giroux","OTT","R","69","186.28333333333","7","15","8","7","22","75.86","32","21.88","3.61","67","49","25","8","1","8","4","2","2","0","0","1","1","0","3","2","0","80","49","62.02"
"150","Zach Hyman","EDM","L","67","233.93333333333","13","9","4","5","22","36.67","52","25.00","11.93","76","70","75","62","1","11","6","3","3","0","0","2","7","0","2","9","0","0","0","-"
"516","Jordan Kyrou","STL","C","65","194.61666666667","10","12","8","4","22","75.86","50","20.00","5.22","89","66","64","8","0","4","2","1","1","0","0","0","5","1","0","8","0","0","0","-"
"525","Mikhail Sergachev","T.B","D","68","166.78333333333","2","20","8","12","22","73.33","20","10.00","1.22","41","25","13","1","0","5","2","1","1","0","0","0","3","5","2","2","4","0","0","-"
"5","Brent Burns","CAR","D","68","209.13333333333","2","19","10","9","21","72.41","41","4.88","3.52","89","59","23","2","2","2","4","2","2","0","0","0","8","6","0","3","6","0","0","-"
"8","Joe Pavelski","DAL","C","70","211.66666666667","9","12","2","10","21","52.50","56","16.07","10.49","86","77","72","49","1","14","4","2","2","0","0","2","4","1","2","2","2","48","36","57.14"
"72","Erik Karlsson","S.J","D","70","232.28333333333","4","17","7","10","21","65.63","34","11.76","2.94","91","48","32","4","9","7","0","0","0","0","0","0","8","4","1","5","1","0","0","-"
"134","Tyler Toffoli","CGY","R","70","204.2","9","12","6","6","21","63.64","49","18.37","7.01","101","70","56","19","1","6","2","1","1","0","0","1","5","2","2","8","1","0","0","-"
"286","Pavel Buchnevich","STL","L","53","164.76666666667","8","13","6","7","21","70.00","22","36.36","4.24","45","38","31","12","1","3","0","0","0","0","0","1","8","0","3","3","0","5","3","62.50"
