"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"394","Connor McDavid","EDM","C","22","500.43333333333","17","22","15","7","39","86.67","87","19.54","10.8","126","109","90","37","4","3","12","6","6","0","0","11","29","14","24","29","9","146","117","55.51"
"570","Jason Robertson","DAL","L","23","407","19","17","8","9","36","80.00","97","19.59","11.11","156","125","98","45","3","17","8","4","4","0","0","2","21","19","13","22","2","0","0","-"
"192","Nikita Kucherov","T.B","R","22","479.85","10","25","17","8","35","87.50","84","11.90","10.05","158","119","96","30","14","14","18","9","9","0","0","16","31","19","22","35","9","0","0","-"
"335","Leon Draisaitl","EDM","C","22","491.61666666667","13","20","16","4","33","64.71","73","17.81","8.2","115","97","71","27","2","12","14","7","7","0","0","8","32","26","13","27","17","250","217","53.53"
"72","Erik Karlsson","S.J","D","25","631.25","11","21","13","8","32","62.75","78","14.10","4.6","177","103","75","11","17","13","8","4","4","0","0","6","31","21","11","37","26","0","0","-"
"351","David Pastrnak","BOS","R","22","436.43333333333","14","18","11","7","32","76.19","109","12.84","10.9","201","149","97","30","6","15","16","7","7","0","0","12","32","14","23","40","4","5","6","45.45"
"17","Sidney Crosby","PIT","C","23","456.13333333333","12","19","11","8","31","83.78","62","19.35","7.93","120","86","79","33","6","14","14","7","7","0","0","5","16","20","29","30","10","256","227","53.00"
"401","Mikko Rantanen","COL","R","20","437.11666666667","13","16","13","3","29","70.73","62","20.97","7.8","105","84","54","25","4","11","14","7","7","0","0","8","9","15","20","24","10","42","68","38.18"
"463","Matthew Tkachuk","FLA","L","21","446.2","10","19","11","8","29","70.73","92","10.87","13.91","160","122","104","56","7","21","39","14","12","1","1","14","23","13","16","23","7","6","9","40.00"
"304","Nathan MacKinnon","COL","C","20","449.73333333333","6","22","14","8","28","65.12","107","5.61","9.02","175","143","94","31","6","9","18","9","9","0","0","14","8","13","17","23","11","177","202","46.70"
"429","Mitchell Marner","TOR","R","24","515.5","7","21","10","11","28","71.79","56","12.50","5.47","117","81","55","17","3","8","8","4","4","0","0","6","29","24","21","31","19","0","0","-"
"511","Tage Thompson","BUF","C, R","22","406.18333333333","14","14","8","6","28","73.68","101","13.86","10.38","169","134","106","47","6","15","14","7","7","0","0","3","11","13","8","25","5","120","151","44.28"
"66","Steven Stamkos","T.B","C","22","434.53333333333","13","14","10","4","27","60.00","79","16.46","11.07","142","108","93","36","18","15","14","7","7","0","0","4","16","8","20","19","15","144","134","51.80"
"449","Kirill Kaprizov","MIN","L","21","441.86666666667","13","14","10","4","27","84.38","91","14.29","10.11","154","118","91","35","3","15","13","5","4","1","0","9","13","14","20","36","7","0","2","0.00"
"563","Elias Pettersson","VAN","C","23","458.58333333333","11","16","6","10","27","62.79","76","14.47","7.83","145","107","74","23","3","10","4","2","2","0","0","8","14","23","19","22","26","108","152","41.54"
"42","Jamie Benn","DAL","L","23","341.15","10","16","10","6","26","70.27","52","19.23","6.72","85","64","55","28","4","6","16","5","3","2","0","5","11","13","27","16","8","144","93","60.76"
"95","John Tavares","TOR","C","24","414.11666666667","12","14","8","6","26","81.25","79","15.19","11.4","126","107","89","56","3","14","14","7","7","0","0","2","19","21","33","39","10","235","171","57.88"
"341","Kevin Fiala","L.A","L","25","429.2","7","19","12","7","26","78.79","67","10.45","7.07","106","79","67","26","7","7","16","8","8","0","0","8","12","12","17","39","10","5","3","62.50"
"395","Jack Eichel","VGK","C","24","450.05","11","15","10","5","26","74.29","89","12.36","8.45","137","107","68","24","4","8","0","0","0","0","0","10","20","15","18","30","17","117","155","43.01"
"412","Mathew Barzal","NYI","C","24","448.8","2","24","14","10","26","81.25","55","3.64","6.41","105","82","73","24","2","11","14","7","7","0","0","2","29","22","16","16","8","52","103","33.55"
"465","Auston Matthews","TOR","C","24","486.53333333333","11","15","11","4","26","61.90","103","10.68","12.53","191","153","129","49","4","18","10","5","5","0","0","10","26","24","42","38","27","174","165","51.33"
"507","Jesper Bratt","N.J","L","23","396.56666666667","8","18","13","5","26","78.79","57","14.04","6.13","111","87","71","19","9","10","4","2","2","0","0","4","14","9","8","17","7","0","0","-"
"698","Jack Hughes","N.J","C","23","437.16666666667","12","14","6","8","26","70.27","100","12.00","11.13","159","122","99","32","14","12","2","1","1","0","0","8","20","16","4","33","4","39","76","33.91"
"315","Josh Morrissey","WPG","D","21","483.46666666667","5","20","10","10","25","59.52","38","13.16","2.68","83","58","26","6","2","3","19","8","7","1","0","7","16","9","24","23","29","0","0","-"
"338","William Nylander","TOR","R","24","430.46666666667","13","12","7","5","25","65.79","68","19.12","9.31","130","101","79","36","6","10","8","4","4","0","0","4","10","22","8","39","6","12","15","44.44"
"404","Sebastian Aho","CAR","C","23","460.85","9","16","12","4","25","69.44","64","14.06","11.03","118","98","85","45","3","14","16","8","8","0","0","10","19","14","23","25","5","186","158","54.07"
"440","Artemi Panarin","NYR","L","23","475.2","6","19","10","9","25","78.13","56","10.71","5.24","117","84","53","8","1","10","12","6","6","0","0","6","21","8","5","13","3","0","0","-"
"469","Adam Fox","NYR","D","23","577.93333333333","6","19","7","12","25","64.10","48","12.50","3.98","110","65","58","14","1","5","8","4","4","0","0","4","21","17","11","26","33","0","0","-"
