"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"367","Connor McDavid","EDM","C","8","178.33333333333","12","10","6","4","22","91.67","44","27.27","5.57","70","57","45","20","2","4","4","2","2","0","0","8","7","7","10","12","4","63","42","60.00"
"310","Leon Draisaitl","EDM","C","8","170.35","8","6","5","1","14","70.00","20","40.00","3.71","38","30","26","13","2","3","0","0","0","0","0","1","11","12","6","9","5","68","53","56.20"
"338","Brayden Point","T.B","C","9","167.28333333333","7","7","4","3","14","77.78","22","31.82","4.07","42","31","39","26","2","3","0","0","0","0","0","2","7","4","8","9","3","47","27","63.51"
"398","Mitchell Marner","TOR","R","7","147.21666666667","3","10","7","3","13","92.86","19","15.79","1.49","34","23","18","2","1","3","4","2","2","0","0","2","4","12","1","11","4","0","0","-"
"174","Nikita Kucherov","T.B","R","9","168.23333333333","4","8","6","2","12","85.71","32","12.50","3.62","63","47","44","14","9","6","2","1","1","0","0","4","13","4","4","11","1","1","0","100.00"
"472","Tage Thompson","BUF","C","9","164.78333333333","6","6","5","1","12","80.00","28","21.43","3.03","56","38","33","15","1","3","2","1","1","0","0","3","5","7","10","10","2","50","48","51.02"
"656","Dawson Mercer","N.J","C","7","131.98333333333","6","6","3","3","12","85.71","22","27.27","4.52","30","30","24","19","3","5","2","1","1","0","0","0","3","3","4","10","4","0","0","-"
"255","Pavel Buchnevich","STL","L","6","131.08333333333","4","7","6","1","11","84.62","19","21.05","2.04","27","25","21","8","2","2","0","0","0","0","0","1","6","5","9","3","2","1","3","25.00"
"287","Valeri Nichushkin","COL","R","6","109.8","2","9","5","4","11","91.67","11","18.18","1.87","29","22","17","9","2","2","2","1","1","0","0","0","7","5","4","9","2","0","3","0.00"
"11","Evgeni Malkin","PIT","C","7","132.8","2","8","5","3","10","76.92","23","8.70","2.02","35","28","23","9","0","4","6","3","3","0","0","3","7","7","3","10","5","35","35","50.00"
"32","Claude Giroux","OTT","R","7","119.9","3","7","5","2","10","83.33","18","16.67","2.16","34","27","14","6","1","2","2","1","1","0","0","2","4","3","7","3","1","55","49","52.88"
"37","Alex Killorn","T.B","L","9","153","5","5","1","4","10","71.43","15","33.33","3.71","27","25","25","17","2","2","6","3","3","0","0","3","5","3","5","16","5","0","0","-"
"38","Jamie Benn","DAL","L","7","115.61666666667","4","6","2","4","10","76.92","17","23.53","2.08","30","23","18","7","1","1","6","3","3","0","0","2","5","4","9","6","1","53","32","62.35"
"136","Jeff Skinner","BUF","L","9","161.05","6","4","3","1","10","62.50","28","21.43","3.99","54","39","33","21","3","6","2","1","1","0","0","4","5","4","0","4","1","25","21","54.35"
"313","William Nylander","TOR","R","7","122.71666666667","2","8","5","3","10","90.91","22","9.09","2.49","32","25","23","11","0","2","6","3","3","0","0","1","3","3","0","7","4","1","0","100.00"
"326","Jared McCann","SEA","L","7","124.21666666667","5","5","4","1","10","71.43","25","20.00","2.41","40","31","20","8","1","4","0","0","0","0","0","2","2","6","3","8","3","2","3","40.00"
"368","Jack Eichel","VGK","C","8","159.05","6","4","2","2","10","76.92","27","22.22","1.7","40","32","18","9","2","3","0","0","0","0","0","0","8","8","13","10","8","63","53","54.31"
"445","Clayton Keller","ARI","R","7","141.83333333333","3","7","5","2","10","90.91","19","15.79","1.75","36","27","21","8","1","1","4","2","2","0","0","1","7","7","2","10","6","1","2","33.33"
"5","Brent Burns","CAR","D","7","162.56666666667","1","8","6","2","9","75.00","20","5.00","1.16","48","33","21","3","3","5","2","1","1","0","0","1","5","5","0","4","3","0","0","-"
"98","Dmitry Orlov","BOS, WSH","D","6","123.78333333333","3","6","2","4","9","90.00","9","33.33","0.39","14","9","5","0","0","0","2","1","1","0","0","0","4","4","11","4","6","0","0","-"
"175","Ryan Nugent-Hopkins","EDM","C","8","161.63333333333","3","6","4","2","9","50.00","19","15.79","1.9","23","21","19","10","2","4","5","1","0","1","0","3","2","6","4","3","2","30","29","50.85"
"279","Nathan MacKinnon","COL","C","7","147.31666666667","7","2","0","2","9","69.23","29","24.14","2.18","47","36","26","1","0","2","4","2","2","0","0","1","2","4","4","11","6","47","59","44.34"
"289","Josh Morrissey","WPG","D","7","184.95","4","5","4","1","9","90.00","20","20.00","1.44","40","30","14","3","1","2","4","2","2","0","0","1","6","6","7","13","16","0","0","-"
"323","Nick Schmaltz","ARI","C","7","126.43333333333","5","4","3","1","9","81.82","12","41.67","1.14","20","19","12","1","1","0","0","0","0","0","0","0","7","6","2","6","4","1","1","50.00"
"369","Vince Dunn","SEA","D","7","158.65","2","7","3","4","9","75.00","12","16.67","0.83","32","21","10","2","0","4","10","5","5","0","0","1","6","4","6","8","1","0","0","-"
"384","Roope Hintz","DAL","C","7","132.7","7","2","1","1","9","69.23","26","26.92","4.41","43","37","31","19","2","1","8","4","4","0","0","4","9","3","4","8","1","24","25","48.98"
"522","Jason Robertson","DAL","L","7","133.46666666667","4","5","4","1","9","75.00","32","12.50","3.81","52","43","31","8","0","4","2","1","1","0","0","3","5","4","3","13","1","0","0","-"
"17","Sidney Crosby","PIT","C","7","140","3","5","4","1","8","80.00","22","13.64","2.32","39","30","25","11","1","4","0","0","0","0","0","2","5","5","5","7","4","93","63","59.62"
"19","Anze Kopitar","L.A","C","8","169.58333333333","7","1","1","0","8","66.67","21","33.33","3.06","37","34","26","14","6","2","0","0","0","0","0","3","2","3","4","5","10","80","78","50.63"
"21","T.J. Oshie","WSH","R","7","119.16666666667","5","3","1","2","8","72.73","16","31.25","2.14","33","27","21","7","0","2","7","2","1","1","0","4","2","4","15","7","1","14","14","50.00"
"288","Max Domi","CHI, DAL","C","7","125.58333333333","4","4","3","1","8","72.73","27","14.81","2.57","48","39","25","12","1","2","14","3","2","0","1","1","7","9","3","10","3","46","57","44.66"
"444","Patrik Laine","CBJ","L","7","127.55","4","4","3","1","8","88.89","16","25.00","1.95","39","28","18","5","1","5","2","1","1","0","0","0","7","4","1","5","2","0","4","0.00"
"515","Elias Pettersson","VAN","C","7","158.93333333333","3","5","4","1","8","66.67","26","11.54","3.15","50","37","26","8","0","5","4","2","2","0","0","4","3","7","3","10","13","42","68","38.18"
"527","Martin Necas","CAR","C","7","119.76666666667","3","5","3","2","8","80.00","19","15.79","1.67","33","27","19","3","1","2","4","2","2","0","0","3","5","2","4","7","4","20","19","51.28"
"568","Quinn Hughes","VAN","D","7","200.08333333333","0","8","3","5","8","72.73","16","0.00","0.76","32","22","6","0","0","2","2","1","1","0","0","2","3","7","3","6","7","0","0","-"
"580","Andrei Svechnikov","CAR","R","7","122.61666666667","3","5","3","2","8","53.33","20","15.00","3.47","48","37","25","13","1","6","10","5","5","0","0","2","5","6","17","7","2","1","4","20.00"
"686","Andrei Kuzmenko","VAN","L","7","133.18333333333","5","3","1","2","8","88.89","16","31.25","2.63","35","25","27","17","1","2","0","0","0","0","0","0","3","6","1","0","2","0","0","-"
"7","Patrice Bergeron","BOS","C","6","106.81666666667","3","4","2","2","7","70.00","20","15.00","2.92","35","31","25","12","2","3","2","1","1","0","0","1","2","3","2","1","2","76","52","59.38"
"10","Alex Ovechkin","WSH","L","6","112.88333333333","4","3","2","1","7","70.00","25","16.00","2.95","45","34","22","9","0","5","0","0","0","0","0","0","6","1","7","1","3","0","0","-"
"66","Roman Josi","NSH","D","7","179.63333333333","2","5","1","4","7","63.64","24","8.33","1.27","51","28","21","4","1","3","4","2","2","0","0","2","6","2","6","13","13","0","0","-"
"86","Matt Duchene","NSH","C","7","140.28333333333","2","5","2","3","7","58.33","19","10.53","1.81","34","23","24","6","1","3","0","0","0","0","0","0","6","4","2","9","7","19","14","57.58"
"97","Tyson Barrie","EDM, NSH","D","7","133.56666666667","2","5","3","2","7","63.64","23","8.70","0.94","37","26","8","2","1","4","2","1","1","0","0","1","2","3","5","15","3","0","0","-"
"132","Cam Fowler","ANA","D","7","159.3","0","7","3","4","7","77.78","7","0.00","0.52","18","12","7","2","0","2","4","2","2","0","0","0","5","2","2","4","8","0","0","-"
"135","Jaden Schwartz","SEA","C","7","126.51666666667","3","4","2","2","7","70.00","20","15.00","2.45","32","24","19","8","1","3","0","0","0","0","0","2","1","8","3","9","0","6","4","60.00"
"141","Tyler Seguin","DAL","C","7","122.9","3","4","1","3","7","87.50","22","13.64","2.91","37","33","28","13","0","3","0","0","0","0","0","0","4","3","10","8","2","38","39","49.35"
"179","Mika Zibanejad","NYR","C","6","119.98333333333","2","5","2","3","7","100.00","11","18.18","1.69","23","19","15","7","3","1","2","1","1","0","0","0","3","3","8","6","6","58","51","53.21"
"181","Dougie Hamilton","N.J","D","7","151.41666666667","2","5","3","2","7","46.67","17","11.76","0.72","45","26","17","2","6","2","2","1","1","0","0","1","8","5","2","4","10","0","0","-"
"206","Mike Matheson","MTL","D","8","199.71666666667","3","4","3","1","7","50.00","27","11.11","2.46","49","36","14","2","1","10","0","0","0","0","0","1","11","6","9","12","12","0","0","-"
"274","Artturi Lehkonen","COL","L","7","121.81666666667","1","6","2","4","7","63.64","13","7.69","1.3","21","17","13","8","1","0","2","1","1","0","0","0","1","3","17","17","6","0","1","0.00"
"282","Seth Jones","CHI","D","8","199.16666666667","4","3","1","2","7","46.67","23","17.39","1.33","37","29","18","7","0","0","0","0","0","0","0","1","6","8","12","12","17","0","0","-"
"327","David Pastrnak","BOS","R","6","118.65","3","4","1","3","7","77.78","22","13.64","3.77","52","36","29","6","1","3","0","0","0","0","0","3","10","6","8","13","3","1","1","50.00"
"374","Mikko Rantanen","COL","R","7","135.46666666667","6","1","1","0","7","70.00","20","30.00","2.51","35","29","23","11","1","2","10","5","5","0","0","2","4","8","11","13","3","8","10","44.44"
"376","Sebastian Aho","CAR","C","7","133.55","3","4","3","1","7","50.00","22","13.64","2.73","39","32","26","15","3","2","2","1","1","0","0","3","3","3","3","10","3","50","48","51.02"
"380","Tommy Novak","NSH","C","7","114.15","2","5","4","1","7","58.33","9","22.22","1.17","17","13","9","2","0","3","2","1","1","0","0","1","2","5","1","14","2","30","33","47.62"
"381","Dylan Strome","WSH","C","7","114.01666666667","2","5","3","2","7","77.78","13","15.38","1.66","26","17","19","8","0","2","6","3","3","0","0","0","2","1","5","2","2","42","39","51.85"
"420","Kirill Kaprizov","MIN","L","8","179.5","6","1","1","0","7","87.50","38","15.79","5.14","66","53","46","22","0","3","4","2","2","0","0","2","9","7","12","13","7","1","0","100.00"
"510","Casey Mittelstadt","BUF","C","9","136.08333333333","1","6","3","3","7","58.33","17","5.88","1.57","30","23","19","4","2","3","0","0","0","0","0","1","7","4","3","13","0","7","8","46.67"
"518","Nick Suzuki","MTL","C","8","170.95","4","3","2","1","7","63.64","14","28.57","1.51","29","17","20","10","3","0","0","0","0","0","0","2","4","4","3","7","7","72","84","46.15"
"621","Dylan Cozens","BUF","C","9","143.75","5","2","0","2","7","53.85","32","15.63","3.96","51","44","39","19","4","4","6","3","3","0","0","2","4","3","6","8","4","62","68","47.69"
"622","Trevor Zegras","ANA","C","7","126.51666666667","2","5","2","3","7","77.78","14","14.29","1.48","33","18","17","8","1","3","4","2","2","0","0","2","4","3","1","7","1","18","29","38.30"
"629","Jack Hughes","N.J","C","7","138.78333333333","1","6","4","2","7","77.78","29","3.45","2.76","46","35","28","7","2","5","0","0","0","0","0","0","9","6","0","8","5","26","38","40.63"
"653","Jack Quinn","BUF","R","9","129.68333333333","4","3","1","2","7","77.78","16","25.00","1.65","31","22","23","6","1","3","7","2","1","1","0","4","1","3","9","7","0","0","2","0.00"
"659","Tim Stützle","OTT","L","7","143.95","5","2","0","2","7","53.85","26","19.23","3.48","46","33","31","11","1","2","4","2","2","0","0","4","3","8","8","17","2","19","19","50.00"
"674","Matty Beniers","SEA","C","7","119.18333333333","1","6","1","5","7","100.00","12","8.33","1.5","27","21","15","6","1","0","0","0","0","0","0","2","5","4","5","10","3","26","47","35.62"
"8","Joe Pavelski","DAL","C","7","126.33333333333","1","5","3","2","6","46.15","19","5.26","3.32","36","31","30","23","0","12","0","0","0","0","0","1","9","3","9","7","3","28","28","50.00"
"14","David Krejci","BOS","C","6","105.28333333333","1","5","4","1","6","66.67","7","14.29","0.79","19","13","11","2","0","1","0","0","0","0","0","2","2","2","2","4","2","27","40","40.30"
"24","Kris Letang","PIT","D","7","152.4","3","3","1","2","6","50.00","18","16.67","0.99","37","24","11","2","0","3","6","3","3","0","0","2","9","2","16","19","11","0","0","-"
"34","Derick Brassard","OTT","C","7","74.5","3","3","1","2","6","100.00","7","42.86","0.69","10","8","6","6","0","1","4","2","2","0","0","1","1","2","17","3","0","5","4","55.56"
"58","Steven Stamkos","T.B","C","9","161.3","2","4","3","1","6","42.86","16","12.50","2.27","44","31","28","6","2","2","4","2","2","0","0","3","6","1","13","13","3","48","50","48.98"
"64","Erik Karlsson","S.J","D","7","183.68333333333","1","5","4","1","6","85.71","21","4.76","1.23","59","33","19","4","7","6","14","3","2","0","1","2","8","7","4","10","4","0","0","-"
"65","Jordan Eberle","SEA","R","7","125.43333333333","1","5","4","1","6","66.67","14","7.14","1.71","27","19","13","6","0","4","6","3","3","0","0","3","2","1","2","2","2","7","4","63.64"
"84","John Tavares","TOR","C","6","99.65","3","3","1","2","6","60.00","22","13.64","3.88","37","31","30","18","0","3","0","0","0","0","0","0","4","0","9","9","0","37","12","75.51"
"88","Nazem Kadri","CGY","C","8","132.1","0","6","3","3","6","75.00","27","0.00","2.91","46","37","28","10","2","7","2","1","1","0","0","2","4","3","16","14","1","54","57","48.65"
"96","Tomas Tatar","N.J","L","7","112.21666666667","2","4","2","2","6","46.15","11","18.18","2.13","23","18","14","10","1","4","2","1","1","0","0","1","3","5","7","7","0","0","1","0.00"
"109","Erik Haula","N.J","L","7","100.45","2","4","1","3","6","66.67","13","15.38","2.56","28","18","19","11","3","4","0","0","0","0","0","0","1","2","8","4","2","40","43","48.19"
"120","Jason Zucker","PIT","L","7","109.63333333333","6","0","0","0","6","75.00","19","31.58","2.7","28","25","20","14","1","2","6","2","2","0","0","1","2","7","11","10","0","0","1","0.00"
"123","Charlie Coyle","BOS","C","6","96.6","1","5","3","2","6","100.00","7","14.29","0.96","13","9","8","7","2","3","2","1","1","0","0","1","5","5","6","7","4","33","35","48.53"
"127","Justin Faulk","STL","D","7","162.71666666667","2","4","1","3","6","100.00","17","11.76","1.89","30","24","8","4","0","2","4","2","2","0","0","1","6","6","10","3","15","0","0","-"
"144","Mikael Granlund","NSH, PIT","C","6","109.11666666667","3","3","3","0","6","60.00","13","23.08","2.13","23","20","14","7","2","1","2","1","1","0","0","0","4","1","2","10","4","17","11","60.71"
"145","Nino Niederreiter","NSH, WPG","R","6","110.65","4","2","1","1","6","66.67","16","25.00","2.11","26","20","20","9","1","2","6","3","3","0","0","6","1","5","14","6","1","0","1","0.00"
"162","Vincent Trocheck","NYR","C","6","120.13333333333","3","3","1","2","6","85.71","15","20.00","1.94","29","23","20","10","0","0","0","0","0","0","0","2","6","6","12","9","4","40","44","47.62"
"193","Jonathan Marchessault","VGK","R","8","147.2","2","4","2","2","6","85.71","19","10.53","1.74","38","28","19","5","2","3","4","2","2","0","0","0","1","4","15","7","2","1","2","33.33"
"209","Tom Wilson","WSH","R","7","120.2","4","2","1","1","6","75.00","17","23.53","2.74","35","27","22","15","0","5","18","6","4","2","0","3","1","3","20","10","4","2","4","33.33"
"220","Shayne Gostisbehere","ARI, CAR","D","6","113.71666666667","3","3","1","2","6","50.00","19","15.79","1.21","37","29","13","1","0","2","0","0","0","0","0","2","4","4","1","4","5","0","0","-"
"267","Shea Theodore","VGK","D","8","174.2","2","4","2","2","6","75.00","27","7.41","1.32","52","37","14","3","0","5","2","1","1","0","0","1","4","5","2","13","14","0","0","-"
"316","Kevin Fiala","L.A","L","8","148.38333333333","1","5","4","1","6","60.00","21","4.76","2.98","41","30","30","10","4","7","10","5","5","0","0","1","7","2","10","5","1","0","1","0.00"
"330","Ivan Barbashev","STL, VGK","C","8","147.5","2","4","2","2","6","85.71","16","12.50","2.35","29","24","23","12","0","2","2","1","1","0","0","2","2","3","30","12","10","5","8","38.46"
"331","Marcus Pettersson","PIT","D","7","141.16666666667","1","5","4","1","6","60.00","10","10.00","0.45","22","15","5","2","2","2","12","2","1","0","1","2","5","5","21","19","12","0","0","-"
"388","Jack Roslovic","CBJ","C","7","118.68333333333","3","3","1","2","6","66.67","17","17.65","1.22","22","20","13","8","3","0","2","1","1","0","0","0","7","4","6","11","7","40","48","45.45"
"390","Anthony Beauvillier","VAN","L","7","129.55","2","4","2","2","6","75.00","15","13.33","2.58","26","22","24","13","1","2","0","0","0","0","0","1","1","3","8","13","3","1","1","50.00"
"443","Alex DeBrincat","OTT","R","7","116.61666666667","1","5","4","1","6","100.00","23","4.35","2.42","35","27","21","6","1","6","2","1","1","0","0","1","2","4","4","5","3","1","1","50.00"
"469","Mikhail Sergachev","T.B","D","9","215.68333333333","0","6","2","4","6","37.50","19","0.00","1.01","43","27","12","1","2","6","9","3","2","1","0","1","3","4","26","9","12","0","0","-"
