"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"2","Marc-Andre Fleury","MIN","18","1043.3833333333","511","456","55","0.892","3.16","-6.12","47.12","145","112","33","0.772","1.90","-7.06","128","114","14","0.891","0.81","-0.17","218","210","8","0.963","0.46","0.71","34","66","34.34","20.35"
"10","Jacob Markstrom","CGY","18","1043.9666666667","467","416","51","0.891","2.93","-6.33","46.78","125","101","24","0.808","1.38","-1.64","151","129","22","0.854","1.26","-5.69","159","154","5","0.969","0.29","1.35","41","74","35.60","22.33"
"20","Frederik Andersen","CAR","8","485.81666666667","201","179","22","0.891","2.72","-2.77","19.12","59","47","12","0.797","1.48","-1.45","60","55","5","0.917","0.62","1.48","63","58","5","0.921","0.62","-2.48","14","32","35.37","18.00"
"38","Spencer Martin","VAN","13","723.56666666667","381","339","42","0.890","3.48","-5.56","36.97","106","83","23","0.783","1.91","-4.04","102","92","10","0.902","0.83","1.02","150","141","9","0.940","0.75","-3.01","26","56","35.66","18.76"
"23","Jordan Binnington","STL","20","1122","575","511","64","0.889","3.42","-9.00","54.52","150","116","34","0.773","1.82","-7.17","175","158","17","0.903","0.91","1.91","227","214","13","0.943","0.70","-3.93","38","91","33.50","22.17"
"49","Felix Sandstrom","PHI","8","441.71666666667","226","201","25","0.889","3.40","-3.38","23.36","61","50","11","0.820","1.49","-0.09","72","64","8","0.889","1.09","-0.22","82","76","6","0.927","0.82","-2.72","23","37","33.65","21.44"
"3","Jaroslav Halak","NYR","8","473.38333333333","214","190","24","0.888","3.04","-3.53","21.35","66","53","13","0.803","1.65","-1.19","53","46","7","0.868","0.89","-1.27","88","84","4","0.955","0.51","-0.48","14","23","33.26","18.71"
"12","Martin Jones","SEA","19","1072.2333333333","474","421","53","0.888","2.97","-7.66","48.02","124","95","29","0.766","1.62","-6.82","145","128","17","0.883","0.95","-1.33","177","170","7","0.960","0.39","0.07","40","71","35.67","18.87"
"6","Jonathan Quick","L.A","20","1141.0166666667","575","510","65","0.887","3.42","-10.00","54.72","176","139","37","0.790","1.95","-5.52","154","131","23","0.851","1.21","-6.36","209","204","5","0.976","0.26","3.35","37","93","34.22","18.75"
"37","Eric Comrie","BUF","11","629.23333333333","336","298","38","0.887","3.62","-5.86","30.79","104","83","21","0.798","2.00","-2.40","88","76","12","0.864","1.14","-2.49","124","119","5","0.960","0.48","-0.05","18","45","35.93","22.92"
