"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","San Jose Sharks","66","3197.9833","19","35","12","18","50","0.379","3002","3066","49.47","2191","2245","49.39","1548","1609","49.03","138","171","44.66","153.02","138.9","52.42","1694","1593","51.54","958","903","51.48","119","155","43.43","12.42","82.83","760","610","55.47","499","420","54.30","77","82","48.43","15.43","80.48","934","983","48.72","459","483","48.73","42","73","36.52","9.15","84.89","1098","1254","46.68","529","624","45.88","19","16","54.29","3.59","97.44","8.91","89.37","0.983"
"2","Nashville Predators","62","2929.4667","31","24","7","28","69","0.556","2837","2949","49.03","2067","2187","48.59","1453","1565","48.14","117","113","50.87","136.06","138.56","49.55","1465","1527","48.96","804","881","47.72","96","100","48.98","11.94","88.65","606","623","49.31","410","435","48.52","68","63","51.91","16.59","85.52","859","904","48.72","394","446","46.90","28","37","43.08","7.11","91.70","1167","1200","49.30","585","597","49.49","21","13","61.76","3.59","97.82","8.05","92.78","1.008"
"3","Tampa Bay Lightning","65","3085.5","38","21","6","36","82","0.631","2990","2827","51.40","2249","2118","51.50","1576","1570","50.10","140","125","52.83","149.78","134.12","52.76","1705","1461","53.85","956","859","52.67","119","106","52.89","12.45","87.66","755","599","55.76","502","447","52.90","90","62","59.21","17.93","86.13","950","862","52.43","454","412","52.42","29","44","39.73","6.39","89.32","1126","1181","48.81","565","646","46.66","20","19","51.28","3.54","97.06","8.88","92.04","1.009"
"4","New York Rangers","64","3112.75","36","19","9","32","81","0.633","2887","2790","50.85","2139","2041","51.17","1532","1465","51.12","133","124","51.75","131.37","132.65","49.76","1457","1470","49.78","786","820","48.94","109","99","52.40","13.87","87.93","593","625","48.69","397","427","48.18","70","66","51.47","17.63","84.54","864","845","50.56","389","393","49.74","39","33","54.17","10.03","91.60","1217","1098","52.57","679","576","54.10","24","25","48.98","3.53","95.66","8.68","91.54","1.002"
"5","Vegas Golden Knights","65","3257.3","39","20","6","35","84","0.646","3108","3236","48.99","2262","2276","49.85","1643","1613","50.46","140","129","52.04","143.59","134.73","51.59","1533","1574","49.34","901","849","51.49","124","108","53.45","13.76","87.28","667","578","53.57","477","402","54.27","77","63","55.00","16.14","84.33","866","996","46.51","424","447","48.68","47","45","51.09","11.08","89.93","1274","1402","47.61","644","682","48.57","16","20","44.44","2.48","97.07","8.52","92.00","1.005"
"6","Los Angeles Kings","66","3135.45","38","20","8","32","84","0.636","3061","2843","51.85","2296","2004","53.40","1659","1389","54.43","139","137","50.36","141.29","126.98","52.67","1602","1454","52.42","934","776","54.62","123","113","52.12","13.17","85.44","677","585","53.65","476","391","54.90","75","75","50.00","15.76","80.82","925","869","51.56","458","385","54.33","48","38","55.81","10.48","90.13","1249","1141","52.26","665","532","55.56","16","24","40.00","2.41","95.49","8.38","90.14","0.985"
"7","Boston Bruins","63","2981.0167","49","9","5","47","103","0.817","2802","2726","50.69","2115","1985","51.59","1564","1436","52.13","154","89","63.37","135.14","118.15","53.36","1528","1377","52.60","907","749","54.77","132","74","64.08","14.55","90.12","633","541","53.92","463","382","54.79","84","43","66.14","18.14","88.74","895","836","51.70","444","367","54.75","48","31","60.76","10.81","91.55","1132","1142","49.78","593","590","50.13","22","15","59.46","3.71","97.46","9.85","93.80","1.036"
"8","Washington Capitals","66","3196.0833","31","28","7","30","69","0.523","3124","3055","50.56","2273","2253","50.22","1624","1588","50.56","136","138","49.64","143.43","141.2","50.39","1545","1527","50.29","879","868","50.31","122","114","51.69","13.88","86.87","645","625","50.79","450","423","51.55","79","74","51.63","17.56","82.51","900","902","49.94","429","445","49.08","43","40","51.81","10.02","91.01","1294","1277","50.33","632","639","49.72","14","24","36.84","2.22","96.24","8.37","91.31","0.997"
"9","Columbus Blue Jackets","64","3136.2833","20","37","7","19","47","0.367","2796","3398","45.14","2046","2502","44.99","1445","1796","44.59","113","161","41.24","122.41","152.41","44.54","1326","1642","44.68","773","924","45.55","92","135","40.53","11.90","85.39","507","670","43.08","352","458","43.46","52","83","38.52","14.77","81.88","819","972","45.73","421","466","47.46","40","52","43.48","9.50","88.84","1213","1492","44.84","598","793","42.99","21","26","44.68","3.51","96.72","7.82","91.04","0.989"
"10","Carolina Hurricanes","63","3002.2167","43","12","8","39","94","0.746","3368","2225","60.22","2523","1703","59.70","1708","1224","58.25","138","98","58.47","160.36","105.25","60.37","1665","1081","60.63","928","653","58.70","122","84","59.22","13.15","87.14","750","509","59.57","515","353","59.33","83","54","60.58","16.12","84.70","915","572","61.53","413","300","57.92","39","30","56.52","9.44","90.00","1426","903","61.23","723","468","60.71","16","14","53.33","2.21","97.01","8.08","91.99","1.001"
"11","Toronto Maple Leafs","64","3082.95","39","17","8","39","86","0.672","2940","2793","51.28","2220","2031","52.22","1595","1426","52.80","142","109","56.57","147.41","127.73","53.58","1674","1428","53.97","921","780","54.14","123","98","55.66","13.36","87.44","701","601","53.84","480","412","53.81","79","51","60.77","16.46","87.62","973","827","54.06","441","368","54.51","44","47","48.35","9.98","87.23","1110","1168","48.73","617","574","51.81","19","11","63.33","3.08","98.08","8.90","92.36","1.013"
"12","Montreal Canadiens","65","3109.1667","26","33","6","22","58","0.446","2664","3143","45.88","1923","2270","45.86","1411","1639","46.26","125","148","45.79","120.96","154.82","43.86","1296","1655","43.92","726","939","43.60","104","134","43.70","14.33","85.73","532","707","42.94","370","484","43.33","68","94","41.98","18.38","80.58","764","948","44.63","356","455","43.90","36","40","47.37","10.11","91.21","1112","1217","47.75","607","632","48.99","21","14","60.00","3.46","97.78","8.86","90.97","0.998"
"13","Chicago Blackhawks","64","3142.85","22","37","5","20","49","0.383","2449","3251","42.96","1824","2422","42.96","1307","1760","42.61","106","160","39.85","108.54","155.33","41.13","1169","1697","40.79","679","976","41.03","94","133","41.41","13.84","86.37","471","694","40.43","322","497","39.32","54","84","39.13","16.77","83.10","698","1003","41.03","357","479","42.70","40","49","44.94","11.20","89.77","1060","1307","44.78","557","703","44.21","12","27","30.77","2.15","96.16","8.11","90.91","0.990"
"14","Colorado Avalanche","63","3008.3","35","22","6","31","76","0.603","2984","2819","51.42","2152","2105","50.55","1617","1579","50.59","124","113","52.32","129.18","125.12","50.80","1426","1305","52.22","848","780","52.09","106","92","53.54","12.50","88.21","564","596","48.62","415","418","49.82","65","64","50.39","15.66","84.69","862","709","54.87","433","362","54.47","41","28","59.42","9.47","92.27","1342","1249","51.79","713","719","49.79","18","21","46.15","2.52","97.08","7.67","92.84","1.005"
"15","Seattle Kraken","65","3180.5333","37","22","6","37","80","0.615","3039","2785","52.18","2265","2040","52.61","1594","1396","53.31","165","129","56.12","135.35","133.99","50.25","1468","1440","50.48","842","758","52.63","138","119","53.70","16.39","84.30","565","617","47.80","391","397","49.62","79","80","49.69","20.20","79.85","903","823","52.32","451","361","55.54","59","39","60.20","13.08","89.20","1274","1120","53.22","665","556","54.46","26","10","72.22","3.91","98.20","10.35","90.76","1.011"
"16","Anaheim Ducks","65","3149.7833","21","35","9","18","51","0.392","2667","3504","43.22","1988","2727","42.16","1451","2013","41.89","110","179","38.06","120.6","181.53","39.92","1303","1844","41.40","737","1138","39.31","93","150","38.27","12.62","86.82","553","861","39.11","392","642","37.91","57","104","35.40","14.54","83.80","750","983","43.28","345","496","41.02","36","46","43.90","10.43","90.73","1080","1425","43.11","573","798","41.79","17","29","36.96","2.97","96.37","7.58","91.11","0.987"
"17","Vancouver Canucks","64","3121.2167","27","32","5","23","59","0.461","2700","2921","48.03","2021","2189","48.00","1506","1585","48.72","136","161","45.79","127.89","143.53","47.12","1359","1526","47.11","817","895","47.72","117","136","46.25","14.32","84.80","578","665","46.50","434","478","47.59","81","93","46.55","18.66","80.54","781","861","47.56","383","417","47.88","36","43","45.57","9.40","89.69","1146","1179","49.29","617","607","50.41","19","24","44.19","3.08","96.05","9.03","89.84","0.989"
"18","Edmonton Oilers","66","3163.85","36","22","8","36","80","0.606","3052","2843","51.77","2267","2176","51.02","1669","1586","51.27","149","139","51.74","153.94","134.4","53.39","1610","1420","53.14","944","839","52.94","130","117","52.63","13.77","86.05","707","559","55.85","504","402","55.63","78","71","52.35","15.48","82.34","903","861","51.19","440","437","50.17","52","46","53.06","11.82","89.47","1215","1169","50.96","640","646","49.77","19","22","46.34","2.97","96.59","8.93","91.24","1.002"
