"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"371","Connor McDavid","EDM","C","24","103.05","8","12","7","5","20","86.96","35","22.86","5.22","50","41","35","15","1","1","2","1","1","0","0","0","13","2","3","6","1","4","3","57.14"
"182","Nikita Kucherov","T.B","R","23","106.05","4","14","9","5","18","94.74","26","15.38","2.73","47","37","25","4","4","2","2","1","1","0","0","1","11","2","3","3","1","0","0","-"
"317","Leon Draisaitl","EDM","C","24","103.53333333333","9","8","6","2","17","70.83","35","25.71","4.56","56","45","33","10","0","7","4","2","2","0","0","0","5","2","0","7","0","69","44","61.06"
"333","David Pastrnak","BOS","R","22","95.883333333333","6","9","5","4","15","78.95","39","15.38","3.73","69","53","25","5","0","7","2","1","1","0","0","1","8","1","1","4","0","1","0","100.00"
"378","Mikko Rantanen","COL","R","21","95.883333333333","3","12","10","2","15","65.22","16","18.75","2.54","28","26","12","4","1","4","0","0","0","0","0","1","3","1","0","6","0","13","25","34.21"
"423","Kirill Kaprizov","MIN","L","22","84.916666666667","8","7","6","1","15","83.33","36","22.22","5.55","58","45","40","17","1","8","0","0","0","0","0","2","1","0","0","3","1","0","0","-"
"88","John Tavares","TOR","C","25","85.95","7","7","4","3","14","82.35","30","23.33","5.95","42","38","38","29","0","8","0","0","0","0","0","0","2","0","0","4","0","55","35","61.11"
"525","Jason Robertson","DAL","L","24","63.016666666667","6","8","3","5","14","77.78","32","18.75","4.07","50","40","26","10","1","6","4","2","2","0","0","0","1","0","0","2","0","0","0","-"
"538","Cale Makar","COL","D","21","94.1","4","10","6","4","14","63.64","16","25.00","1.75","36","25","14","0","0","3","4","2","2","0","0","0","1","0","2","1","2","0","0","-"
"287","Nathan MacKinnon","COL","C","21","95.266666666667","4","9","4","5","13","54.17","43","9.30","4.69","65","57","33","7","1","4","4","2","2","0","0","0","0","1","2","3","0","22","33","40.00"
