"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"35","Ville Husso","DET","1","60","29","29","0","1.000","0.00","2.74","1.62","4","4","0","1.000","0.00","0.73","4","4","0","1.000","0.00","0.42","16","16","0","1.000","0.00","0.55","2","1","48.55","-"
"47","Stuart Skinner","EDM","1","48.733333333333","31","31","0","1.000","0.00","2.93","3.64","7","7","0","1.000","0.00","1.27","11","11","0","1.000","0.00","1.15","12","12","0","1.000","0.00","0.41","1","5","32.94","-"
"23","Connor Hellebuyck","WPG","1","60","41","40","1","0.976","1.00","2.87","4.47","12","12","0","1.000","0.00","2.19","14","14","0","1.000","0.00","1.47","14","13","1","0.929","1.00","-0.52","1","9","35.05","16.00"
"6","Alex Stalock","CHI","1","58.233333333333","37","36","1","0.973","1.03","2.49","3.73","9","9","0","1.000","0.00","1.64","10","9","1","0.900","1.03","0.05","15","15","0","1.000","0.00","0.51","3","7","33.22","31.00"
"1","Craig Anderson","BUF","1","60","36","35","1","0.972","1.00","2.40","2.43","10","10","0","1.000","0.00","1.82","6","5","1","0.833","1.00","-0.37","19","19","0","1.000","0.00","0.65","2","1","35.64","29.00"
"12","Sergei Bobrovsky","FLA","1","59.65","33","32","1","0.970","1.01","2.11","3.94","14","14","0","1.000","0.00","2.55","8","8","0","1.000","0.00","0.84","10","9","1","0.900","1.01","-0.66","1","9","32.79","53.00"
"16","Frederik Andersen","CAR","1","60","32","31","1","0.969","1.00","2.02","2.75","6","6","0","1.000","0.00","1.09","14","14","0","1.000","0.00","1.47","7","6","1","0.857","1.00","-0.76","2","6","45.00","41.00"
"48","Jake Oettinger","DAL","2","120","62","60","2","0.968","1.00","3.85","5.09","9","8","1","0.889","0.50","0.64","11","10","1","0.909","0.50","0.15","38","38","0","1.000","0.00","1.30","0","4","39.03","16.50"
"31","Alex Nedeljkovic","DET","1","59.516666666667","39","37","2","0.949","2.02","1.68","4.36","11","10","1","0.909","1.01","1.00","11","11","0","1.000","0.00","1.15","13","12","1","0.923","1.01","-0.56","10","9","39.18","32.00"
"25","Antti Raanta","CAR","1","60","19","18","1","0.947","1.00","0.79","1.7","7","7","0","1.000","0.00","1.27","4","3","1","0.750","1.00","-0.58","6","6","0","1.000","0.00","0.21","3","4","36.16","30.00"
