"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"395","Connor McDavid","EDM","C","45","192.55","16","25","16","9","41","83.67","63","25.40","9.16","95","77","71","23","1","6","2","1","1","0","0","2","18","4","4","12","1","8","7","53.33"
"335","Leon Draisaitl","EDM","C","43","185.86666666667","15","19","14","5","34","69.39","61","24.59","9.1","97","81","60","23","0","11","4","2","2","0","0","1","7","3","1","12","1","109","88","55.33"
"188","Nikita Kucherov","T.B","R","41","173.23333333333","6","22","12","10","28","84.85","41","14.63","4.42","81","60","42","5","4","3","2","1","1","0","0","1","16","3","4","6","1","0","0","-"
"189","Ryan Nugent-Hopkins","EDM","C","45","193.05","7","20","7","13","27","55.10","34","20.59","5.16","57","45","42","16","0","5","2","1","1","0","0","1","3","0","3","5","2","6","10","37.50"
"352","David Pastrnak","BOS","R","42","162.15","12","12","8","4","24","75.00","70","17.14","6.88","121","95","47","11","0","8","4","2","2","0","0","1","15","2","1","8","2","1","0","100.00"
"513","Tage Thompson","BUF","C, R","41","152.58333333333","14","10","5","5","24","72.73","57","24.56","4.93","86","68","42","8","2","3","0","0","0","0","0","1","5","1","1","7","0","10","13","43.48"
"568","Jason Robertson","DAL","L","44","134.76666666667","7","16","10","6","23","82.14","53","13.21","6.3","102","70","49","13","1","11","4","2","2","0","0","0","2","0","0","3","1","0","0","-"
"640","Rasmus Dahlin","BUF","D","40","168.88333333333","5","18","11","7","23","67.65","29","17.24","2.5","55","36","17","3","1","3","4","2","2","0","0","1","5","0","3","4","1","0","0","-"
"66","Steven Stamkos","T.B","C","41","170.95","9","13","8","5","22","64.71","58","15.52","7.13","104","80","64","12","9","8","4","2","2","0","0","0","7","1","2","6","0","52","42","55.32"
"93","John Tavares","TOR","C","44","163.36666666667","8","13","8","5","21","70.00","57","14.04","10.96","83","76","72","49","0","13","4","2","2","0","0","0","6","0","1","8","0","102","70","59.30"
"108","Tyson Barrie","EDM","D","45","152.05","2","19","7","12","21","55.26","22","9.09","1.95","51","31","11","1","0","6","4","2","2","0","0","1","2","6","2","1","2","0","0","-"
"431","Mitchell Marner","TOR","R","44","170.81666666667","5","16","3","13","21","67.74","28","17.86","3.18","56","36","26","4","0","6","0","0","0","0","0","0","11","4","0","9","1","0","0","-"
"452","Kirill Kaprizov","MIN","L","42","165.83333333333","11","10","9","1","21","72.41","60","18.33","9.3","100","80","70","28","1","9","0","0","0","0","0","4","4","0","1","5","1","0","0","-"
"27","Brad Marchand","BOS","L","34","117.6","6","14","9","5","20","71.43","25","24.00","2.99","45","35","25","4","0","3","4","2","2","0","0","1","12","1","2","5","0","6","3","66.67"
"193","Mika Zibanejad","NYR","C","44","179.23333333333","12","8","5","3","20","74.07","64","18.75","7.81","113","89","47","11","0","6","2","1","1","0","0","1","7","1","0","2","0","7","8","46.67"
"466","Matthew Tkachuk","FLA","L","41","169.41666666667","6","14","6","8","20","74.07","46","13.04","9.41","76","64","59","44","3","16","0","0","0","0","0","0","7","1","0","10","0","1","5","16.67"
"581","Cale Makar","COL","D","41","174.66666666667","4","16","10","6","20","71.43","29","13.79","2.95","72","46","27","1","0","6","4","2","2","0","0","0","6","1","2","3","3","0","0","-"
"315","Josh Morrissey","WPG","D","44","141.21666666667","1","18","9","9","19","67.86","11","9.09","1.45","38","21","10","1","1","1","2","1","1","0","0","0","4","1","1","1","4","0","0","-"
"404","Mikko Rantanen","COL","R","41","183.71666666667","5","14","12","2","19","63.33","35","14.29","4.68","65","52","33","7","2","5","2","1","1","0","0","1","5","1","2","10","0","15","34","30.61"
"478","Alex DeBrincat","OTT","R","42","179.88333333333","5","14","9","5","19","59.38","43","11.63","5.67","83","55","56","7","1","9","0","0","0","0","0","1","2","4","0","4","1","0","0","-"
"599","Drake Batherson","OTT","R","42","159.96666666667","10","9","5","4","19","63.33","34","29.41","7.73","64","52","54","30","0","7","4","2","2","0","0","0","7","2","3","10","1","0","1","0.00"
"11","Evgeni Malkin","PIT","C","42","173.75","5","13","7","6","18","81.82","37","13.51","5.37","78","53","48","13","2","5","0","0","0","0","0","0","14","3","1","8","0","23","15","60.53"
"195","Dougie Hamilton","N.J","D","43","150.75","3","15","9","6","18","75.00","30","10.00","2.46","72","41","29","3","4","9","2","1","1","0","0","0","4","0","1","1","3","0","0","-"
"198","J.T. Miller","VAN","C","43","169.85","8","10","9","1","18","62.07","42","19.05","4.38","85","64","43","10","1","7","4","2","2","0","0","0","9","2","3","5","0","1","3","25.00"
"391","Kyle Connor","WPG","L","44","141.55","4","14","9","5","18","64.29","39","10.26","4.59","77","55","45","9","1","8","0","0","0","0","0","1","5","1","0","3","0","0","0","-"
"442","Artemi Panarin","NYR","L","44","180.21666666667","2","16","11","5","18","66.67","37","5.41","4.62","91","64","46","5","0","8","6","3","3","0","0","1","6","0","2","1","0","0","0","-"
