"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"21","Keith Kinkaid","BOS","1","59.9","31","30","1","0.968","1.00","1.93","2.92","9","8","1","0.889","1.00","0.60","9","9","0","1.000","0.00","0.96","11","11","0","1.000","0.00","0.43","0","5","37.65","8.00"
"52","Ilya Samsonov","TOR","11","636.36666666667","295","277","18","0.939","1.70","9.91","27.32","80","71","9","0.888","0.85","5.21","77","69","8","0.896","0.75","0.20","117","116","1","0.991","0.09","3.61","25","46","37.73","18.94"
"76","Akira Schmid","N.J","7","340.21666666667","163","153","10","0.939","1.76","5.42","16.43","36","30","6","0.833","1.06","0.39","46","44","2","0.957","0.35","2.90","72","70","2","0.972","0.35","0.83","4","28","37.30","17.50"
"31","Linus Ullmark","BOS","21","1211.2166666667","596","559","37","0.938","1.83","19.38","50.92","152","132","20","0.868","0.99","6.99","149","141","8","0.946","0.40","7.88","247","238","9","0.964","0.45","0.72","43","85","38.73","22.05"
"30","Connor Hellebuyck","WPG","23","1383.3833333333","758","703","55","0.927","2.39","16.71","71.9","211","178","33","0.844","1.43","4.47","205","196","9","0.956","0.39","12.84","298","285","13","0.956","0.56","-1.27","42","112","35.68","21.75"
"75","Kevin Lankinen","NSH","8","454.91666666667","265","245","20","0.925","2.64","5.07","24.83","71","63","8","0.887","1.06","4.61","66","59","7","0.894","0.92","0.03","108","103","5","0.954","0.66","-0.75","19","45","36.75","24.05"
"27","Matt Murray","TOR","11","659.5","356","329","27","0.924","2.46","6.68","34.55","99","86","13","0.869","1.18","4.58","104","95","9","0.913","0.82","2.08","138","133","5","0.964","0.45","0.43","37","66","33.74","20.89"
"60","Dylan Wells","CHI","1","20","13","12","1","0.923","3.00","0.23","1.62","4","4","0","1.000","0.00","0.71","3","2","1","0.667","3.00","-0.68","5","5","0","1.000","0.00","0.20","1","0","28.00","28.00"
"78","Pyotr Kochetkov","CAR","13","744.56666666667","326","301","25","0.923","2.01","5.84","30.74","113","99","14","0.876","1.13","6.07","74","66","8","0.892","0.64","-0.11","120","117","3","0.975","0.24","1.72","24","46","34.06","20.52"
"1","Craig Anderson","BUF","12","686.68333333333","394","363","31","0.921","2.71","6.27","35.39","109","94","15","0.862","1.31","4.36","114","102","12","0.895","1.05","0.15","153","149","4","0.974","0.35","2.02","27","48","36.98","21.39"
"36","Tristan Jarry","PIT","20","1207.35","675","622","53","0.921","2.63","10.86","54.17","175","142","33","0.811","1.64","-1.93","172","160","12","0.930","0.60","6.33","284","276","8","0.972","0.40","3.18","31","74","37.23","19.79"
"44","Ilya Sorokin","NYI","21","1199.9166666667","630","580","50","0.921","2.50","9.60","65.23","196","164","32","0.837","1.60","2.80","170","159","11","0.935","0.55","7.11","239","232","7","0.971","0.35","2.41","33","128","33.51","21.00"
"62","Filip Gustavsson","MIN","11","642.7","317","292","25","0.921","2.33","4.99","27.69","77","66","11","0.857","1.03","2.67","95","85","10","0.895","0.93","0.12","126","122","4","0.968","0.37","0.96","28","43","35.65","23.00"
"65","Jake Oettinger","DAL","22","1239.9","627","577","50","0.920","2.42","9.32","60.96","186","157","29","0.844","1.40","4.03","145","130","15","0.897","0.73","0.45","266","260","6","0.977","0.29","4.47","39","86","33.93","19.28"
"64","Stuart Skinner","EDM","18","1064.3","603","554","49","0.919","2.76","8.05","60.18","174","150","24","0.862","1.35","6.90","181","161","20","0.890","1.13","-0.71","211","206","5","0.976","0.28","3.31","37","80","33.72","21.08"
"77","Spencer Knight","FLA","15","841.35","457","420","37","0.919","2.64","6.23","39.34","120","105","15","0.875","1.07","6.31","118","103","15","0.873","1.07","-2.43","194","187","7","0.964","0.50","0.64","17","55","35.89","23.46"
"45","Ville Husso","DET","20","1183.65","596","547","49","0.918","2.48","7.38","57.87","150","132","18","0.880","0.91","8.64","172","150","22","0.872","1.12","-3.67","235","226","9","0.962","0.46","0.25","35","102","35.55","23.55"
"70","Logan Thompson","VGK","21","1260.2","672","617","55","0.918","2.62","8.57","57.56","164","138","26","0.841","1.24","3.12","175","159","16","0.909","0.76","2.65","292","280","12","0.959","0.57","-0.51","53","93","36.99","22.05"
"71","Alexandar Georgiev","COL","19","1145.7333333333","621","570","51","0.918","2.67","7.75","53.19","164","140","24","0.854","1.26","5.12","137","123","14","0.898","0.73","0.60","280","267","13","0.954","0.68","-1.98","35","90","36.93","21.67"
"14","Cam Talbot","OTT","16","836.01666666667","421","386","35","0.917","2.51","4.83","40.7","115","96","19","0.835","1.36","1.42","116","103","13","0.888","0.93","-0.64","156","153","3","0.981","0.22","3.14","40","72","37.58","21.14"
