"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"43","Jonas Johansson","COL","1","23.25","7","7","0","1.000","0.00","0.66","0.67","2","2","0","1.000","0.00","0.35","2","2","0","1.000","0.00","0.22","3","3","0","1.000","0.00","0.12","0","2","38.57","-"
"21","Keith Kinkaid","BOS","1","59.9","31","30","1","0.968","1.00","1.94","2.92","9","8","1","0.889","1.00","0.59","9","9","0","1.000","0.00","0.97","11","11","0","1.000","0.00","0.43","0","5","37.65","8.00"
"31","Linus Ullmark","BOS","26","1510.1833333333","763","716","47","0.938","1.87","25.44","66.34","197","170","27","0.863","1.07","7.88","188","180","8","0.957","0.32","12.28","319","307","12","0.962","0.48","0.49","71","126","38.31","22.11"
"30","Connor Hellebuyck","WPG","30","1800.6666666667","964","895","69","0.928","2.30","22.52","91.42","259","219","40","0.846","1.33","5.86","265","250","15","0.943","0.50","13.59","385","371","14","0.964","0.47","1.08","53","137","36.16","21.04"
"45","Ilya Sorokin","NYI","30","1685.4166666667","873","807","66","0.924","2.35","16.88","88.81","259","218","41","0.842","1.46","4.86","215","200","15","0.930","0.53","8.20","360","350","10","0.972","0.36","4.10","48","174","34.60","21.48"
"63","Filip Gustavsson","MIN","16","935.31666666667","459","424","35","0.924","2.25","8.58","40.75","109","91","18","0.835","1.15","1.30","134","122","12","0.910","0.77","2.46","191","186","5","0.974","0.32","2.48","41","66","35.97","20.29"
"78","Samuel Ersson","PHI","5","287.43333333333","144","133","11","0.924","2.30","2.67","15.34","42","39","3","0.929","0.63","4.44","40","34","6","0.850","1.25","-1.68","53","51","2","0.962","0.42","0.08","15","21","34.45","23.91"
"7","Alex Stalock","CHI","13","684.85","378","349","29","0.923","2.54","6.89","34.32","94","77","17","0.819","1.49","-0.36","113","102","11","0.903","0.96","1.19","151","150","1","0.993","0.09","4.91","28","50","35.92","19.28"
"61","Dylan Wells","CHI","1","20","13","12","1","0.923","3.00","0.23","1.62","4","4","0","1.000","0.00","0.71","3","2","1","0.667","3.00","-0.68","5","5","0","1.000","0.00","0.20","1","0","28.00","28.00"
"66","Jake Oettinger","DAL","30","1717.4333333333","858","791","67","0.922","2.34","14.46","83.68","250","213","37","0.852","1.29","7.26","204","182","22","0.892","0.77","0.01","361","353","8","0.978","0.28","6.14","60","123","34.52","18.82"
"1","Craig Anderson","BUF","15","865.28333333333","495","456","39","0.921","2.70","7.99","44.59","138","117","21","0.848","1.46","3.43","139","127","12","0.914","0.83","3.00","195","189","6","0.969","0.42","1.64","31","59","36.67","21.00"
"35","Juuse Saros","NSH","30","1773.9166666667","997","918","79","0.921","2.67","15.65","98.98","282","242","40","0.858","1.35","9.93","316","284","32","0.899","1.08","2.09","349","342","7","0.980","0.24","6.67","64","148","33.47","20.90"
"13","Darcy Kuemper","WSH","26","1492.1","766","705","61","0.920","2.45","11.72","72.27","196","159","37","0.811","1.49","-2.30","197","183","14","0.929","0.56","7.25","329","319","10","0.970","0.40","2.88","63","108","36.69","20.57"
"26","Andrei Vasilevskiy","T.B","27","1618.2833333333","818","752","66","0.919","2.45","11.66","77.25","226","194","32","0.858","1.19","8.01","240","213","27","0.888","1.00","-1.11","317","310","7","0.978","0.26","5.41","43","114","33.96","21.09"
"77","Akira Schmid","N.J","9","456.16666666667","209","192","17","0.919","2.24","2.84","20.8","45","38","7","0.844","0.92","0.97","66","59","7","0.894","0.92","0.12","84","81","3","0.964","0.39","0.29","7","31","38.47","19.41"
"80","Pyotr Kochetkov","CAR","17","982.56666666667","443","407","36","0.919","2.20","6.06","42.94","149","132","17","0.886","1.04","9.38","109","95","14","0.872","0.85","-2.24","155","150","5","0.968","0.31","1.07","38","56","34.45","22.39"
"36","Tristan Jarry","PIT","25","1461.9","816","749","67","0.918","2.75","10.47","68.15","219","178","41","0.813","1.68","-2.23","212","197","15","0.929","0.62","7.87","338","327","11","0.967","0.45","2.24","41","100","37.08","20.21"
"76","Kevin Lankinen","NSH","10","575.65","329","302","27","0.918","2.81","4.23","29.75","87","77","10","0.885","1.04","5.40","80","68","12","0.850","1.25","-3.37","139","134","5","0.964","0.52","0.44","23","56","36.22","23.56"
"27","Matt Murray","TOR","16","957.53333333333","486","445","41","0.916","2.57","5.14","45.51","133","113","20","0.850","1.25","3.55","129","116","13","0.899","0.81","0.92","203","195","8","0.961","0.50","-0.05","48","78","34.69","21.59"
"48","Igor Shesterkin","NYR","30","1816.95","896","821","75","0.916","2.48","10.06","84.91","255","216","39","0.847","1.29","6.15","264","241","23","0.913","0.76","5.48","329","316","13","0.960","0.43","-0.12","98","119","34.06","21.29"
"53","Ilya Samsonov","TOR","16","943.53333333333","431","395","36","0.916","2.29","4.92","40.86","122","107","15","0.877","0.95","6.60","120","105","15","0.875","0.95","-2.05","163","157","6","0.963","0.38","0.38","31","70","35.69","21.81"
"72","Alexandar Georgiev","COL","29","1732.1166666667","915","838","77","0.916","2.67","9.87","81.68","258","219","39","0.849","1.35","6.68","199","177","22","0.889","0.76","-0.53","405","389","16","0.960","0.55","-0.14","53","138","36.16","20.94"
"42","Vitek Vanecek","N.J","26","1385.6166666667","627","573","54","0.914","2.34","5.53","60.85","165","135","30","0.818","1.30","-0.79","158","142","16","0.899","0.69","1.05","258","250","8","0.969","0.35","2.10","30","93","36.79","19.50"
"65","Stuart Skinner","EDM","26","1481.9","851","778","73","0.914","2.96","7.79","83.39","234","197","37","0.842","1.50","4.43","257","228","29","0.887","1.17","-1.27","308","301","7","0.977","0.28","5.06","52","113","34.27","22.04"
"71","Logan Thompson","VGK","29","1717.9833333333","879","803","76","0.914","2.65","7.45","75.24","217","183","34","0.843","1.19","4.42","227","203","24","0.894","0.84","0.49","385","368","17","0.956","0.59","-1.92","64","117","36.32","21.42"
