"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"361","Connor McDavid","EDM","C","7","152.35","10","9","6","3","19","95.00","35","28.57","4.13","57","47","37","16","0","3","4","2","2","0","0","8","2","5","9","12","4","50","39","56.18"
"333","Brayden Point","T.B","C","8","151.05","6","7","4","3","13","76.47","20","30.00","3.68","38","28","35","23","2","2","0","0","0","0","0","2","7","4","8","9","3","42","24","63.64"
"171","Nikita Kucherov","T.B","R","8","151.78333333333","4","7","5","2","11","84.62","30","13.33","3.47","57","45","38","13","8","6","2","1","1","0","0","3","13","4","3","9","1","1","0","100.00"
"250","Pavel Buchnevich","STL","L","6","131.08333333333","4","7","6","1","11","84.62","19","21.05","2.04","27","25","21","8","2","2","0","0","0","0","0","1","6","5","9","3","2","1","3","25.00"
"282","Valeri Nichushkin","COL","R","6","109.8","2","9","5","4","11","91.67","11","18.18","1.87","29","22","17","9","2","2","2","1","1","0","0","0","7","5","4","9","2","0","3","0.00"
"305","Leon Draisaitl","EDM","C","7","148.76666666667","7","4","3","1","11","64.71","19","36.84","3.39","35","28","24","12","2","3","0","0","0","0","0","1","9","10","5","8","4","58","49","54.21"
"465","Tage Thompson","BUF","C","8","146.76666666667","6","5","4","1","11","78.57","25","24.00","2.86","51","35","29","15","1","2","2","1","1","0","0","3","5","5","9","10","2","48","41","53.93"
"646","Dawson Mercer","N.J","C","6","115.01666666667","5","6","3","3","11","84.62","19","26.32","3.95","26","26","22","17","3","5","0","0","0","0","0","0","3","3","4","7","3","0","0","-"
"11","Evgeni Malkin","PIT","C","7","132.8","2","8","5","3","10","76.92","23","8.70","2.02","35","28","23","9","0","4","6","3","3","0","0","3","7","7","3","10","5","35","35","50.00"
"32","Claude Giroux","OTT","R","7","119.9","3","7","5","2","10","83.33","18","16.67","2.16","34","27","14","6","1","2","2","1","1","0","0","2","4","3","7","3","1","55","49","52.88"
