"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"61","Jeremy Swayman","BOS","3","122.36666666667","62","61","1","0.984","0.49","4.79","5.54","14","14","0","1.000","0.00","2.38","17","17","0","1.000","0.00","1.74","27","26","1","0.963","0.49","0.09","2","8","36.74","57.00"
"66","Kevin Lankinen","NSH","1","60","40","39","1","0.975","1.00","2.74","4.87","10","9","1","0.900","1.00","0.70","21","21","0","1.000","0.00","2.15","7","7","0","1.000","0.00","0.28","2","8","30.38","10.00"
"3","Jaroslav Halak","NYR","1","60","25","24","1","0.960","1.00","1.34","3.08","9","9","0","1.000","0.00","1.53","4","3","1","0.750","1.00","-0.59","10","10","0","1.000","0.00","0.40","2","6","36.40","36.00"
"32","Tristan Jarry","PIT","2","121.7","70","67","3","0.957","1.48","3.54","7.29","16","16","0","1.000","0.00","2.72","19","19","0","1.000","0.00","1.94","28","25","3","0.893","1.48","-1.87","3","18","37.21","29.00"
"4","Brian Elliott","T.B","1","60","39","37","2","0.949","2.00","1.64","3.76","14","12","2","0.857","2.00","0.38","10","10","0","1.000","0.00","1.02","15","15","0","1.000","0.00","0.60","1","5","28.21","11.00"
"20","Frederik Andersen","CAR","4","239.7","120","113","7","0.942","1.75","4.22","12.14","40","35","5","0.875","1.25","1.81","28","26","2","0.929","0.50","0.86","39","39","0","1.000","0.00","1.57","4","21","38.34","14.29"
"57","Jake Oettinger","DAL","6","364.81666666667","171","161","10","0.942","1.64","5.98","16.08","43","38","5","0.884","0.82","2.32","51","49","2","0.961","0.33","3.22","70","67","3","0.957","0.49","-0.18","15","22","34.55","23.40"
"67","Samuel Ersson","PHI","3","152.41666666667","68","64","4","0.941","1.57","2.36","7.24","23","21","2","0.913","0.79","1.92","17","16","1","0.941","0.39","0.74","24","23","1","0.958","0.39","-0.03","4","15","33.93","23.00"
"65","Pavel Francouz","COL","4","242.78333333333","115","108","7","0.939","1.73","3.75","10.34","29","26","3","0.897","0.74","1.94","30","28","2","0.933","0.49","1.07","48","46","2","0.958","0.49","-0.07","5","15","37.23","24.14"
"30","Linus Ullmark","BOS","4","234.25","94","88","6","0.936","1.54","2.79","10.31","26","24","2","0.923","0.51","2.43","36","33","3","0.917","0.77","0.68","30","29","1","0.967","0.26","0.21","9","17","30.71","24.67"
"18","Philipp Grubauer","SEA","3","184.65","91","85","6","0.934","1.95","2.50","9.22","24","20","4","0.833","1.30","0.09","20","19","1","0.950","0.32","1.05","46","45","1","0.978","0.32","0.85","6","19","32.66","18.00"
"45","Sam Montembeault","MTL","7","398.76666666667","256","239","17","0.934","2.56","6.93","29.27","77","68","9","0.883","1.35","4.11","69","65","4","0.942","0.60","3.06","104","100","4","0.962","0.60","0.19","10","69","31.23","23.35"
"46","Ilya Samsonov","TOR","5","280.71666666667","135","126","9","0.933","1.92","3.62","16.11","44","41","3","0.932","0.64","4.49","35","30","5","0.857","1.07","-1.42","52","51","1","0.981","0.21","1.09","4","34","32.27","23.00"
"63","Alexandar Georgiev","COL","3","178.66666666667","102","95","7","0.931","2.35","2.53","9.43","28","23","5","0.821","1.68","-0.23","24","23","1","0.958","0.34","1.46","40","39","1","0.975","0.34","0.61","3","11","36.89","16.14"
"60","Daniil Tarasov","CBJ","1","59.15","28","26","2","0.929","2.03","0.62","3.58","12","12","0","1.000","0.00","2.04","6","4","2","0.667","2.03","-1.39","10","10","0","1.000","0.00","0.40","1","5","26.82","22.50"
"41","Igor Shesterkin","NYR","5","298.23333333333","150","139","11","0.927","2.21","3.02","13.72","41","37","4","0.902","0.80","2.98","42","37","5","0.881","1.01","-0.70","62","60","2","0.968","0.40","0.50","13","18","32.86","22.18"
"55","David Rittich","WPG","2","119.53333333333","54","50","4","0.926","2.01","1.05","3.87","15","13","2","0.867","1.00","0.55","17","16","1","0.941","0.50","0.74","22","21","1","0.955","0.50","-0.11","2","2","32.89","18.75"
