"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"32","Eric Comrie","BUF","1","59.166666666667","26","26","0","1.000","0.00","2.79","2.36","7","7","0","1.000","0.00","1.38","7","7","0","1.000","0.00","0.81","9","9","0","1.000","0.00","0.41","5","3","43.62","-"
"10","Semyon Varlamov","NYI","1","58.333333333333","34","33","1","0.971","1.03","2.65","2.97","9","8","1","0.889","1.03","0.78","8","8","0","1.000","0.00","0.93","10","10","0","1.000","0.00","0.46","3","7","38.97","14.00"
"64","Jeremy Swayman","BOS","4","244.48333333333","130","125","5","0.962","1.23","8.96","14.09","37","33","4","0.892","0.98","3.31","35","34","1","0.971","0.25","3.06","52","52","0","1.000","0.00","2.38","5","23","37.17","17.80"
"65","Logan Thompson","VGK","1","53.883333333333","39","37","2","0.949","2.23","2.19","3.76","14","12","2","0.857","2.23","0.77","9","9","0","1.000","0.00","1.04","13","13","0","1.000","0.00","0.59","0","9","32.97","20.00"
"3","Jaroslav Halak","NYR","2","119.68333333333","56","53","3","0.946","1.50","3.01","5.18","18","16","2","0.889","1.00","1.56","14","14","0","1.000","0.00","1.62","22","21","1","0.955","0.50","0.01","2","12","33.41","16.67"
"62","Jiri Patera","VGK","1","60","37","35","2","0.946","2.00","1.97","4.58","14","12","2","0.857","2.00","0.77","10","10","0","1.000","0.00","1.16","12","12","0","1.000","0.00","0.55","3","8","25.62","5.50"
"42","Igor Shesterkin","NYR","5","297.96666666667","165","156","9","0.945","1.81","8.72","14.03","43","39","4","0.907","0.81","4.49","39","35","4","0.897","0.81","0.52","71","70","1","0.986","0.20","2.24","13","29","39.60","20.67"
"56","Filip Gustavsson","MIN","3","183.38333333333","108","102","6","0.944","1.96","5.60","8.89","22","21","1","0.955","0.33","3.35","36","31","5","0.861","1.64","-0.83","42","42","0","1.000","0.00","1.92","14","9","37.10","23.50"
"63","Dylan Ferguson","OTT","2","118.86666666667","83","78","5","0.940","2.52","3.91","8.02","24","22","2","0.917","1.01","2.74","30","27","3","0.900","1.51","0.48","26","26","0","1.000","0.00","1.19","12","15","34.04","18.20"
"67","Collin Delia","VAN","2","119.46666666667","49","46","3","0.939","1.51","2.26","4.93","14","12","2","0.857","1.00","0.77","15","15","0","1.000","0.00","1.74","20","19","1","0.950","0.50","-0.09","2","10","31.29","25.67"
"71","Ivan Prosvetov","ARI","2","119.53333333333","65","61","4","0.938","2.01","2.98","6.71","15","14","1","0.933","0.50","1.96","16","13","3","0.813","1.51","-1.15","32","32","0","1.000","0.00","1.46","4","14","36.25","23.00"
"19","Petr Mrazek","CHI","2","87.166666666667","46","43","3","0.935","2.07","1.94","4.74","12","10","2","0.833","1.38","0.37","15","15","0","1.000","0.00","1.74","17","16","1","0.941","0.69","-0.22","4","4","34.04","11.67"
"55","Carter Hart","PHI","4","245","134","125","9","0.933","2.20","5.39","14.63","41","36","5","0.878","1.22","3.10","27","25","2","0.926","0.49","1.13","62","60","2","0.968","0.49","0.83","4","24","34.35","19.89"
"27","Joonas Korpisalo","L.A","3","185","71","66","5","0.930","1.62","2.62","7.31","16","15","1","0.938","0.32","2.16","26","23","3","0.885","0.97","0.01","28","27","1","0.964","0.32","0.28","4","17","30.76","31.40"
"29","Linus Ullmark","BOS","4","239.35","127","118","9","0.929","2.26","4.64","11.32","39","32","7","0.821","1.75","0.70","33","33","0","1.000","0.00","3.82","42","40","2","0.952","0.50","-0.08","21","15","39.58","14.67"
"66","Alexandar Georgiev","COL","7","424.93333333333","190","176","14","0.926","1.98","6.40","16.34","49","42","7","0.857","0.99","2.68","49","42","7","0.857","0.99","-1.32","82","82","0","1.000","0.00","3.75","9","27","35.99","20.29"
"54","Joseph Woll","TOR","1","59.916666666667","25","23","2","0.920","2.00","0.68","2.08","7","6","1","0.857","1.00","0.38","6","6","0","1.000","0.00","0.70","12","11","1","0.917","1.00","-0.45","0","3","32.52","28.00"
"34","Thatcher Demko","VAN","6","359.66666666667","166","152","14","0.916","2.34","3.83","15.36","37","32","5","0.865","0.83","2.31","44","36","8","0.818","1.33","-2.90","72","71","1","0.986","0.17","2.29","14","26","37.78","21.79"
"70","Joel Hofer","STL","5","257.73333333333","142","130","12","0.915","2.79","3.25","12.48","34","29","5","0.853","1.16","1.72","38","35","3","0.921","0.70","1.40","64","60","4","0.938","0.93","-1.08","9","14","35.14","24.17"
