"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"7","James Reimer","S.J","1","59.766666666667","26","26","0","1.000","0.00","2.46","1.95","4","4","0","1.000","0.00","0.70","9","9","0","1.000","0.00","0.92","9","9","0","1.000","0.00","0.36","4","1","49.27","-"
"60","Jeremy Swayman","BOS","2","118.08333333333","51","49","2","0.961","1.02","2.82","5.36","12","11","1","0.917","0.51","1.11","19","18","1","0.947","0.51","0.94","17","17","0","1.000","0.00","0.68","5","6","33.80","22.50"
"50","Connor Ingram","ARI","4","239.36666666667","150","144","6","0.960","1.50","8.18","15.45","41","37","4","0.902","1.00","3.21","48","47","1","0.979","0.25","3.90","53","52","1","0.981","0.25","1.11","25","26","34.70","19.33"
"61","Logan Thompson","VGK","1","41.316666666667","24","23","1","0.958","1.45","1.27","2.3","6","5","1","0.833","1.45","0.06","7","7","0","1.000","0.00","0.71","11","11","0","1.000","0.00","0.44","3","7","34.71","5.00"
"28","Connor Hellebuyck","WPG","3","179.56666666667","111","106","5","0.955","1.67","5.49","10.95","26","21","5","0.808","1.67","-0.43","45","45","0","1.000","0.00","4.60","39","39","0","1.000","0.00","1.55","8","16","29.55","12.40"
"26","Joonas Korpisalo","CBJ","3","179.41666666667","108","103","5","0.954","1.67","5.21","10.8","27","25","2","0.926","0.67","2.75","34","32","2","0.941","0.67","1.47","40","39","1","0.975","0.33","0.59","4","19","36.37","20.20"
"58","Jake Oettinger","DAL","3","188.4","108","103","5","0.954","1.59","5.21","7.87","21","18","3","0.857","0.96","0.69","28","27","1","0.964","0.32","1.86","52","51","1","0.981","0.32","1.07","1","18","41.55","17.00"
"68","Justus Annunen","COL","1","59.633333333333","20","19","1","0.950","1.01","0.89","1.71","6","6","0","1.000","0.00","1.06","4","3","1","0.750","1.01","-0.59","9","9","0","1.000","0.00","0.36","0","0","36.10","18.00"
"20","Laurent Brossoit","VGK","1","65","39","37","2","0.949","1.85","1.69","2.94","13","12","1","0.923","0.92","1.29","13","12","1","0.923","0.92","0.33","12","12","0","1.000","0.00","0.48","5","1","33.08","21.00"
"66","Pavel Francouz","COL","1","63.45","38","36","2","0.947","1.89","1.59","3.52","9","7","2","0.778","1.89","-0.42","14","14","0","1.000","0.00","1.43","11","11","0","1.000","0.00","0.44","3","5","39.58","14.50"
"36","Pheonix Copley","L.A","4","216.96666666667","91","86","5","0.945","1.38","3.60","9.64","22","20","2","0.909","0.55","1.87","17","16","1","0.941","0.28","0.74","46","44","2","0.957","0.55","-0.17","4","11","37.44","29.80"
"29","Linus Ullmark","BOS","3","183.38333333333","90","85","5","0.944","1.64","3.51","6.08","22","19","3","0.864","0.98","0.87","27","25","2","0.926","0.65","0.76","30","30","0","1.000","0.00","1.19","5","8","40.36","13.40"
"55","Filip Gustavsson","MIN","7","391.43333333333","197","186","11","0.944","1.69","7.62","17.65","50","43","7","0.860","1.07","1.79","50","48","2","0.960","0.31","3.11","92","90","2","0.978","0.31","1.66","18","29","34.61","16.55"
"23","Magnus Hellberg","DET","1","59.933333333333","35","33","2","0.943","2.00","1.31","4.05","9","8","1","0.889","1.00","0.58","17","16","1","0.941","1.00","0.74","9","9","0","1.000","0.00","0.36","1","6","30.14","19.50"
"30","Aaron Dell","S.J","2","82.383333333333","35","33","2","0.943","1.46","1.31","4.22","14","12","2","0.857","1.46","0.46","8","8","0","1.000","0.00","0.82","12","12","0","1.000","0.00","0.48","2","8","26.03","10.50"
