"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"292","Leon Draisaitl","EDM","C","10","43.9","3","7","5","2","10","76.92","9","33.33","1.45","18","14","12","2","0","1","0","0","0","0","0","0","3","2","0","6","0","26","18","59.09"
"342","Connor McDavid","EDM","C","10","43.6","6","4","3","1","10","83.33","18","33.33","2.47","22","19","16","6","1","0","0","0","0","0","0","0","3","0","0","3","1","2","2","50.00"
"86","John Tavares","TOR","C","11","45.9","5","4","2","2","9","90.00","18","27.78","3.88","24","21","23","18","0","6","0","0","0","0","0","0","2","0","0","2","0","27","19","58.70"
"117","Mats Zuccarello","MIN","R","10","44.266666666667","4","4","2","2","8","80.00","13","30.77","0.99","23","18","8","1","0","3","0","0","0","0","0","1","2","1","0","1","0","0","0","-"
"177","Mika Zibanejad","NYR","C","11","52.383333333333","5","3","3","0","8","88.89","24","20.83","3.37","36","32","21","5","0","2","0","0","0","0","0","1","3","0","0","2","0","1","5","16.67"
"377","Artemi Panarin","NYR","L","11","51.416666666667","1","7","3","4","8","100.00","8","12.50","0.99","18","13","5","0","0","2","4","2","2","0","0","1","4","0","1","0","0","0","0","-"
"51","Patrick Kane","CHI","R","10","38.766666666667","0","7","0","7","7","100.00","7","0.00","0.49","12","8","5","1","0","1","0","0","0","0","0","0","2","0","0","0","0","0","0","-"
"61","Steven Stamkos","T.B","C","10","51.75","5","2","2","0","7","100.00","21","23.81","2.48","36","27","21","5","5","1","2","1","1","0","0","0","2","0","0","3","0","10","8","55.56"
"173","Ryan Nugent-Hopkins","EDM","C","10","42.883333333333","1","6","1","5","7","58.33","9","11.11","1.14","10","10","8","5","0","0","0","0","0","0","0","0","0","0","2","1","0","0","1","0.00"
"306","David Pastrnak","BOS","R","10","43.366666666667","2","5","1","4","7","87.50","17","11.76","1.7","30","22","13","3","0","2","2","1","1","0","0","0","3","1","1","2","0","1","0","100.00"
"348","Mikko Rantanen","COL","R","9","34.183333333333","0","7","6","1","7","70.00","2","0.00","0.55","6","6","3","0","1","2","0","0","0","0","0","0","1","0","0","4","0","5","8","38.46"
"384","Kirill Kaprizov","MIN","L","10","46.916666666667","3","4","3","1","7","70.00","20","15.00","2.82","36","26","20","6","0","5","0","0","0","0","0","1","0","0","0","1","1","0","0","-"
"398","Auston Matthews","TOR","C","11","50.283333333333","3","4","3","1","7","70.00","14","21.43","2.62","26","23","19","7","0","3","2","1","1","0","0","0","3","0","2","3","0","2","3","40.00"
"172","Nikita Kucherov","T.B","R","10","52.516666666667","0","6","3","3","6","85.71","12","0.00","1.07","19","15","11","2","1","1","2","1","1","0","0","1","4","1","2","2","1","0","0","-"
"182","J.T. Miller","VAN","C","10","40.583333333333","2","4","4","0","6","75.00","8","25.00","0.57","14","10","5","1","0","1","4","2","2","0","0","0","1","0","2","1","0","0","1","0.00"
"253","Andre Burakovsky","SEA","L","11","32.683333333333","2","4","2","2","6","75.00","8","25.00","0.65","14","10","4","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","-"
"261","Artturi Lehkonen","COL","L","9","33.483333333333","2","4","0","4","6","60.00","6","33.33","1.04","8","7","8","7","0","1","0","0","0","0","0","0","0","0","2","1","0","0","0","-"
"274","Bo Horvat","VAN","C","10","38.4","4","2","1","1","6","85.71","12","33.33","1.66","16","14","14","4","0","1","0","0","0","0","0","0","0","0","0","0","0","36","17","67.92"
"275","Valeri Nichushkin","COL","R","7","22.366666666667","5","1","0","1","6","66.67","5","100.00","0.81","9","6","9","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"433","Tage Thompson","BUF","R","10","36.65","2","4","1","3","6","75.00","14","14.29","1.28","20","17","11","3","2","1","0","0","0","0","0","0","3","0","0","3","0","1","2","33.33"
"471","Jason Robertson","DAL","L","10","26.95","2","4","0","4","6","100.00","14","14.29","1.85","23","18","13","5","1","2","4","2","2","0","0","0","1","0","0","1","0","0","0","-"
