"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"21","Keith Kinkaid","BOS","1","59.9","31","30","1","0.968","1.00","1.96","2.92","9","8","1","0.889","1.00","0.60","9","9","0","1.000","0.00","0.98","11","11","0","1.000","0.00","0.44","0","5","37.65","8.00"
"31","Linus Ullmark","BOS","19","1081.75","540","508","32","0.941","1.77","19.61","45.25","139","120","19","0.863","1.05","5.73","132","125","7","0.947","0.39","7.30","223","217","6","0.973","0.33","2.91","30","73","38.97","20.69"
"75","Akira Schmid","N.J","6","282.01666666667","133","125","8","0.940","1.70","4.71","13.31","28","24","4","0.857","0.85","0.98","38","36","2","0.947","0.43","2.12","60","58","2","0.967","0.43","0.40","2","20","37.35","19.75"
"24","Magnus Hellberg","OTT","1","60","31","29","2","0.935","2.00","0.96","2.94","12","10","2","0.833","2.00","0.13","6","6","0","1.000","0.00","0.65","13","13","0","1.000","0.00","0.52","3","5","28.45","12.50"
"74","Kevin Lankinen","NSH","7","395.61666666667","229","214","15","0.934","2.27","6.89","21.76","64","58","6","0.906","0.91","5.39","54","50","4","0.926","0.61","1.85","97","92","5","0.948","0.76","-1.12","17","40","36.58","25.80"
"52","Ilya Samsonov","TOR","10","576.36666666667","267","249","18","0.933","1.87","7.52","25.1","75","66","9","0.880","0.94","4.34","72","64","8","0.889","0.83","-0.20","105","104","1","0.990","0.10","3.20","24","43","36.83","18.94"
"30","Connor Hellebuyck","WPG","21","1261.0333333333","700","651","49","0.930","2.33","17.90","66.79","197","166","31","0.843","1.47","4.05","189","180","9","0.952","0.43","11.48","272","263","9","0.967","0.43","1.87","37","103","35.79","20.90"
"39","Pheonix Copley","L.A","2","119.95","55","51","4","0.927","2.00","1.26","5.6","11","10","1","0.909","0.50","0.96","17","16","1","0.941","0.50","0.84","25","23","2","0.920","1.00","-1.00","3","12","36.20","33.25"
"27","Matt Murray","TOR","10","600.13333333333","337","312","25","0.926","2.50","7.21","32.75","95","83","12","0.874","1.20","4.90","102","93","9","0.912","0.90","2.05","127","123","4","0.969","0.40","1.08","34","65","33.15","21.40"
"44","Ilya Sorokin","NYI","20","1142.3166666667","601","556","45","0.925","2.36","12.44","62.58","188","157","31","0.835","1.63","2.45","159","150","9","0.943","0.47","8.23","229","224","5","0.978","0.26","4.15","33","122","33.54","20.04"
"60","Dylan Wells","CHI","1","20","13","12","1","0.923","3.00","0.24","1.62","4","4","0","1.000","0.00","0.71","3","2","1","0.667","3.00","-0.67","5","5","0","1.000","0.00","0.20","1","0","28.00","28.00"
"62","Filip Gustavsson","MIN","10","583.11666666667","300","276","24","0.920","2.47","4.67","25.73","75","65","10","0.867","1.03","3.34","89","79","10","0.888","1.03","-0.36","117","113","4","0.966","0.41","0.68","27","38","35.72","23.58"
"71","Alexandar Georgiev","COL","18","1088.4","601","553","48","0.920","2.65","9.44","51.4","159","137","22","0.862","1.21","6.29","131","118","13","0.901","0.72","1.20","274","261","13","0.953","0.72","-2.05","32","89","36.79","22.19"
"36","Tristan Jarry","PIT","18","1087.4833333333","614","564","50","0.919","2.76","8.68","49.65","160","128","32","0.800","1.77","-3.54","159","149","10","0.937","0.55","7.23","258","250","8","0.969","0.44","2.31","29","68","36.96","19.90"
"64","Stuart Skinner","EDM","16","940.16666666667","541","497","44","0.919","2.81","7.71","53.83","154","132","22","0.857","1.40","5.40","161","144","17","0.894","1.08","0.45","194","189","5","0.974","0.32","2.75","35","74","33.91","21.20"
"76","Spencer Knight","FLA","15","841.35","457","420","37","0.919","2.64","6.68","39.34","120","105","15","0.875","1.07","6.35","118","103","15","0.873","1.07","-2.21","194","187","7","0.964","0.50","0.75","17","55","35.89","23.46"
"77","Pyotr Kochetkov","CAR","11","624.56666666667","282","259","23","0.918","2.21","3.95","27.64","102","89","13","0.873","1.25","5.15","64","57","7","0.891","0.67","-0.06","99","96","3","0.970","0.29","0.96","20","43","32.91","20.09"
"47","Igor Shesterkin","NYR","21","1272.2166666667","637","584","53","0.917","2.50","7.88","59.9","180","152","28","0.844","1.32","4.02","178","161","17","0.904","0.80","2.29","242","234","8","0.967","0.38","1.67","60","81","34.65","20.91"
"70","Logan Thompson","VGK","20","1200.2","647","593","54","0.917","2.70","7.84","55.67","159","133","26","0.836","1.30","2.29","168","152","16","0.905","0.80","2.20","280","269","11","0.961","0.55","0.19","52","90","37.14","22.06"
"9","Semyon Varlamov","NYI","10","583.75","311","285","26","0.916","2.67","3.72","31.33","94","81","13","0.862","1.34","3.72","82","74","8","0.902","0.82","0.89","113","108","5","0.956","0.51","-0.48","28","47","36.01","19.54"
