"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","San Jose Sharks","68","3295.1667","19","36","13","18","51","0.375","3111","3161","49.60","2267","2319","49.43","1601","1661","49.08","142","177","44.51","158.17","143.62","52.41","1759","1642","51.72","993","932","51.58","120","160","42.86","12.08","82.83","789","635","55.41","519","436","54.35","78","85","47.85","15.03","80.50","970","1007","49.06","474","496","48.87","42","75","35.90","8.86","84.88","1135","1294","46.73","544","645","45.75","22","17","56.41","4.04","97.36","8.87","89.34","0.982"
"2","Nashville Predators","65","3076.5333","34","24","7","30","75","0.577","2953","3103","48.76","2153","2298","48.37","1511","1638","47.98","122","116","51.26","141.2","145.51","49.25","1520","1610","48.56","835","924","47.47","100","102","49.50","11.98","88.96","628","647","49.25","425","453","48.41","70","63","52.63","16.47","86.09","892","963","48.09","410","471","46.54","30","39","43.48","7.32","91.72","1224","1263","49.22","610","626","49.35","22","14","61.11","3.61","97.76","8.07","92.92","1.010"
"3","Tampa Bay Lightning","68","3241.55","40","22","6","38","86","0.632","3146","2952","51.59","2367","2213","51.68","1662","1631","50.47","146","129","53.09","156.16","139.88","52.75","1784","1520","54.00","1002","888","53.02","125","109","53.42","12.48","87.73","791","625","55.86","526","461","53.29","93","65","58.86","17.68","85.90","993","895","52.60","476","427","52.71","32","44","42.11","6.72","89.70","1193","1237","49.09","601","673","47.17","20","20","50.00","3.33","97.03","8.78","92.09","1.009"
"4","New York Rangers","67","3262.45","38","19","10","34","86","0.642","3022","2955","50.56","2231","2157","50.84","1599","1553","50.73","139","129","51.87","137.39","140.5","49.44","1526","1550","49.61","825","868","48.73","114","102","52.78","13.82","88.25","625","661","48.60","420","455","48.00","74","67","52.48","17.62","85.27","901","889","50.34","405","413","49.51","40","35","53.33","9.88","91.53","1273","1164","52.24","706","612","53.57","25","27","48.08","3.54","95.59","8.69","91.69","1.004"
"5","Vegas Golden Knights","68","3414.2833","42","20","6","38","90","0.662","3218","3404","48.60","2349","2392","49.55","1711","1686","50.37","149","134","52.65","149.34","141.34","51.38","1594","1647","49.18","943","880","51.73","133","112","54.29","14.10","87.27","696","606","53.46","499","419","54.36","83","66","55.70","16.63","84.25","898","1041","46.31","444","461","49.06","50","46","52.08","11.26","90.02","1314","1487","46.91","665","721","47.98","16","21","43.24","2.41","97.09","8.71","92.05","1.008"
"6","Los Angeles Kings","68","3236.5167","39","20","9","33","87","0.640","3180","2936","51.99","2384","2070","53.52","1713","1432","54.47","142","139","50.53","147.34","131.88","52.77","1669","1505","52.58","968","800","54.75","126","115","52.28","13.02","85.63","704","609","53.62","495","403","55.12","76","76","50.00","15.35","81.14","965","896","51.85","473","397","54.37","50","39","56.18","10.57","90.18","1295","1179","52.34","684","550","55.43","16","24","40.00","2.34","95.64","8.29","90.29","0.986"
"7","Boston Bruins","66","3124.1667","50","11","5","48","105","0.795","2960","2838","51.05","2233","2074","51.85","1652","1503","52.36","162","94","63.28","143.61","124.73","53.52","1624","1435","53.09","964","787","55.05","136","79","63.26","14.11","89.96","672","574","53.93","492","409","54.61","87","48","64.44","17.68","88.26","952","861","52.51","472","378","55.53","49","31","61.25","10.38","91.80","1184","1189","49.89","620","615","50.20","26","15","63.41","4.19","97.56","9.81","93.75","1.036"
"8","Washington Capitals","69","3340.15","33","29","7","31","73","0.529","3266","3187","50.61","2379","2351","50.30","1706","1647","50.88","146","146","50.00","150.14","147.63","50.42","1610","1603","50.11","924","909","50.41","132","121","52.17","14.29","86.69","675","659","50.60","474","444","51.63","83","78","51.55","17.51","82.43","935","944","49.76","450","465","49.18","49","43","53.26","10.89","90.75","1356","1322","50.63","666","653","50.49","14","25","35.90","2.10","96.17","8.56","91.14","0.997"
"9","Columbus Blue Jackets","66","3234.45","21","38","7","20","49","0.371","2906","3493","45.41","2130","2567","45.35","1508","1840","45.04","117","169","40.91","128.78","156.33","45.17","1388","1701","44.93","812","955","45.95","95","140","40.43","11.70","85.34","540","691","43.87","376","472","44.34","53","87","37.86","14.10","81.57","848","1010","45.64","436","483","47.44","42","53","44.21","9.63","89.03","1253","1524","45.12","620","806","43.48","22","29","43.14","3.55","96.40","7.76","90.82","0.986"
"10","Carolina Hurricanes","66","3155.9833","44","14","8","40","96","0.727","3538","2331","60.28","2648","1781","59.79","1788","1283","58.22","142","106","57.26","166.91","110.97","60.06","1738","1138","60.43","962","690","58.23","125","92","57.60","12.99","86.67","781","540","59.12","533","374","58.77","86","58","59.72","16.14","84.49","957","598","61.54","429","316","57.58","39","34","53.42","9.09","89.24","1514","937","61.77","766","486","61.18","17","14","54.84","2.22","97.12","7.94","91.74","0.997"
