"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"398","Connor McDavid","EDM","C","26","594.88333333333","22","26","17","9","48","85.71","101","21.78","12.78","151","131","106","42","6","5","16","8","8","0","0","13","32","19","25","34","9","163","144","53.09"
"338","Leon Draisaitl","EDM","C","26","583.6","17","25","21","4","42","68.85","85","20.00","9.43","139","115","88","30","2","14","14","7","7","0","0","11","40","27","14","37","19","279","236","54.17"
"577","Jason Robertson","DAL","L","25","444.75","23","18","9","9","41","78.85","111","20.72","12.45","179","142","111","50","3","19","8","4","4","0","0","2","21","23","13","24","3","0","0","-"
"192","Nikita Kucherov","T.B","R","24","524.6","11","25","17","8","36","87.80","87","12.64","10.55","172","128","102","32","15","15","20","10","10","0","0","19","33","19","25","38","10","0","0","-"
"354","David Pastrnak","BOS","R","24","479.85","17","18","11","7","35","76.09","121","14.05","11.82","219","163","106","32","6","16","16","7","7","0","0","12","35","16","29","44","5","5","6","45.45"
"72","Erik Karlsson","S.J","D","28","703.1","11","23","14","9","34","62.96","86","12.79","5.24","195","115","84","13","20","14","8","4","4","0","0","7","35","21","12","41","30","0","0","-"
"307","Nathan MacKinnon","COL","C","23","503.5","8","26","15","11","34","69.39","120","6.67","10.95","195","158","109","37","8","11","20","10","10","0","0","16","10","15","20","24","14","196","223","46.78"
"468","Matthew Tkachuk","FLA","L","23","484.11666666667","12","22","12","10","34","72.34","98","12.24","14.42","170","131","109","59","8","21","39","14","12","1","1","14","24","14","17","26","8","6","9","40.00"
"518","Tage Thompson","BUF","C, R","25","467.21666666667","16","18","10","8","34","73.91","112","14.29","11.63","193","150","119","52","6","17","16","8","8","0","0","6","12","13","12","28","7","136","176","43.59"
"17","Sidney Crosby","PIT","C","25","497.2","13","20","11","9","33","80.49","73","17.81","9.13","134","99","87","36","7","14","14","7","7","0","0","5","18","22","31","33","11","271","252","51.82"
"405","Mikko Rantanen","COL","R","23","510.23333333333","15","17","13","4","32","65.31","69","21.74","8.55","118","95","61","25","4","12","16","8","8","0","0","9","10","19","21","26","12","48","78","38.10"
"454","Kirill Kaprizov","MIN","L","24","506.33333333333","16","16","11","5","32","82.05","102","15.69","11.12","177","135","110","39","3","17","15","6","5","1","0","11","13","16","22","43","7","0","2","0.00"
"570","Elias Pettersson","VAN","C","26","517.6","12","20","10","10","32","64.00","84","14.29","9.21","165","122","86","27","3","11","4","2","2","0","0","10","16","25","21","25","28","129","169","43.29"
"433","Mitchell Marner","TOR","R","26","558.41666666667","10","21","10","11","31","73.81","64","15.63","7.53","135","91","66","21","4","8","10","5","5","0","0","6","30","30","23","34","19","0","0","-"
"418","Roope Hintz","DAL","C","24","410.6","11","19","11","8","30","63.83","50","22.00","8.08","91","73","71","36","2","5","8","4","4","0","0","5","14","9","18","28","15","83","72","53.55"
"445","Artemi Panarin","NYR","L","27","551.51666666667","6","24","13","11","30","81.08","64","9.38","6.64","141","101","68","12","1","14","12","6","6","0","0","6","24","8","5","15","3","0","2","0.00"
"66","Steven Stamkos","T.B","C","24","473.63333333333","13","16","11","5","29","60.42","82","15.85","11.61","152","117","98","36","18","16","14","7","7","0","0","4","16","8","25","24","15","150","141","51.55"
"197","Mika Zibanejad","NYR","C","27","566.53333333333","13","16","13","3","29","65.91","110","11.82","13.2","178","152","102","36","6","12","8","4","4","0","0","11","21","19","20","19","8","200","235","45.98"
"399","Jack Eichel","VGK","C","26","487.98333333333","13","16","10","6","29","74.36","99","13.13","9.14","152","118","76","26","4","9","0","0","0","0","0","10","22","15","20","32","23","123","168","42.27"
"637","Brady Tkachuk","OTT","L","24","438.55","12","17","11","6","29","76.32","110","10.91","16.17","169","148","125","78","5","20","41","16","13","3","0","11","14","13","60","29","2","118","100","54.13"
"653","Rasmus Dahlin","BUF","D","24","623.25","8","21","11","10","29","51.79","79","10.13","6.14","126","92","51","14","2","4","36","18","18","0","0","4","17","17","40","35","42","0","0","-"
