"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"361","Connor McDavid","EDM","C","8","169.48333333333","8","10","7","3","18","85.71","29","27.59","3.1","39","33","29","6","4","0","0","0","0","0","0","4","6","6","1","9","4","49","37","56.98"
"312","Leon Draisaitl","EDM","C","8","175.4","5","11","10","1","16","84.21","28","17.86","2.91","42","36","26","9","2","2","4","2","2","0","0","4","11","17","1","13","3","107","83","56.32"
"69","Erik Karlsson","S.J","D","8","197.31666666667","9","6","1","5","15","83.33","32","28.13","1.87","65","40","28","3","7","7","6","3","3","0","0","2","3","7","5","5","6","0","0","-"
"466","Tage Thompson","BUF","R","7","122.3","6","7","4","3","13","86.67","35","17.14","3.37","61","46","37","16","2","4","6","3","3","0","0","2","4","4","0","9","1","31","37","45.59"
"462","Jesper Bratt","N.J","L","8","130.31666666667","5","7","5","2","12","92.31","22","22.73","2.38","35","33","23","9","1","3","0","0","0","0","0","1","6","3","3","5","1","0","0","-"
"145","Zach Hyman","EDM","L","8","151.21666666667","6","5","4","1","11","68.75","36","16.67","6.05","59","48","48","34","2","6","2","1","1","0","0","0","1","7","8","18","1","0","0","-"
"185","Nikita Kucherov","T.B","R","7","161.76666666667","5","6","4","2","11","73.33","23","21.74","2.26","41","31","23","7","3","2","6","3","3","0","0","5","9","3","11","9","6","0","0","-"
"186","Ryan Nugent-Hopkins","EDM","C","8","151.11666666667","4","7","2","5","11","55.00","19","21.05","2.13","29","25","22","11","1","2","4","2","2","0","0","1","2","5","6","8","5","16","20","44.44"
"211","Hampus Lindholm","BOS","D","7","169.26666666667","3","8","6","2","11","61.11","15","20.00","1.52","26","17","10","2","0","2","10","5","5","0","0","0","8","3","11","19","7","0","0","-"
"324","David Pastrnak","BOS","R","7","137.65","5","6","2","4","11","73.33","37","13.51","3.51","67","49","36","9","1","7","4","2","2","0","0","3","12","4","12","13","2","2","1","66.67"
"563","Brady Tkachuk","OTT","L","7","121.35","4","7","4","3","11","91.67","22","18.18","2.16","36","28","24","14","1","6","17","7","6","1","0","4","2","3","16","9","0","32","24","57.14"
"362","Jack Eichel","VGK","C","8","151.21666666667","4","6","4","2","10","71.43","31","12.90","2.43","45","35","22","6","1","4","0","0","0","0","0","3","5","1","5","6","3","43","57","43.00"
"423","Matthew Tkachuk","FLA","L","7","156","3","7","5","2","10","76.92","42","7.14","5.68","65","51","42","22","3","11","10","5","5","0","0","3","8","2","7","12","2","3","5","37.50"
"517","Jason Robertson","DAL","L","8","135.15","6","4","0","4","10","76.92","22","27.27","2.51","39","32","23","10","1","2","4","2","2","0","0","1","8","6","1","8","0","0","0","-"
"576","Rasmus Dahlin","BUF","D","7","184.43333333333","3","7","3","4","10","58.82","23","13.04","2.24","41","31","15","3","2","2","8","4","4","0","0","0","4","4","15","13","17","0","0","-"
"53","Patrick Kane","CHI","R","8","162.4","2","7","1","6","9","81.82","19","10.53","1.88","44","28","18","5","1","1","2","1","1","0","0","1","10","5","2","1","1","0","0","-"
"91","John Tavares","TOR","C","7","124.78333333333","6","3","2","1","9","90.00","31","19.35","5.31","48","41","35","26","0","9","2","1","1","0","0","1","3","6","6","13","3","72","57","55.81"
"94","Evander Kane","EDM","L","8","161.08333333333","5","4","2","2","9","60.00","32","15.63","3.71","61","43","36","13","1","4","12","6","6","0","0","3","6","3","26","15","6","1","6","14.29"
"136","Brock Nelson","NYI","C","8","145.28333333333","5","4","3","1","9","69.23","27","18.52","2.51","40","33","23","7","1","0","2","1","1","0","0","2","5","6","5","5","2","43","63","40.57"
"144","Jeff Skinner","BUF","L","7","111.51666666667","2","7","4","3","9","69.23","17","11.76","2.62","39","28","28","15","3","6","0","0","0","0","0","3","4","4","3","4","1","22","10","68.75"
"223","Filip Forsberg","NSH","L","6","102.91666666667","2","7","3","4","9","81.82","22","9.09","2.1","39","34","20","5","0","2","0","0","0","0","0","4","6","4","10","4","2","0","0","-"
"255","Dominik Kubalik","DET","L","7","110.61666666667","3","6","5","1","9","90.00","17","17.65","2.05","29","23","17","6","1","1","2","1","1","0","0","1","4","1","10","4","5","6","2","75.00"
"291","Bo Horvat","VAN","C","7","142.38333333333","7","2","2","0","9","69.23","26","26.92","3.39","35","31","27","12","1","2","0","0","0","0","0","1","0","7","3","7","2","104","64","61.90"
"318","Dylan Larkin","DET","C","7","139.3","5","4","0","4","9","75.00","16","31.25","3.04","28","24","17","8","0","1","4","2","2","0","0","5","5","9","7","9","6","63","66","48.84"
"334","Brayden Point","T.B","C","7","154.15","4","5","2","3","9","64.29","20","20.00","3.48","37","31","32","19","1","4","2","1","1","0","0","0","3","6","5","10","5","41","45","47.67"
"379","Roope Hintz","DAL","C","8","130.71666666667","3","6","2","4","9","69.23","17","17.65","2.65","32","26","26","15","1","4","2","1","1","0","0","1","2","1","5","15","7","26","29","47.27"
"412","Troy Terry","ANA","R","7","141.43333333333","2","7","3","4","9","90.00","22","9.09","2.92","44","34","30","12","2","7","6","3","3","0","0","6","2","6","2","7","4","0","0","-"
"506","Nico Hischier","N.J","C","8","151.45","4","5","2","3","9","64.29","27","14.81","4.01","46","36","29","17","2","4","2","1","1","0","0","4","6","11","4","16","6","105","62","62.87"
"510","Elias Pettersson","VAN","C","7","144.88333333333","2","7","2","5","9","60.00","20","10.00","2.26","38","29","21","8","0","1","2","1","1","0","0","2","2","10","7","6","11","38","37","50.67"
"522","Martin Necas","CAR","C","7","143.88333333333","4","5","2","3","9","90.00","21","19.05","1.89","38","29","22","10","0","3","4","2","2","0","0","3","3","5","6","11","1","30","27","52.63"
"11","Evgeni Malkin","PIT","C","8","153.95","2","6","3","3","8","88.89","22","9.09","2.78","40","31","25","9","1","2","4","2","2","0","0","2","7","13","4","11","0","47","51","47.96"
"42","Jamie Benn","DAL","L","8","114.25","1","7","6","1","8","66.67","25","4.00","3.37","39","29","26","13","1","2","4","2","2","0","0","1","5","4","14","6","3","43","38","53.09"
"93","Matt Duchene","NSH","C","6","107.13333333333","2","6","4","2","8","66.67","15","13.33","2.42","27","22","15","4","1","1","2","1","1","0","0","2","6","6","3","5","3","12","7","63.16"
"118","Anders Lee","NYI","L","8","126.6","5","3","2","1","8","80.00","24","20.83","2.83","26","26","17","12","3","4","13","5","4","1","0","2","1","3","15","8","5","7","5","58.33"
"147","Taylor Hall","BOS","L","7","117.78333333333","4","4","3","1","8","80.00","18","22.22","2.12","28","21","20","8","1","3","4","2","2","0","0","3","6","3","4","15","4","1","1","50.00"
"317","Kevin Fiala","L.A","L","8","134.93333333333","2","6","4","2","8","88.89","16","12.50","1.25","24","19","15","7","1","3","6","3","3","0","0","3","5","3","3","9","3","3","2","60.00"
"378","Mathew Barzal","NYI","C","8","144.16666666667","0","8","6","2","8","66.67","22","0.00","2.61","32","27","22","9","1","7","4","2","2","0","0","0","4","9","6","6","4","15","31","32.61"
"410","Kirill Kaprizov","MIN","L","8","172.06666666667","5","3","2","1","8","72.73","30","16.67","3.65","58","43","34","11","2","5","4","2","2","0","0","3","7","5","6","15","4","0","1","0.00"
"425","Auston Matthews","TOR","C","7","151.11666666667","3","5","3","2","8","80.00","35","8.57","5.21","65","54","48","20","1","7","8","4","4","0","0","5","6","5","13","13","3","40","49","44.94"
"436","Clayton Keller","ARI","R","7","135.85","2","6","3","3","8","100.00","14","14.29","1.68","28","21","16","3","0","3","0","0","0","0","0","0","6","8","2","3","1","2","5","28.57"
"463","Mikhail Sergachev","T.B","D","7","169.71666666667","2","6","4","2","8","80.00","12","16.67","0.61","25","15","9","2","1","1","12","6","6","0","0","3","5","7","9","11","17","0","0","-"
"513","Nick Suzuki","MTL","C","7","132.83333333333","4","4","2","2","8","66.67","16","25.00","1.45","24","21","15","6","1","3","2","1","1","0","0","4","1","5","2","6","4","38","43","46.91"
"614","Cole Caufield","MTL","R","7","115.93333333333","4","4","2","2","8","72.73","27","14.81","2.75","40","36","21","8","3","1","0","0","0","0","0","1","1","3","4","11","0","0","0","-"
"618","Jack Hughes","N.J","C","8","145.61666666667","4","4","2","2","8","61.54","34","11.76","4.62","57","43","37","11","7","2","0","0","0","0","0","0","6","4","1","14","2","10","24","29.41"
"674","Andrei Kuzmenko","VAN","L","7","112.56666666667","5","3","1","2","8","61.54","20","25.00","2.51","30","24","23","14","1","4","0","0","0","0","0","1","4","3","0","6","4","0","0","-"
"5","Brent Burns","CAR","D","7","166.41666666667","2","5","2","3","7","63.64","29","6.90","1.34","57","37","15","1","1","6","8","4","4","0","0","3","5","6","4","8","6","0","0","-"
"8","Joe Pavelski","DAL","C","8","129.41666666667","4","3","2","1","7","50.00","19","21.05","1.99","29","23","22","13","1","4","2","1","1","0","0","1","5","3","10","5","5","31","35","46.97"
"40","Jonathan Toews","CHI","C","8","141.01666666667","5","2","1","1","7","77.78","14","35.71","2.02","17","16","12","8","0","0","4","2","2","0","0","0","8","2","0","4","6","89","59","60.14"
"125","Mats Zuccarello","MIN","R","8","164.28333333333","3","4","4","0","7","77.78","21","14.29","1.76","41","31","19","7","1","3","2","1","1","0","0","1","7","6","3","4","3","0","1","0.00"
"135","Justin Faulk","STL","D","7","163.9","1","6","3","3","7","77.78","22","4.55","1.69","37","28","11","2","1","2","4","2","2","0","0","0","6","5","10","12","10","0","0","-"
"143","Jaden Schwartz","SEA","C","7","122.7","3","4","3","1","7","77.78","16","18.75","2.86","32","23","22","11","2","2","0","0","0","0","0","1","4","8","6","11","1","6","5","54.55"
"158","Mark Stone","VGK","R","8","159.46666666667","3","4","2","2","7","63.64","24","12.50","3.45","38","30","34","23","1","4","0","0","0","0","0","3","3","4","9","10","4","0","1","0.00"
"183","William Karlsson","VGK","C","8","139.78333333333","3","4","4","0","7","77.78","15","20.00","3.42","34","25","27","13","2","4","0","0","0","0","0","1","3","4","6","13","7","60","48","55.56"
"195","J.T. Miller","VAN","C","7","147.6","4","3","3","0","7","58.33","14","28.57","1.92","26","19","12","3","0","1","11","4","3","1","0","5","3","5","18","4","4","7","14","33.33"
