"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"370","Connor McDavid","EDM","C","9","201.05","9","9","8","1","18","85.71","30","30.00","4.28","42","37","29","11","3","1","4","2","2","0","0","5","11","6","10","13","4","50","43","53.76"
"331","David Pastrnak","BOS","R","9","176.13333333333","7","10","5","5","17","89.47","50","14.00","4.81","88","65","49","15","5","7","4","2","2","0","0","6","16","6","11","16","3","3","2","60.00"
"316","Leon Draisaitl","EDM","C","9","201.23333333333","4","12","9","3","16","72.73","29","13.79","3.12","46","39","31","7","2","5","6","3","3","0","0","4","17","19","2","16","6","117","98","54.42"
"409","Artemi Panarin","NYR","L","9","186.28333333333","4","9","4","5","13","86.67","26","15.38","2.64","51","39","22","4","1","4","6","3","3","0","0","5","10","3","3","5","2","0","0","-"
"432","Matthew Tkachuk","FLA","L","9","191.31666666667","5","8","5","3","13","76.47","46","10.87","7.15","79","57","49","27","5","14","18","9","9","0","0","8","9","0","6","10","3","6","6","50.00"
"471","Jesper Bratt","N.J","L","8","137.91666666667","3","10","8","2","13","92.86","24","12.50","2.12","46","35","29","7","2","6","2","1","1","0","0","2","4","4","1","7","1","0","0","-"
"126","Mats Zuccarello","MIN","R","8","163.51666666667","5","7","5","2","12","80.00","31","16.13","2.5","53","42","26","9","1","5","4","2","2","0","0","2","10","5","5","2","4","3","4","42.86"
"184","Nikita Kucherov","T.B","R","9","202.01666666667","3","9","6","3","12","75.00","27","11.11","2.73","51","38","30","9","2","6","6","3","3","0","0","6","8","7","6","6","6","0","0","-"
"286","Nathan MacKinnon","COL","C","9","203.93333333333","3","9","5","4","12","63.16","45","6.67","4.06","74","61","45","15","3","4","10","5","5","0","0","6","3","6","13","10","5","95","84","53.07"
"295","Valeri Nichushkin","COL","R","7","143.21666666667","7","5","2","3","12","75.00","26","26.92","2.53","42","30","22","13","2","0","0","0","0","0","0","1","1","1","12","6","5","0","1","0.00"
"17","Sidney Crosby","PIT","C","9","179.91666666667","4","7","3","4","11","78.57","31","12.90","3.84","47","38","33","14","2","7","4","2","2","0","0","2","10","9","14","11","4","78","91","46.15"
"71","Erik Karlsson","S.J","D","11","261.33333333333","6","5","1","4","11","64.71","27","22.22","1.78","67","36","27","3","5","5","4","2","2","0","0","2","10","6","5","12","9","0","0","-"
"146","Zach Hyman","EDM","L","9","175.25","6","5","3","2","11","57.89","29","20.69","4.94","50","39","36","22","1","3","4","2","2","0","0","2","3","5","10","19","3","1","2","33.33"
