"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"51","Filip Gustavsson","MIN","3","179.58333333333","80","77","3","0.963","1.00","4.29","8.73","24","21","3","0.875","1.00","0.93","22","22","0","1.000","0.00","2.41","31","31","0","1.000","0.00","1.13","4","20","34.30","8.33"
"4","Brian Elliott","T.B","2","119.6","61","58","3","0.951","1.51","2.56","4.61","13","11","2","0.846","1.00","0.13","17","17","0","1.000","0.00","1.86","29","28","1","0.966","0.50","0.05","6","8","35.97","17.00"
"22","Andrei Vasilevskiy","T.B","5","297.33333333333","148","140","8","0.946","1.61","5.48","14.79","46","43","3","0.935","0.61","4.53","36","32","4","0.889","0.81","-0.06","61","60","1","0.984","0.20","1.22","7","23","34.60","22.50"
"52","David Rittich","WPG","3","178.51666666667","93","88","5","0.946","1.68","3.47","7.67","19","17","2","0.895","0.67","1.11","21","18","3","0.857","1.01","-0.70","51","51","0","1.000","0.00","1.85","5","11","35.47","19.60"
"30","Tristan Jarry","PIT","5","301.05","159","150","9","0.943","1.79","5.49","12.17","40","36","4","0.900","0.80","2.55","41","37","4","0.902","0.80","0.49","65","64","1","0.985","0.20","1.36","6","20","39.69","19.78"
"39","Igor Shesterkin","NYR","6","364.61666666667","174","164","10","0.943","1.65","5.85","16","49","43","6","0.878","0.99","2.02","51","48","3","0.941","0.49","2.59","68","67","1","0.985","0.16","1.47","18","14","33.10","21.70"
"1","Craig Anderson","BUF","3","180.96666666667","104","98","6","0.942","1.99","3.47","8.96","28","25","3","0.893","0.99","1.59","33","32","1","0.970","0.33","2.61","41","39","2","0.951","0.66","-0.51","8","7","35.79","26.00"
"44","Ilya Samsonov","TOR","3","179.96666666667","85","80","5","0.941","1.67","2.74","6.59","19","17","2","0.895","0.67","1.11","19","18","1","0.947","0.33","1.08","38","36","2","0.947","0.67","-0.62","6","12","39.76","22.00"
"66","Pyotr Kochetkov","CAR","6","361.91666666667","153","144","9","0.941","1.49","4.94","13.9","43","39","4","0.907","0.66","3.04","42","37","5","0.881","0.83","-0.40","54","54","0","1.000","0.00","1.96","21","22","38.03","19.33"
"19","Jordan Binnington","STL","4","257.41666666667","117","110","7","0.940","1.63","3.66","13.62","43","38","5","0.884","1.17","2.04","32","30","2","0.938","0.47","1.51","36","36","0","1.000","0.00","1.31","10","18","31.53","14.43"
