"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"62","Jake Oettinger","DAL","7","385.25","186","177","9","0.952","1.40","8.54","17.27","44","41","3","0.932","0.47","4.95","44","42","2","0.955","0.31","2.58","92","88","4","0.957","0.62","-0.52","8","19","35.37","26.56"
"58","Carter Hart","PHI","8","488.15","296","280","16","0.946","1.97","11.91","30.82","88","85","3","0.966","0.37","12.90","90","82","8","0.911","0.98","1.37","107","102","5","0.953","0.61","-0.96","25","64","33.74","26.31"
"42","Ville Husso","DET","8","484.55","253","238","15","0.941","1.86","8.85","21.4","57","52","5","0.912","0.62","5.30","68","59","9","0.868","1.11","-1.92","107","106","1","0.991","0.12","3.04","14","42","37.97","20.27"
"68","Kevin Lankinen","NSH","4","219.85","117","110","7","0.940","1.91","4.03","11.69","30","27","3","0.900","0.82","2.42","33","31","2","0.939","0.55","1.44","46","44","2","0.957","0.55","-0.26","9","24","36.80","23.71"
"29","Connor Hellebuyck","WPG","10","605.61666666667","321","301","20","0.938","1.98","10.26","32.65","90","77","13","0.856","1.29","3.26","95","92","3","0.968","0.30","6.89","122","118","4","0.967","0.40","0.61","15","58","34.60","19.30"
"23","Magnus Hellberg","OTT","1","60","31","29","2","0.935","2.00","0.92","2.94","12","10","2","0.833","2.00","0.17","6","6","0","1.000","0.00","0.62","13","13","0","1.000","0.00","0.49","3","5","28.45","12.50"
"41","Ilya Sorokin","NYI","10","544.83333333333","299","279","20","0.933","2.20","8.19","31.46","95","83","12","0.874","1.32","5.17","82","76","6","0.927","0.66","2.54","110","108","2","0.982","0.22","2.16","24","59","33.33","21.35"
"30","Linus Ullmark","BOS","11","616.13333333333","310","289","21","0.932","2.05","8.23","25.78","73","60","13","0.822","1.27","0.19","85","79","6","0.929","0.58","2.85","120","118","2","0.983","0.19","2.53","12","39","39.35","18.95"
"48","Sam Montembeault","MTL","5","302.56666666667","171","159","12","0.930","2.38","4.12","16.89","49","42","7","0.857","1.39","1.85","52","50","2","0.962","0.40","3.42","64","61","3","0.953","0.59","-0.58","7","29","32.15","21.75"
"65","Logan Thompson","VGK","9","537.05","272","253","19","0.930","2.12","6.64","24.7","72","61","11","0.847","1.23","2.01","66","62","4","0.939","0.45","2.87","115","112","3","0.974","0.34","1.35","19","41","37.89","23.58"
"61","Stuart Skinner","EDM","6","344.06666666667","208","193","15","0.928","2.62","4.61","20.34","51","45","6","0.882","1.05","3.22","73","65","8","0.890","1.40","-0.40","72","71","1","0.986","0.17","1.72","15","28","34.75","23.47"
"1","Craig Anderson","BUF","4","239.9","124","115","9","0.927","2.25","2.69","11.24","30","26","4","0.867","1.00","1.42","37","33","4","0.892","1.00","-0.15","49","48","1","0.980","0.25","0.85","5","16","38.81","16.11"
"50","Adin Hill","VGK","5","304.43333333333","147","136","11","0.925","2.17","2.86","10.61","30","25","5","0.833","0.99","0.42","47","41","6","0.872","1.18","-1.11","60","60","0","1.000","0.00","2.27","12","15","40.13","19.64"
"66","Alexandar Georgiev","COL","8","482.13333333333","279","258","21","0.925","2.61","5.30","26.47","80","70","10","0.875","1.24","4.46","69","63","6","0.913","0.75","1.19","117","112","5","0.957","0.62","-0.58","15","49","34.31","21.00"
