"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"17","Sidney Crosby","PIT","C","7","130.05","5","8","5","3","13","100.00","17","29.41","2.54","44","28","31","14","2","6","2","1","1","0","0","2","1","6","5","13","1","91","66","57.96"
"450","Jordan Kyrou","STL","C","9","153.56666666667","5","8","5","3","13","86.67","34","14.71","3.13","50","38","39","15","0","4","2","1","1","0","0","1","9","11","1","15","5","0","1","0.00"
"507","Jason Robertson","DAL","L","8","155.13333333333","9","4","3","1","13","81.25","38","23.68","4.8","67","51","41","20","1","8","4","2","2","0","0","1","8","10","3","8","2","0","0","-"
"42","Jamie Benn","DAL","L","8","128.18333333333","4","8","4","4","12","66.67","17","23.53","1.91","25","21","18","10","2","4","5","1","0","1","0","2","3","6","7","6","5","54","36","60.00"
"257","Pavel Buchnevich","STL","L","9","165.6","5","7","3","4","12","80.00","21","23.81","2.65","37","30","26","16","0","2","6","3","3","0","0","1","4","4","8","10","1","1","7","12.50"
"421","Matthew Tkachuk","FLA","L","7","142.28333333333","5","7","3","4","12","63.16","21","23.81","3.4","32","27","22","14","2","3","7","2","1","1","0","6","9","8","5","9","4","0","0","-"
"63","Steven Stamkos","T.B","C","6","117.36666666667","5","6","3","3","11","61.11","16","31.25","2.46","32","25","22","6","2","2","2","1","1","0","0","2","6","2","4","4","2","40","32","55.56"
"177","Nikita Kucherov","T.B","R","6","136.03333333333","3","8","6","2","11","100.00","26","11.54","3.92","56","41","35","12","6","7","4","2","2","0","0","6","10","5","6","13","1","0","0","-"
"316","Alex Tuch","BUF","R","7","136.06666666667","3","8","3","5","11","84.62","17","17.65","1.66","30","24","15","6","0","1","2","1","1","0","0","0","2","3","5","7","3","1","5","16.67"
"423","Auston Matthews","TOR","C","8","149.33333333333","4","7","5","2","11","64.71","30","13.33","3.25","56","46","36","12","1","5","2","1","1","0","0","0","8","7","7","10","18","66","51","56.41"
"612","Jack Hughes","N.J","C","8","145.05","7","4","2","2","11","84.62","37","18.92","3.29","53","42","30","7","4","4","0","0","0","0","0","2","6","6","2","9","1","5","18","21.74"
"69","Erik Karlsson","S.J","D","7","172.75","1","9","8","1","10","58.82","22","4.55","1.63","56","29","28","6","6","4","2","1","1","0","0","2","11","8","2","14","10","0","0","-"
"88","John Tavares","TOR","C","8","133.83333333333","4","6","3","3","10","83.33","24","16.67","2.65","33","27","21","14","1","1","6","3","3","0","0","0","6","6","11","11","3","85","59","59.03"
"134","Cam Fowler","ANA","D","7","178.15","2","8","3","5","10","83.33","16","12.50","1.1","43","22","17","3","1","3","0","0","0","0","0","2","2","6","3","4","4","0","0","-"
"139","Jeff Skinner","BUF","L","7","122.95","7","3","1","2","10","71.43","24","29.17","2.85","41","30","22","15","2","5","6","3","3","0","0","4","6","4","2","9","2","13","17","43.33"
"161","Johnny Gaudreau","CBJ","L","7","134.76666666667","2","8","4","4","10","83.33","22","9.09","2.39","34","28","15","3","0","5","2","1","1","0","0","0","5","2","2","2","4","0","0","-"
"310","William Nylander","TOR","R","8","143.68333333333","7","3","1","2","10","66.67","21","33.33","3.51","39","31","19","11","0","2","4","2","2","0","0","1","4","11","0","15","1","1","3","25.00"
"390","Mitchell Marner","TOR","R","8","159.96666666667","4","6","4","2","10","66.67","23","17.39","1.92","38","27","20","6","0","2","0","0","0","0","0","4","9","7","4","5","10","0","0","-"
"409","Kirill Kaprizov","MIN","L","6","128.55","3","7","5","2","10","100.00","30","10.00","3.32","49","38","26","12","1","6","0","0","0","0","0","2","4","3","6","11","3","0","1","0.00"
"505","Robert Thomas","STL","C","8","143.23333333333","2","8","7","1","10","76.92","13","15.38","1.07","20","16","13","6","0","2","2","1","1","0","0","4","4","6","4","11","3","68","51","57.14"
"667","Andrei Kuzmenko","VAN","L","6","94.966666666667","4","6","3","3","10","83.33","11","36.36","1.75","22","16","16","11","1","0","0","0","0","0","0","2","3","2","2","3","2","0","0","-"
"49","Logan Couture","S.J","C","7","131.28333333333","6","3","1","2","9","69.23","20","30.00","2.85","35","27","24","12","3","3","0","0","0","0","0","0","4","5","13","7","7","50","71","41.32"
"377","Mathew Barzal","NYI","C","7","129.25","2","7","2","5","9","90.00","11","18.18","1.33","30","18","19","4","0","2","6","3","3","0","0","2","6","6","6","4","3","15","35","30.00"
"461","Tage Thompson","BUF","C, R","7","140.88333333333","3","6","4","2","9","60.00","38","7.89","3.36","58","47","38","15","2","5","4","2","2","0","0","1","4","6","7","6","2","42","55","43.30"
"501","Elias Pettersson","VAN","C","6","114.43333333333","5","4","2","2","9","69.23","22","22.73","1.9","41","29","23","7","2","2","2","1","1","0","0","3","3","7","3","2","7","33","45","42.31"
"643","Tim Stützle","OTT","L","7","144.06666666667","3","6","2","4","9","81.82","15","20.00","2.9","36","24","21","7","1","4","6","3","3","0","0","5","7","5","7","9","5","19","32","37.25"
"654","Matty Beniers","SEA","C","5","82","2","7","3","4","9","90.00","9","22.22","1.15","14","12","8","3","1","1","0","0","0","0","0","2","4","4","4","7","2","30","31","49.18"
"14","David Krejci","BOS","C","5","89.983333333333","6","2","0","2","8","80.00","11","54.55","1.51","18","14","13","5","0","1","2","1","1","0","0","0","6","0","2","7","4","24","31","43.64"
"41","Alex Killorn","T.B","L","6","110.55","3","5","2","3","8","72.73","14","21.43","1.81","25","19","18","11","1","3","0","0","0","0","0","1","8","5","2","13","1","0","0","-"
"64","Alex Pietrangelo","VGK","D","7","163.41666666667","2","6","3","3","8","88.89","15","13.33","0.71","24","20","8","1","0","1","0","0","0","0","0","0","7","3","5","17","17","0","0","-"
"133","Kevin Hayes","PHI","C","7","132.53333333333","3","5","4","1","8","100.00","16","18.75","1.66","28","22","12","4","0","4","4","2","2","0","0","4","2","3","4","8","3","45","43","51.14"
"187","J.T. Miller","VAN","C","6","126.43333333333","2","6","4","2","8","72.73","14","14.29","1.23","31","19","17","4","0","1","4","2","2","0","0","1","3","4","9","5","2","3","5","37.50"
"273","Artturi Lehkonen","COL","L","6","138.2","3","5","0","5","8","72.73","15","20.00","1.79","31","24","14","8","0","3","2","1","1","0","0","2","0","1","8","14","7","0","2","0.00"
"287","Josh Morrissey","WPG","D","6","143.55","3","5","4","1","8","50.00","14","21.43","0.88","23","19","8","2","0","2","0","0","0","0","0","1","3","3","6","3","6","0","0","-"
"305","Aaron Ekblad","FLA","D","7","173.51666666667","3","5","3","2","8","50.00","23","13.04","1.42","44","30","13","3","0","4","4","2","2","0","0","0","12","4","9","9","13","0","0","-"
"306","Sam Reinhart","FLA","C","7","131.71666666667","4","4","3","1","8","66.67","17","23.53","1.4","24","19","13","7","1","1","0","0","0","0","0","0","6","6","3","15","4","21","11","65.63"
"334","Viktor Arvidsson","L.A","R","7","115.68333333333","1","7","6","1","8","88.89","9","11.11","1.46","24","16","14","7","1","0","2","1","1","0","0","1","2","0","2","20","7","2","2","50.00"
"337","Michael Bunting","TOR","L","8","123.9","2","6","5","1","8","66.67","11","18.18","1.33","20","16","15","7","1","2","8","4","4","0","0","5","2","5","10","12","6","0","0","-"
"355","Kyle Connor","WPG","L","6","120.45","6","2","1","1","8","100.00","24","25.00","2.94","41","31","31","15","1","2","0","0","0","0","0","0","0","3","2","3","1","0","0","-"
"363","Timo Meier","S.J","R","7","143.76666666667","5","3","1","2","8","72.73","33","15.15","3.41","61","46","38","18","2","7","2","1","1","0","0","3","8","4","21","7","2","7","2","77.78"
"427","Charlie McAvoy","BOS","D","5","117.05","1","7","2","5","8","80.00","10","10.00","0.79","16","13","6","2","1","2","4","2","2","0","0","1","4","4","9","6","3","0","0","-"
"458","Mikhail Sergachev","T.B","D","6","149.28333333333","0","8","2","6","8","72.73","6","0.00","0.4","22","13","9","0","2","2","2","1","1","0","0","0","3","10","8","7","12","0","0","-"
"463","Filip Hronek","DET","D","6","128.5","5","3","1","2","8","66.67","13","38.46","0.89","32","21","9","2","0","2","0","0","0","0","0","2","5","1","6","3","7","0","0","-"
"496","Nico Hischier","N.J","C","8","161.3","2","6","4","2","8","72.73","25","8.00","3.59","42","32","29","12","5","4","0","0","0","0","0","2","5","2","1","8","4","89","75","54.27"
"592","Yegor Sharangovich","N.J","C","8","111.68333333333","5","3","3","0","8","100.00","18","27.78","2.75","28","23","20","7","6","3","2","1","1","0","0","1","2","7","3","6","6","1","2","33.33"
"641","Dawson Mercer","N.J","C","8","114.21666666667","1","7","5","2","8","80.00","13","7.69","3.87","23","21","14","10","4","1","2","1","1","0","0","1","2","5","4","12","7","4","4","50.00"
"8","Joe Pavelski","DAL","C","8","148.71666666667","2","5","2","3","7","50.00","23","8.70","3.35","41","33","32","22","2","5","0","0","0","0","0","3","4","2","7","5","8","47","39","54.65"
"10","Alex Ovechkin","WSH","L","6","129.4","3","4","1","3","7","77.78","29","10.34","3.14","52","41","23","10","0","7","6","3","3","0","0","1","5","4","16","3","1","0","1","0.00"
"72","Roman Josi","NSH","D","5","131.38333333333","1","6","1","5","7","70.00","27","3.70","2.09","41","32","18","3","0","1","2","1","1","0","0","2","2","1","5","11","13","0","0","-"
"73","Justin Schultz","SEA","D","5","91.983333333333","2","5","3","2","7","70.00","8","25.00","0.47","16","10","4","1","0","1","4","2","2","0","0","0","2","2","1","4","5","0","0","-"
"144","Tyler Seguin","DAL","C","8","134.28333333333","1","6","4","2","7","63.64","15","6.67","2.28","18","18","15","10","0","0","4","2","2","0","0","1","0","4","6","8","3","65","43","60.19"
"171","Boone Jenner","CBJ","C","7","136.25","5","2","1","1","7","58.33","22","22.73","2.73","33","29","22","13","1","2","2","1","1","0","0","5","3","2","10","5","10","99","66","60.00"
"196","Jonathan Marchessault","VGK","C","8","128.26666666667","2","5","3","2","7","87.50","33","6.06","3.02","54","41","27","8","2","5","7","2","1","1","0","2","0","6","9","9","1","0","2","0.00"
"213","Tomas Hertl","S.J","C","7","141.08333333333","1","6","3","3","7","46.67","12","8.33","1.92","29","19","20","8","2","3","2","1","1","0","0","0","4","6","9","4","7","80","68","54.05"
"263","Nicholas Paul","T.B","L","6","109.05","4","3","3","0","7","63.64","10","40.00","2","19","17","13","7","3","2","4","2","2","0","0","1","6","9","18","10","4","45","37","54.88"
