"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"393","Connor McDavid","EDM","C","19","423.96666666667","16","19","13","6","35","87.50","76","21.05","9.1","109","93","76","29","4","2","12","6","6","0","0","11","24","14","22","26","8","122","104","53.98"
"334","Leon Draisaitl","EDM","C","19","419.95","11","20","16","4","31","67.39","62","17.74","6.59","96","79","62","22","2","10","10","5","5","0","0","6","27","24","10","25","17","223","192","53.73"
"72","Erik Karlsson","S.J","D","21","531.15","11","18","10","8","29","67.44","68","16.18","3.75","152","87","62","11","15","13","8","4","4","0","0","5","25","16","9","34","20","0","0","-"
"350","David Pastrnak","BOS","R","19","374.08333333333","12","17","10","7","29","74.36","98","12.24","9.86","180","134","88","27","6","14","12","6","6","0","0","10","30","12","19","36","3","4","6","40.00"
"566","Jason Robertson","DAL","L","19","325.51666666667","14","15","7","8","29","78.38","77","18.18","7.77","121","98","71","31","2","11","6","3","3","0","0","2","19","11","12","19","0","0","0","-"
"192","Nikita Kucherov","T.B","R","19","411.23333333333","10","18","11","7","28","84.85","75","13.33","9.56","144","107","90","29","13","14","16","8","8","0","0","13","29","16","20","32","8","0","0","-"
"17","Sidney Crosby","PIT","C","19","380.55","10","17","11","6","27","81.82","50","20.00","6.48","97","68","63","25","6","13","12","6","6","0","0","4","14","16","23","19","10","203","191","51.52"
"303","Nathan MacKinnon","COL","C","17","381.86666666667","5","21","13","8","26","66.67","87","5.75","7.72","144","120","82","28","5","9","16","8","8","0","0","14","7","12","17","23","10","152","174","46.63"
"400","Mikko Rantanen","COL","R","17","372.95","11","15","12","3","26","70.27","53","20.75","6.92","92","74","46","20","4","9","14","7","7","0","0","7","8","14","17","21","10","36","51","41.38"
"462","Matthew Tkachuk","FLA","L","17","362.35","8","17","10","7","25","71.43","77","10.39","11.73","139","103","88","45","5","19","37","13","11","1","1","13","19","7","15","16","4","6","8","42.86"
"394","Jack Eichel","VGK","C","20","369.15","10","14","9","5","24","72.73","73","13.70","6.97","112","87","58","21","2","5","0","0","0","0","0","8","17","13","15","24","14","91","131","40.99"
"506","Jesper Bratt","N.J","L","19","323.36666666667","8","16","12","4","24","82.76","48","16.67","5.22","93","74","61","16","6","9","4","2","2","0","0","3","13","6","6","15","5","0","0","-"
"413","Roope Hintz","DAL","C","18","300.33333333333","8","15","8","7","23","67.65","37","21.62","5.75","66","56","52","27","2","4","6","3","3","0","0","2","10","7","12","25","14","60","61","49.59"
"428","Mitchell Marner","TOR","R","20","431.75","4","19","8","11","23","71.88","42","9.52","4.34","96","64","43","13","3","6","8","4","4","0","0","3","27","20","19","27","10","0","0","-"
"559","Elias Pettersson","VAN","C","19","382.8","10","13","4","9","23","60.53","58","17.24","6.56","116","84","61","20","1","8","2","1","1","0","0","6","11","17","17","19","22","87","115","43.07"
"562","Nick Suzuki","MTL","C","18","372.55","11","12","8","4","23","69.70","40","27.50","3.7","62","51","38","14","1","8","4","2","2","0","0","8","12","7","9","19","10","115","123","48.32"
"573","Martin Necas","CAR","C","19","371.13333333333","9","14","11","3","23","76.67","60","15.00","5.67","106","86","57","24","2","8","10","5","5","0","0","3","15","16","16","20","5","55","66","45.45"
"95","John Tavares","TOR","C","20","344.56666666667","11","11","7","4","22","78.57","65","16.92","9.8","108","92","76","48","2","13","10","5","5","0","0","2","18","19","31","33","9","184","137","57.32"
"342","Dylan Larkin","DET","C","18","370.5","8","14","5","9","22","64.71","56","14.29","7.56","101","78","58","22","5","6","8","4","4","0","0","9","13","16","13","22","11","182","162","52.91"
"403","Sebastian Aho","CAR","C","19","377.3","9","13","10","3","22","70.97","51","17.65","8.13","94","77","69","34","2","10","14","7","7","0","0","8","12","10","17","21","4","157","129","54.90"
"411","Mathew Barzal","NYI","C","20","376.65","2","20","11","9","22","81.48","51","3.92","5.86","94","74","66","23","2","11","12","6","6","0","0","1","24","19","14","15","8","46","91","33.58"
"439","Artemi Panarin","NYR","L","19","386.93333333333","5","17","10","7","22","81.48","43","11.63","3.88","90","63","41","5","1","8","12","6","6","0","0","6","20","6","4","10","3","0","0","-"
"510","Tage Thompson","BUF","R","18","330.36666666667","12","10","5","5","22","78.57","84","14.29","8.56","141","113","83","34","5","10","10","5","5","0","0","2","10","10","4","21","5","91","127","41.74"
"554","Nico Hischier","N.J","C","18","349.7","9","13","6","7","22","66.67","56","16.07","8.06","99","77","67","33","7","10","2","1","1","0","0","6","12","17","8","34","11","215","163","56.88"
"622","Brady Tkachuk","OTT","L","18","332.9","7","15","9","6","22","81.48","74","9.46","9.54","113","101","84","49","4","10","25","11","10","1","0","8","12","7","51","22","2","83","75","52.53"
"8","Joe Pavelski","DAL","C","19","303.11666666667","9","12","7","5","21","60.00","42","21.43","5.96","68","57","53","35","3","8","2","1","1","0","0","6","14","5","21","15","13","85","78","52.15"
"66","Steven Stamkos","T.B","C","19","374.06666666667","10","11","9","2","21","60.00","72","13.89","10.14","130","99","85","34","18","14","14","7","7","0","0","4","15","7","19","19","13","121","116","51.05"
